day,PP01,PS01,TX01,WD_u,WD_v
1,0.957777778,981.3366667,14.62555556,1.058888889,0.787777778
2,1.71,979.9366667,15.79,0.764444444,0.428888889
3,6.665555556,979.2688889,15.96444444,0.964444444,0.61
4,2.237777778,978.4544444,15.79333333,0.966666667,0.441111111
5,3.13,977.84,16.01,0.986666667,0.532222222
6,9.377777778,978.1088889,16.12888889,1.192222222,0.656666667
7,7.017777778,978.8411111,15.83444444,1.135555556,0.634444444
8,9.64,978.5966667,15.54555556,1.376666667,0.561111111
9,4.97,980.3433333,14.34555556,1.554444444,0.782222222
10,2.156666667,980.6911111,14.51,1.248888889,0.696666667
11,4.94,980.2322222,14.56444444,1.325555556,0.691111111
12,5.893333333,980.3277778,13.91555556,1.396666667,0.714444444
13,4.613333333,979.4933333,14.05111111,1.266666667,0.652222222
14,3.435555556,979.42,14.12111111,1.293333333,0.55
15,2.488888889,979.3622222,14.29333333,1.19,0.582222222
16,3.171111111,979.3288889,14.33333333,1.102222222,0.571111111
17,3.912222222,979.9611111,14.86111111,1.236666667,0.782222222
18,0.931111111,980.7088889,15.12222222,1.114444444,0.584444444
19,2.191111111,980.3766667,15.77777778,0.986666667,0.714444444
20,2.288888889,979.6777778,15.85444444,1.02,0.613333333
21,3.377777778,979.0366667,15.54444444,1.277777778,0.516666667
22,5.174444444,980.2966667,14.28888889,1.502222222,0.763333333
23,5.504444444,980.99,13.59222222,1.392222222,0.804444444
24,3.855555556,981.1388889,13.58888889,1.122222222,0.635555556
25,3.058888889,981.2611111,13.85,1.303333333,0.642222222
26,2.54,981.1133333,14.44,1.324444444,0.856666667
27,2.816666667,980.1933333,15.58222222,0.974444444,0.607777778
28,3.367777778,978.9555556,15.96444444,0.962222222,0.498888889
29,5.421111111,979.3544444,15.52111111,1.118888889,0.482222222
30,3.926666667,980.4511111,15.14,1.302222222,0.6
31,2.721111111,980.75,15.31,1.047777778,0.694444444
32,3.547777778,980.2311111,15.43666667,1.207777778,0.581111111
33,4.503333333,980.06,15.24888889,1.262222222,0.73
34,4.336666667,979.4777778,15.31,1.122222222,0.502222222
35,4.14,978.8233333,15.51666667,1.146666667,0.444444444
36,3.942222222,978.4022222,15.13,1.174444444,0.447777778
37,1.522222222,977.5922222,15.28555556,1.013333333,0.444444444
38,4.72,977.0277778,14.99,1.074444444,0.432222222
39,4.26,977.5777778,14.20888889,1.222222222,0.544444444
40,6.394444444,977.9077778,14.21666667,1.046666667,0.471111111
41,2.566666667,977.8322222,14.78555556,0.984444444,0.302222222
42,3.271111111,978.9,14.37666667,1.153333333,0.393333333
43,2.733333333,980.0188889,14.28555556,1.103333333,0.578888889
44,3.937777778,979.5333333,15.29555556,0.808888889,0.547777778
45,3.552222222,978.9411111,15.64333333,0.881111111,0.392222222
46,2.915555556,979.3344444,15.30333333,1.035555556,0.54
47,5.356666667,978.8822222,15.32222222,0.854444444,0.431111111
48,4.542222222,978.8488889,15.85666667,0.896666667,0.453333333
49,3.987777778,979.1566667,15.73444444,1.074444444,0.564444444
50,7.726666667,979.0088889,14.97111111,1.165555556,0.452222222
51,2.671111111,979.3788889,15.1,1.114444444,0.561111111
52,2.481111111,979.0211111,15.85222222,0.845555556,0.57
53,4.995555556,977.9211111,16.55111111,0.747777778,0.232222222
54,3.861111111,978.1655556,16.62222222,1.064444444,0.502222222
55,8.034444444,978.3066667,16.55111111,0.616666667,0.364444444
56,5.625555556,977.8788889,16.98444444,0.652222222,0.34
57,3.578888889,977.9166667,16.99555556,0.817777778,0.3
58,2.98,977.6677778,17.09888889,0.843333333,0.33
59,3.438888889,976.6477778,17.54333333,0.636666667,0.292222222
60,1.058888889,976.8933333,17.54111111,0.716666667,0.296666667
61,1.727777778,977.3722222,16.32333333,1.088888889,0.585555556
62,0.992222222,976.9066667,16.73111111,0.826666667,0.401111111
63,1.49,976.8733333,17.34222222,0.602222222,0.284444444
64,1.563333333,976.3077778,18.26666667,0.394444444,0.298888889
65,2.882222222,976.4111111,17.59,0.845555556,0.341111111
66,3.638888889,977.1211111,16.35888889,1.132222222,0.465555556
67,4.486666667,976.8055556,16.18333333,0.803333333,0.29
68,5.564444444,978.4233333,15.08,1.344444444,0.618888889
69,9.706666667,979.9777778,14.15444444,1.272222222,0.753333333
70,6.076666667,979.9933333,14.84888889,0.928888889,0.688888889
71,4.216666667,977.8833333,16.47222222,0.446666667,0.208888889
72,7.172222222,976.6022222,17.80333333,0.62,0.185555556
73,3.17,978.0788889,17.02444444,0.943333333,0.422222222
74,2.898888889,978.1233333,17.32333333,0.593333333,0.43
75,2.498888889,978.2788889,17.29,0.778888889,0.383333333
76,0.821111111,977.4444444,18.73444444,0.345555556,0.333333333
77,2.557777778,975.7188889,20.11777778,0.095555556,0.021111111
78,1.85,974.8866667,20.42444444,0.248888889,0.128888889
79,2.031111111,974.5588889,19.96555556,0.572222222,0.143333333
80,2.04,976.51,17.77222222,1.183333333,0.667777778
81,1.09,976.5122222,17.98111111,0.791111111,0.495555556
82,6.365555556,976.5722222,18.26444444,0.763333333,0.493333333
83,3.066666667,977.9011111,16.94666667,1.026666667,0.58
84,6.383333333,979.3955556,15.81333333,1.187777778,0.707777778
85,3.616666667,979.7022222,16.23111111,0.778888889,0.604444444
86,5.557777778,979.3688889,16.94444444,0.923333333,0.54
