day,PP01,PS01,TX01,WD_u,WD_v
1,2.4862,972.2338462,15.5495,2.6544,0.7656
2,1.9518,972.1805128,15.9341,2.3605,0.6854
3,3.0308,971.9461538,16.2526,2.3149,0.7351
4,3.1467,971.7010256,15.989,2.5897,0.8144
5,2.8962,971.7410256,15.6595,2.7544,0.8633
6,4.0441,971.9112821,15.9159,2.4451,0.7667
7,4.3387,972.0820513,15.9738,2.6567,0.7941
8,5.0646,972.0089744,15.6203,2.9944,0.9049
9,2.5205,972.1325641,15.3736,2.8064,0.8577
10,1.8569,972.0246154,15.5513,2.5677,0.7549
11,2.2003,971.6815385,15.8244,2.4903,0.7579
12,3.0544,971.7605128,15.5954,2.8121,0.831
13,3.54,971.565641,15.0846,3.0769,0.9387
14,3.8849,971.5594872,14.9441,2.6818,0.8592
15,3.3556,971.7625641,15.0428,2.6385,0.7041
16,2.8077,972.224359,15.0605,2.7072,0.7726
17,2.9108,971.9905128,15.5354,2.5079,0.8597
18,3.069,971.7633333,15.6113,2.3618,0.6746
19,3.7721,971.7287179,15.4733,2.6874,0.8849
20,2.62,971.6130769,15.6559,2.6697,0.8323
21,2.4838,971.3520513,15.5115,2.7736,0.779
22,2.8738,971.2487179,15.2477,2.6336,0.6485
23,3.7687,971.7905128,14.7779,2.9226,0.9423
24,3.3408,972.2569231,14.5797,2.8131,0.8144
25,3.3056,972.0910256,14.6777,2.8344,0.7005
26,4.4215,972.1884615,14.9013,2.9774,0.9844
27,3.5487,972.2310256,14.8136,3.0377,0.971
28,4.1154,971.8061538,14.9946,2.7026,0.7644
29,4.4997,971.7320513,15.2749,2.4305,0.6395
30,3.4538,971.9405128,15.4874,2.6938,0.7433
31,3.1503,972.0187179,15.3208,2.7938,0.8397
32,2.8908,972.1582051,15.2177,2.891,0.7882
33,4.2226,972.2123077,14.8708,2.9736,0.8667
34,3.9095,972.0107692,14.8272,2.6277,0.7582
35,3.9151,971.5646154,14.9469,2.6744,0.6159
36,4.07,971.3576923,15.2126,2.5177,0.6097
37,4.2013,971.0687179,15.3933,2.4346,0.6679
38,3.899,970.6720513,15.3731,2.4803,0.7028
39,4.8092,970.8646154,15.1841,2.5403,0.6321
40,4.8238,971.1346154,15.2741,2.5233,0.7597
41,3.1915,971.1507692,15.4131,2.469,0.6421
42,4.2085,970.9033333,15.6338,2.1815,0.5782
43,3.5797,971.0105128,15.6013,2.3921,0.7962
44,3.2805,970.4933333,16.2323,1.7149,0.5646
45,3.0872,969.9787179,16.7149,1.8859,0.3736
46,4.8438,969.8910256,16.5721,2.0636,0.6536
47,3.7869,969.9792308,16.5677,1.9603,0.549
48,4.3579,970.3564103,16.5172,2.1323,0.6603
49,4.65,970.5623077,16.3838,2.1495,0.6987
50,6.339,970.524359,16.1572,2.3979,0.7562
51,6.021,971.0292308,15.8213,2.7067,0.7349
52,4.8164,971.2976923,15.8872,2.2538,0.7456
53,4.0951,970.5210256,16.6703,1.829,0.5059
54,4.1574,970.0428205,17.041,1.9269,0.3621
55,4.2577,970.3935897,16.5954,2.4013,0.8064
56,4.8279,970.6205128,16.2579,2.2813,0.8077
57,5.0762,970.8066667,16.2251,2.3236,0.6792
58,5.4062,970.7038462,16.3444,2.2923,0.7315
59,4.4856,970.2012821,16.7069,1.9515,0.6162
60,3.6672,970.195641,16.5879,2.3003,0.649
61,3.5385,970.394359,16.3374,2.2118,0.5797
62,2.7769,970.0361538,16.6428,2.2472,0.6226
63,2.561,969.835641,16.6887,1.8618,0.4631
64,2.7572,969.7258974,16.9036,1.6105,0.3795
65,2.9959,969.955641,16.7913,1.8721,0.5477
66,4.0218,970.2458974,16.5046,2.1656,0.5972
67,3.2721,970.3420513,16.7369,1.93,0.4864
68,2.8654,970.4389744,16.8421,2.0733,0.461
69,5.6349,970.5233333,16.7187,2.0503,0.5687
70,4.0105,970.0048718,17.1915,1.7069,0.3649
71,4.6154,969.3789744,17.6844,1.6949,0.3556
72,3.3503,969.2092308,18.0695,1.5803,0.1656
73,2.121,969.3292308,18.1351,1.4787,0.1249
74,2.7908,968.9030769,18.5985,1.3736,0.2354
75,4.1656,968.7079487,18.549,1.5577,0.3741
76,3.8541,968.8435897,18.5964,1.6662,0.5338
77,4.3028,968.4064103,18.7238,1.4518,0.4256
78,5.2813,967.86,18.8646,1.5572,0.2892
79,3.6056,967.7241026,18.8182,1.7285,0.2213
80,2.6995,968.1905128,18.6092,1.8095,0.3392
81,3.629,968.1038462,18.6787,1.7638,0.4446
82,4.7585,968.4230769,18.6092,1.7654,0.439
83,3.9005,968.7366667,18.4515,1.6603,0.3672
84,5.5764,969.0876923,18.1054,2.0177,0.4759
85,3.2621,969.4546154,18.0274,1.8823,0.5633
86,4.2285,968.93,18.7726,1.7154,0.3797
87,3.6431,968.4923077,19.0554,1.5851,0.2728
88,3.7154,968.4197436,18.9833,1.7095,0.3395
89,3.2972,968.3192308,19.1346,1.5074,0.2987
90,3.6946,968.1510256,19.1621,1.6351,0.4533
91,5.301,967.7264103,19.28,1.2905,0.1018
92,3.2051,967.7982051,19.3297,1.6072,0.4177
93,4.9333,967.6435897,19.4741,1.3285,0.2946
94,4.7926,967.7033333,19.539,1.3677,0.3574
95,3.6854,967.6225641,19.8582,1.2026,0.2162
96,5.05,967.2146154,19.96,0.9913,0.0962
97,3.5987,967.3646154,19.6964,1.2521,0.2554
98,3.2672,967.3392308,19.9956,1.1382,0.1397
99,3.3728,967.2102564,20.3451,1.0159,0.129
100,4.3933,966.8238462,20.6238,0.971,0.12
101,5.1746,966.5923077,20.5154,1.1785,0.0538
102,5.9995,966.5687179,20.3238,1.0774,0.0903
103,4.3077,966.9630769,20.2013,1.3315,0.3159
104,5.4,967.214359,20.1431,1.3659,0.2831
105,5.7238,966.9461538,20.3031,1.2933,0.2215
106,4.1618,966.7315385,20.4772,1.2415,0.2251
107,3.2636,966.3141026,21.0587,0.7472,0.2028
108,4.0787,965.96,21.5167,0.6546,-0.0418
109,5.6877,965.9866667,21.6679,0.6154,0.0321
110,6.8892,965.7848718,21.5962,0.5818,-0.009
111,4.4982,965.2251282,21.7933,0.6169,-0.1856
112,6.0041,965.2289744,21.4241,1.0374,-0.0749
113,4.7367,965.8935897,21.3915,1.1915,0.3169
114,4.4574,966.2561538,21.6215,1.0354,0.1095
115,2.7974,966.5353846,21.5449,1.1818,0.2162
116,5.4423,966.5507692,21.5526,1.0833,0.1436
117,5.9838,966.3966667,21.5251,0.9726,0.1213
118,4.1164,966.1371795,21.7567,0.7026,0.1054
119,3.169,965.6705128,22.2256,0.3549,-0.1249
120,4.5979,965.1961538,22.5362,0.2503,-0.3344
121,5.0231,965.0282051,22.7205,0.281,-0.1756
122,7.11,964.9871795,22.7941,0.2064,-0.1595
123,5.7023,965.37,22.4703,0.9028,0.0703
124,5.9459,965.2707692,22.359,0.6951,0.2131
125,7.5318,964.9779487,22.2449,0.6669,0.0138
126,5.0664,964.6948718,22.6333,0.3651,-0.2754
127,3.3536,964.5766667,23.0197,0.4582,-0.2341
128,3.8477,964.4648718,23.1195,0.4146,-0.1726
129,6.5736,964.2797436,22.9687,0.5649,-0.1282
130,4.1877,964.5592308,22.9879,0.8815,0.0815
131,4.7277,964.7238462,23.2323,0.7441,0.0177
132,7.2354,964.6064103,23.4446,0.3464,0.0777
133,6.6944,964.0761538,23.6962,0.449,-0.071
134,3.6085,964.0317949,23.6485,0.6954,0.101
135,6.4218,963.9253846,23.6103,0.5772,-0.0474
136,6.3385,963.9271795,23.3951,0.9469,0.1251
137,12.5013,963.7153846,23.1964,0.7021,0.1572
138,8.9049,963.305641,23.3418,0.5423,-0.0754
139,9.9931,963.2641026,23.2256,0.5908,0.0028
140,11.4333,963.1469231,23.2995,0.4315,0.0136
141,9.9941,963.0935897,23.1964,0.6415,0.1797
142,11.7297,962.5238462,23.4177,0.341,0.1238
143,9.8331,962.3825641,23.6156,0.3838,-0.11
144,6.4682,962.6828205,23.7597,0.6121,-0.0549
145,4.9495,963.1528205,23.8792,0.5415,0.0203
146,6.3244,963.0969231,23.9551,0.3344,-0.0805
147,9.7495,962.2876923,23.8649,0.4938,-0.1382
148,12.6228,961.7933333,23.8703,0.6,-0.3241
149,12.3831,962.1266667,23.8974,0.3908,-0.3167
150,10.7426,962.4076923,23.9777,0.1921,-0.2908
151,11.7646,962.3338462,24.0164,0.2095,-0.2385
152,8.5013,961.6879487,24.3059,0.0638,-0.3438
153,15.6377,961.3274359,24.2059,0.2456,-0.3795
154,15.9636,962.0171795,24.1805,0.2456,-0.4546
155,14.289,962.0387179,24.2503,0.4285,-0.3321
156,13.3918,962.0169231,24.2274,0.5823,-0.1064
157,10.4405,962.2012821,24.3167,0.0964,-0.0582
158,12.701,962.2494872,24.5626,-0.3544,-0.3036
159,14.9828,961.5284615,24.73,-0.32,-0.4687
160,15.3928,961.4171795,24.8315,-0.2803,-0.3903
161,13.089,961.334359,24.9197,-0.519,-0.5941
162,12.5097,961.3958974,24.9297,-0.4567,-0.8059
163,13.3662,961.3348718,24.9026,-0.449,-0.8013
164,13.6759,961.0879487,24.869,-0.3549,-0.6156
165,14.0867,961.0912821,24.8592,-0.5777,-0.7367
166,8.4697,960.9087179,25.0703,-0.6159,-0.6326
167,8.1415,961.004359,25.2695,-0.6195,-0.47
168,7.6367,960.9889744,25.4718,-0.7551,-0.4346
169,7.6841,961.0417949,25.4818,-0.6092,-0.5054
170,7.4887,961.0738462,25.4851,-0.6533,-0.4367
171,8.1038,961.0912821,25.6856,-0.8446,-0.5762
172,7.5449,961.3266667,25.8346,-0.9641,-0.6523
173,7.5426,960.754359,25.9503,-1.0195,-0.3731
174,11.589,960.0120513,25.8213,-1.0618,-0.5033
175,9.4982,960.5210256,25.8097,-1.2633,-0.5795
176,7.6485,961.2051282,25.9126,-1.2172,-0.6728
177,5.0708,961.9828205,26.1038,-1.0185,-0.329
178,4.4723,962.1435897,26.2087,-0.9387,-0.3021
179,6.079,962.0523077,26.1064,-0.8528,-0.3013
180,4.1179,962.1005128,26.1736,-1.0056,-0.3628
181,3.219,962.1412821,26.329,-0.9549,-0.411
182,6.3092,961.8271795,26.3333,-0.9115,-0.4069
183,9.2197,961.6861538,26.2708,-0.9633,-0.4679
184,8.2431,961.7079487,26.2585,-0.9636,-0.5292
185,8.7049,961.6897436,26.2559,-0.831,-0.5544
186,5.4879,961.6982051,26.3015,-0.8828,-0.4772
187,4.7697,961.3646154,26.4449,-0.8728,-0.4751
188,6.0118,961.0189744,26.2541,-0.7728,-0.3077
189,10.2303,960.7141026,26.1308,-0.6013,-0.1423
190,9.5659,960.4264103,26.1656,-0.481,-0.2487
191,12.6354,959.8758974,26.1374,-0.7021,-0.2882
192,8.8515,960.4669231,26.2123,-1.2221,-0.3518
193,4.6459,961.0525641,26.3462,-0.82,-0.3672
194,9.9962,960.8892308,26.2872,-0.6846,-0.5754
195,7.3459,961.5720513,26.3403,-0.5728,-0.4749
196,4.1718,961.9561538,26.4005,-0.6836,-0.28
197,5.0169,961.5430769,26.3856,-0.5585,-0.1779
198,9.1726,961.0530769,26.2308,-0.5459,-0.1997
199,14.9395,960.4669231,26.1892,-0.8041,-0.3103
200,14.3974,961.0294872,26.1205,-0.9,-0.2864
201,5.1821,961.8515385,26.3656,-0.6318,-0.1244
202,5.9849,961.8625641,26.42,-0.5038,-0.1646
203,6.7969,961.5664103,26.3574,-0.4041,-0.1333
204,8.8726,961.2617949,26.2967,-0.5541,-0.3026
205,4.2954,961.0579487,26.2921,-0.3344,-0.3305
206,7.0818,960.5082051,26.1518,-0.5167,-0.3228
207,9.6021,960.4197436,26.0287,-0.4415,-0.3621
208,12.0203,960.4012821,25.981,-0.5228,-0.3762
209,11.9408,959.9638462,26.0926,-0.2062,-0.1097
210,11.5221,959.4476923,26.0874,-0.4379,-0.1082
211,14.6774,959.4302564,26.0208,-0.489,-0.2854
212,14.7967,959.5420513,26.0623,-0.3746,-0.3382
213,10.5203,959.7582051,26.1333,-0.4372,-0.2028
214,11.1285,960.1141026,26.1454,-0.3926,-0.1279
215,8.5815,960.3276923,26.0664,-0.3272,-0.0054
216,14.521,960.0782051,25.8728,-0.5456,-0.3444
217,8.5841,959.9384615,25.9903,-0.4172,-0.4921
218,6.5108,959.3458974,26.1379,-0.1082,-0.5654
219,13.0354,958.0887179,26.1031,0.1031,-0.671
220,21.0379,957.6735897,26.209,-0.5454,-0.6903
221,14.0933,958.8410256,26.1077,-0.55,-0.5482
222,9.2426,959.9669231,26.1254,-0.6551,-0.6456
223,8.5259,960.575641,26.099,-0.3567,-0.5349
224,11.2521,960.2661538,26.0559,-0.4418,-0.4221
225,9.6326,960.285641,26.0664,-0.6436,-0.2203
226,10.2462,960.7058974,26.0023,-0.4667,-0.141
227,9.4372,960.7851282,25.9531,-0.4518,-0.0856
228,6.2664,960.4553846,26.0336,-0.0772,-0.01
229,7.4556,960.0371795,26.0026,0.0867,0.0123
230,11.9051,959.7958974,25.9513,-0.0523,-0.0679
231,11.94,960.2338462,25.9682,-0.1787,-0.0687
232,8.3464,960.1810256,25.9823,-0.1164,-0.1495
233,10.3308,959.764359,26.0762,-0.1233,-0.1495
234,14.4674,959.9415385,25.9546,-0.1223,-0.3295
235,13.8674,960.1769231,25.8921,-0.2146,-0.5641
236,16.17,960.5133333,25.8028,-0.0474,-0.379
237,9.9385,960.7658974,25.8787,-0.1733,0.0182
238,7.1362,960.8764103,25.9569,0.0008,0.0256
239,8.9159,960.7384615,25.8823,0.1213,0.0056
240,13.5964,960.3076923,25.6872,0.2018,0.0928
241,15.3218,960.0010256,25.539,0.0208,-0.2564
242,16.1323,959.8448718,25.4272,-0.0969,-0.5264
243,13.4564,960.3653846,25.4231,-0.3379,-0.4141
244,15.3221,960.8884615,25.3908,-0.3356,-0.199
245,9.1956,961.7953846,25.3828,-0.1433,0.0959
246,9.4556,961.9279487,25.4028,0.2364,0.1982
247,9.3331,961.8058974,25.4762,0.2864,0.261
248,8.0697,961.9369231,25.4654,0.1313,-0.0223
249,6.8149,962.3584615,25.4503,0.3356,0.0354
250,8.5077,962.5315385,25.3685,0.4562,0.3241
251,9.1018,962.8453846,25.3692,0.5523,0.4959
252,11.4459,962.7920513,25.3174,0.7944,0.499
253,11.7931,962.5248718,25.2918,0.7995,0.3305
254,8.7582,962.3207692,25.3403,0.7285,0.3805
255,11.0167,962.6561538,25.289,0.8285,0.2754
256,11.3844,962.6871795,25.1687,1.1018,0.3221
257,12.0672,962.3264103,25.0879,0.9054,0.4492
258,10.3713,962.3751282,25.0718,1.0605,0.4085
259,8.8256,962.7930769,25.0403,1.4628,0.5741
260,10.8456,962.9517949,24.7179,1.6833,0.569
261,14.2208,962.5535897,24.6156,1.77,0.519
262,12.619,962.7102564,24.5423,1.0718,0.5654
263,9.1079,963.5274359,24.5113,1.2731,0.6951
264,14.6841,963.4417949,24.3031,1.4708,0.8303
