"stno","2010-02-01","2010-02-02","2010-02-03","2010-02-04","2010-02-05","2010-02-06","2010-02-07","2010-02-08","2010-02-09","2010-02-10","2010-02-11","2010-02-12","2010-02-13","2010-02-14","2010-02-15","2010-02-16","2010-02-17","2010-02-18","2010-02-19","2010-02-20","2010-02-21","2010-02-22","2010-02-23","2010-02-24","2010-02-25","2010-02-26","2010-02-27","2010-02-28"
"466880","0","0","1.6","1.6","0.2","8.1","8","0","0","0","0","0.6","24.5","-9998","15.5","43.8","54","36","53.5","2","0","0.3","0","0","0","0","-9998","0"
"466900","0","0","1.7","1.2","1.5","7.7","11.8","0","0","0","0","1.4","9","0.7","16.3","27.5","43.5","27","36.5","1","0","0.8","0","0","0","0","0","0"
"466910","0","1","5","2","2","6","6.5","0","0","0","0","7","19.5","1.5","20.5","47","58.5","45.5","51","1.5","0","1","0","0","0","0","-9998","0"
"466920","0","-9998","2.1","2","-9998","7","9.7","0","0","0","-9998","-9998","21.3","0.2","15.4","41","48","34.2","49.5","2","0","0.2","0","0","-9998","0","0","0"
"466930","0","-9998","0.5","0.2","0","6.5","7","0","0","0","0","3","17.5","1","16.5","49","49","37.5","42.5","1","0","1","0","0","0","0","0","0"
"466940","1.1","0.5","25.4","8.5","9.3","6.5","5.5","0","0","0","7.8","12","21","0.7","37","53","78","37.1","59.7","5","-9998","-9998","0","0","0","0","0","0.5"
"466950","0","0","4.8","6.9","3.8","8.1","0.7","0","0.1","0","0","2.1","7.2","0.3","9.4","14.2","29.4","14.6","17.2","0","0.1","0.1","0","0","0","0","0.8","0"
"466990","0.5","0.5","0","0","0","5","6","9.5","1","0","0","0","0.5","0","1","8.5","15","5","16","1.5","0","0","0","0","0","0","0.2","11.2"
"467060","1.5","3.2","1.4","0.2","0","8","2.8","0.5","0","0","0.5","1.6","5.4","0.1","0.9","29.6","29.6","16.5","20.2","2.4","0","0","0","0","0","0.3","0","44.7"
"467080","1.5","0.3","-9998","-9998","0","5","9","0.1","0","0","-9998","1.5","23.2","0","1","29","44.6","23.2","37.9","2","0","0.4","0","0","0","0","0","1.2"
"467110","0","0","0","0","0","14.7","15.7","0.2","0","0","-9998","1.4","26.1","3.4","1.7","6.3","8.9","6.8","4.5","0","0","5.6","0","0.5","0","0","0.1","0"
"467300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","1","1.5","10","0.5","0","0","0","0","0","0","0","0"
"467350","0","0","0","0","0","0","0.4","0","0","0","0","1.5","0","0","0","1.2","4.3","0.5","10.3","0","0","2.6","0","0","0","0","0","0"
"467410","0","0","0","0","0","0","0","0","0","0","0","11","0","0","1.5","2","1.5","2","14","0","0","0","0","0","0","0","0","0"
"467420","0","0","0","0","0","0","0","0","0","0","0","5","0","0","2.5","3.5","1.5","2","14.5","0","0","0","0","0","0","0","0","0"
"467440","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","0","2.5","0","4","4","0","0","0","0","0","0","0","0","0"
"467480","0","0","0","0","0","0","0.1","-9998","0","0","0","1.8","0.1","0","1.4","7.2","12.5","4.6","25","0.5","0","0.3","0","0","0.3","0","0","0"
"467490","0","0","0","0","0","9.1","3.6","0","0","0","0","11.5","7.7","0","1","13.2","21.8","16.9","31.4","0.7","0","1.4","0","0","-9998","0","0","0"
"467530","0","0","0","0","0","0","0","0","0","0","0","26.7","0","0","10.5","27.5","33","24.5","67","0.5","0","4","0","0","0","0","5.5","0"
"467540","2.6","0","0.1","0","0","0","0","0","0","0","0","0.1","0","0","0","1.5","0.5","3","1.8","0.7","0","0","0","0","1","0","0","0"
"467550","0","0","0","0","0","0","0","0","0","0","0","5","4","0","0","10","9","0","10.5","0","0","4","0","0","0","0","0","0"
"467571","0","0","0","2","1.5","14.8","13.6","0","0.1","0","0","1.6","36.9","2.2","13.3","48.4","37","19.4","33.7","0","0.3","0.7","0","0","0","0","0","0"
"467590","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0","0","0","0","0","0","0","0","0"
"467610","1","0","0.4","0","0.1","0","28.5","27","0","0","0","0","0","0","0.5","1","0.8","0.5","9.8","0","0","0","0","-9998","0","0","0","1.8"
"467620","0","0","0","0","0","0","0","0","0","0","0","4.5","2","1.5","16.5","15.5","13","18.5","29","15","0","0","0","0","0.5","0","0","0"
"467650","0","0","0","0","0","4","2","0","0","0","0","1","11","0","0.5","13.5","18.5","16","44.5","2","0","1.5","0","0","0.2","0","0.5","0"
"467660","0","0","0","0","0.4","0","0","0.2","0","0","0","0.6","0","0","0","2.2","2.2","2.4","4.3","0.2","0","0","0","0","0.1","0","0","0"
"467770","0","0","0","0.1","0","13","1","0","0","0","0","11.5","9.1","0","3.5","8","15.5","14","17","0.5","0","0.5","0","0","-9998","0","0","0"
"467780","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","2.5","2","0.5","14","0","0","0","0","0","0","0","0","0"
"467990","0","0.5","2.9","3.5","1","4.1","2.5","0","0.5","0","47.5","7","3.5","60.1","10.8","5.2","0.4","0","0","0","0","0","0","0.2","0.8","0","4","0.4"
"C0A520","0","0","1","0.5","1","9","7.5","0","0","0","0","0.5","21","0.5","11","47","53.5","27","12.5","0","0","0","0","0","0","0","0","0"
"C0A530","0.5","0","1.5","0","0","7","7","0","0","0","0","4","21.5","0","10","59","56.5","38","57","7.5","0","0","0","0","0","0","0","0"
"C0A540","0.5","0.5","1.5","1","0.5","7.5","7.5","0","0","0","0","3.5","23.5","0","15","48.5","56.5","31.5","52.5","5","0","0","0","0","0","0","0","0"
"C0A550","2","4","10","2","1","5","8","0","0","0","2.5","16.5","39","0.5","24","79.5","70","42.5","64","9","0","0","0","0","0","0","0","0.5"
"C0A560","0.5","0","0","0","0","8.5","10","0","0","0","0","9","17.5","0","11","53","57","39.5","60","3.5","0","0.5","0","0","0","0","0","0"
"C0A570","1","0","0.5","2","0.5","9","6.5","0","0","0","0","4.5","17.5","0.5","19.5","60","69","41","57","6","0","0","0","0","0","0","0","0"
"C0A640","0","0","3","2","3.5","8.5","8.5","0","0","0","0","4","25.5","0","15","62","66.5","49","60","7.5","0","0","0","0","0","0","0","0"
"C0A650","1","1","6.5","1","1.5","6.5","9","0","0","0","0","5","24.5","0.5","16","63.5","69.5","50.5","57","8","0","0","0","0","0","0","0","0"
"C0A660","2","1.5","27","13.5","18","7","5.5","0","0","0","11.5","17.5","18.5","0.5","38.5","66","98.5","43.5","70.5","4","0","0","0","0","0","0","0","1.5"
"C0A860","6","2","23","5.5","4.5","6","3","0","0","0","9.5","64","38.5","1","82.5","98.5","90.5","63.5","80.5","3.5","0","0","0","0","0","0","0","3"
"C0A870","0.5","0","0.5","0","0","2","2","0","0","0","1.5","1.5","9.5","0","13","31","36.5","18.5","18.5","1","0","0","0","0","0","0","0.5","1"
"C0A880","0","1.5","2.5","9.5","2","3.5","10","0","0","0","7.5","5.5","26","0.5","9.5","64.5","78.5","29","64.5","9.5","0","0","0","0","0","0","0","0.5"
"C0A890","0","3.5","7","2","0.5","4.5","9.5","0","0","0","5.5","1.5","29.5","0.5","10.5","58","65","35","65.5","9.5","0","0","0","0","0","0","0","0.5"
"C0A920","1","0","16","11","3","1","0","0","0","0","9.5","3.5","6","1","28.5","23.5","45","17","17","0","0","0","0","0","0","0","0","0"
"C0A940","0.5","0.5","35","26.5","17.5","6.5","2.5","0","0","0","5.5","5","15","2","26.5","27.5","63.5","39.5","56","2","0","0.5","0","0","0","0","0","2"
"C0A950","0.5","0","2","5","8","3","2","0","0","0","0.5","0.5","7.5","0.5","2","26","35.5","16","38.5","3.5","0","0","0","0","0","0","0","0"
"C0A970","0","0.5","3","9.5","12","3.5","10","0","0","0","6.5","7","15.5","3","8","53.5","58","19","39","5.5","0","0","0","0","0","0","0","0.5"
"C0A980","0","0","0","0.5","0","6","12.5","0","0","0","0","0","7","0.5","15.5","3","0","0","0","0","0","0","0","0","0","0","0","0"
"C0A9A0","0","0","1","0.5","0","6.5","12","0","0","0","0","0","10","0","11.5","32","43.5","27","40.5","1","0","0.5","0","0","0","0","0","0"
"C0A9C0","0","0","0.5","0","0","6.5","10","0","0","0","0","0","7.5","0","15","24","40.5","26.5","34.5","1","0","0.5","0","0","0","0","0","0"
"C0A9E0","0","0","0.5","0.5","0","6.5","13","0","0","0","0","0","8.5","0","19","31.5","43","27","40.5","1","0","0.5","0","0","0","0","0","0"
"C0A9F0","0","0","0.5","0.5","0","6.5","12.5","0","0","0","0","0","13.5","0","11.5","33.5","42.5","28","42.5","1.5","0","0","0","0","0","0","0","0"
"C0AC40","0","0","1","0","0","2","2","0","0","0","0","0","9","0","8.5","23.5","33","25.5","12.5","1","0","0","0","0","0","0","0","0"
"C0AC60","0","0","1","1.5","0.5","10.5","9","0","0","0","0","2","26","0.5","12.5","64.5","58","39","56","2.5","0","0","0","0","0","0","0","0"
"C0AC70","0","0","1.5","4.5","0","6.5","9.5","0","0","0","0","0","23.5","0","11","43.5","49","35","55.5","4","0","0","0","0","0","0","0","0"
"C0AC80","0","0","3","2.5","1","7.5","8.5","0","0","0","0","2.5","23","0","14","50.5","42.5","13","0","0","0","0","0","0","0","0","0","0"
"C0ACA0","0","0","0.5","1","0","7","9","0","0","0","0","0","15.5","0","14","40","48","29.5","22.5","0.5","0","0","0","0","0","0","0","0"
"C0AD00","0.5","0.5","15","13","11.5","10","7","0","0","0","5","13","19.5","2","30","35.5","50.5","30.5","45.5","0","0","0.5","0","0","0","0","0","0"
"C0AD10","0","0","1","1","1","9","12.5","0","0","0","0","0.5","7.5","0","15.5","28","43.5","27","39","0","0","1","0","0","0","0","0","0"
"C0AD30","0","0","0.5","1","0","6","11.5","0","0","0","0","0","8","0","17.5","33","43.5","27.5","42.5","1","0","0.5","0","0","0","0","0","0"
"C0AD40","0","0","1","1","2","9","7.5","0","0","0","0","1.5","26","0","15","59","57","40","60","4.5","0","0","0","0","0","0","0","0"
"C0AD50","0","0","0.5","1.5","0.5","9","8.5","0","0","0","0","0.5","15","0.5","9","45.5","50.5","34","46","1","0","0.5","0","0","0","0","0","0"
"C0C460","0","0.5","2","2","2","12.5","12","0","0","0","0","7.5","33","1.5","23.5","63.5","50.5","38.5","63","11","0","0.5","0","0","0","0","0","0"
"C0C480","0","0","1","1.5","1","8","7.5","0","0","0","0","1","20","1","19.5","38.5","41.5","30.5","45.5","1","0","0.5","0","0","0","0","0","0"
"C0C540","0","0","1","2","1","10.5","11","0","0","0","0","2","17.5","2","16.5","34.5","44","28.5","41","0.5","0","1.5","0","0","0","0","0","0"
"C0C590","0","0","2.5","2","2","11","10.5","0","0.5","0","0","2.5","15.5","2.5","17.5","33","37","26.5","38.5","0","0","2","0","0.5","0","0","0","0"
"C0C630","0","0","1.5","3","2","11.5","11","0","0","0","0","2","23","2","10","44","38.5","25","42.5","1","0","0.5","0","0","0","0","0","0"
"C0C650","0","0.5","1.5","4.5","2.5","13.5","11","0","0.5","0","0","1","32.5","2","11","48.5","45","29","44","0.5","0","1","0","0","0","0","0","0"
"C0D360","0","0","1","1.5","0.5","20","15","0","0","0","0.5","12","29","1.5","9.5","27.5","26","45.5","63","5.5","0.5","3","0.5","0","0","0","0","0"
"C0D390","0","0.5","0","4","3","11","13","0","0","0.5","0","5","44.5","2.5","16.5","57","47","29.5","48","2","0.5","0","0.5","0","0","0","0","0"
"C0D480","0","0.5","1","2.5","2","14.5","12","0.5","0","0","0.5","2","28.5","2.5","13","54.5","44.5","26","43","0.5","0.5","1","0","0","0","0","0","0"
"C0D540","0","2","0.5","6","0.5","18.5","12.5","0","0","0","0.5","9","43.5","3.5","14.5","51.5","43","37.5","53.5","3","0","1.5","0","0","0","0","0","0"
"C0D550","0","0","0","0","0","18.5","11.5","0","0.5","0","0","29.5","35.5","0.5","13","39","48.5","44","78.5","8.5","0","6","0","0","0.5","0","0","0"
"C0D560","0","0","0.5","3","1","13","12.5","0","0.5","0","0","5.5","48.5","1.5","14.5","43.5","33.5","24.5","39","2","0","0.5","0","0","0","0","0","0"
"C0D570","0","0","0","2.5","0.5","17","15.5","0","0","0","0","4","27","1.5","9.5","50","26.5","20","33","0","0","0.5","0","0.5","0","0","0","0"
"C0D580","0","0.5","0.5","3.5","1.5","19","13.5","0","0.5","0","0","6","40.5","2.5","19","53","42","33","48","1.5","0","0.5","0.5","0","0.5","0","0","0"
"C0D590","0","0","0.5","4.5","2.5","18","13.5","0.5","0","0","0","3","20","3.5","8.5","44.5","33","18","29","0","0","1","0.5","0","0","0","0","0"
"C0E420","0","0","0","1","0","19","13","0","0.5","0","0","5.5","34","1.5","11.5","37","24.5","21","31.5","0","0.5","0.5","0","0","0","0","0","0"
"C0E430","0","0.5","0.5","2","0","21","14","0","0","0.5","0","11.5","47","2.5","11.5","50","44.5","39.5","51","3.5","0","2","0.5","0","0","0","0","0"
"C0E530","0","0","0","1","0","14","5.5","0","0","0","0","16.5","23.5","0.5","14.5","21.5","28","20","30.5","2.5","0","0.5","0","0","6","0","0","0"
"C0E610","0","0","0","0.5","0.5","20.5","7","0","0","0","0","30","37","0.5","11","24","47.5","35.5","47","4","0","2.5","0","0","0","0","0","0"
"C0E730","0","0","0","1","0.5","17","13.5","0","0","0","0","8","37.5","1.5","13.5","37.5","30","24.5","32","0.5","0","1","0","0.5","0.5","0","0","0"
"C0F861","0","0","0","0","0","9.5","6.5","0","0","0","0","20.5","12.5","0","9.5","39","50.5","59.5","61","3.5","0","9","0","0","1","0","0","0"
"C0G640","0","0","0","0","0","7","2.5","0","0","0","0","4.5","2","0","0.5","6","7.5","7.5","10.5","0","0","1","0.5","0","0","0","0","0"
"C0G650","0","0","0","0","0","5","2.5","0","0","0","0","2","3","0","1","10","15","14","33.5","0","0","0.5","0","0","0","0","0","0"
"C0H990","0","0","0","0","0","11.5","3","0","0","0","0","16.5","8.5","0.5","4.5","19.5","24.5","27.5","0.5","3","2","9","0","0","2","0","0","0"
"C0H9A0","0","0","0","0","0","0","0","0","0","0","0","3","0.5","0","1","18.5","31.5","17","60.5","0.5","0","6","0","0","0","0","0","0"
"C0H9C0","0","0","0.5","0.5","1.5","15","4.5","0.5","0","0.5","0","33.5","23.5","1","9.5","73.5","98.5","62","0","0.5","0","0","11.5","12","31.5","1","0.5","0"
"C0I010","0","0","0","0","0","12","2","0","0","0","0","10","10.5","0","3.5","46.5","45.5","46.5","85","3.5","0","3.5","0","0","1","0","0","0"
"C0I090","0","0","0","0","0","3","0.5","0","0","0","0","3","0","0","1","14","13.5","11.5","43.5","5","0","4.5","0","0","0","0","0.5","0"
"C0I110","0","0","0","0","0","3","0","0","0","0","0","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"C0K240","0","0","0","0","0","0","0","0","0","0","0","8.5","0","0","3","8.5","14.5","6.5","38.5","1.5","0","1.5","0","0","0","0","0","0"
"C0K280","0","0","0","0","0","0","0","0","0","0","0","8.5","0","0","0.5","14","8.5","3","19.5","0","0","2","0","0","0","0","0","0"
"C0K330","0","0","0","0","0","0.5","1","0","0","0","0","3.5","1.5","0","0","15","13","9","32.5","0","0","2.5","0","0","0","0","0","0"
"C0M410","0","0","0","0","0","0","0","0","0","0","0","8","0.5","0","0","12","12","8.5","25","0","0","1.5","0","0","0","0","0","0"
"C0M530","0","0","0","0","0","0","0","0","0","0","0","13.5","0.5","0","5","15","20","11","47.5","0.5","0","1.5","0","0","0","0","2","0"
"C0O810","0","0","0","0","0","0","0","0","0","0","0","12","0","0","1","5","3.5","5.5","20.5","0","0","0","0","0","0","0","0","0"
"C0O900","0","0","0","0","0","0","0","0","0","0","0","7.5","0","0","0","8","2","2.5","16","0","0","0","0","0","0","0","0","0"
"C0O930","0","0","0","0","0","0","0","0","0","0","0","4.5","0","0","0","9","1.5","4","19","0","0","0","0","0","0","0","0","0"
"C0R100","0","0","0","0","0","0","0","0","0","0","0","11.5","0","0","2","6","1","10","19","0","0","0","0","0","0","0","0","0.5"
"C0R150","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","11.5","7.5","0","0","0","0","0","0","0","0","13"
"C0R220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","6.5","3.5","0","0","0","0","0","0","0","0","0"
"C0R270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5","1","0","0","0","0","0","0","0","0","0"
"C0R280","0","0","0","0.5","0","0","0.5","0","0","0.5","0","3","0","0","0.5","2.5","0","4","0","0","0","0","0","0","0.5","0","0","0"
"C0R350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","1","1","0","0"
"C0R420","0.5","0","0.5","0.5","0","0","0.5","0","0","0.5","0","8","0.5","0","2","3","0.5","6","0.5","0","0","0","0","0.5","1.5","0","0","0.5"
"C0S680","0.5","0","0.5","0.5","1","0","0.5","0","0","0","0","5","2.5","0","3","17","6.5","16","38.5","0.5","0","0","0.5","0","0","0","0","0"
