"stno","2012-02-01","2012-02-02","2012-02-03","2012-02-04","2012-02-05","2012-02-06","2012-02-07","2012-02-08","2012-02-09","2012-02-10","2012-02-11","2012-02-12","2012-02-13","2012-02-14","2012-02-15","2012-02-16","2012-02-17","2012-02-18","2012-02-19","2012-02-20","2012-02-21","2012-02-22","2012-02-23","2012-02-24","2012-02-25","2012-02-26","2012-02-27","2012-02-28","2012-02-29"
"466880","0.5","1.5","11","0.5","0.2","0","56.5","8.5","1.5","-9998","0","0","0","-9998","2.7","8.5","3","0.5","0","0","0","-9998","57","77","37.5","21","10","26.1","0"
"466900","0","0.6","9","2","0","0","27.5","4.5","2.5","1","0.1","0","0","1","0.6","9.5","8.5","1","0","0","0","0","44.5","19.5","21","20","2.5","22.5","0"
"466910","14.5","31.5","29.5","2.5","0","0","37.5","20","12","1.5","7","1.5","0","0.5","0.5","18.5","15.5","11.5","6","0.5","0","0","63.5","39.5","29","29","21","31","0.5"
"466920","-9998","0.5","11.5","0.5","-9998","-9998","32","5","2.1","-9998","-9998","0","0","0","4","4.5","-9998","0.5","-9998","0","0","-9998","62.7","62","33.5","22.5","5","22.5","0"
"466930","3.5","29","17.5","1.5","0","0","35.5","19","6","0.5","1.5","0.5","0","0","0.5","13.5","19","11.5","2","-9998","0","0","37","44.5","27.5","28","11.5","20.5","0.5"
"466940","4","26.6","49.5","13.7","-9998","0","50","13","12.7","8.7","15","1.9","0","0.1","16","24.4","24.3","1.5","0.5","0.2","0","0","44.5","76.5","78","43","20.4","21","0.2"
"466950","0","2.3","5.7","9.6","0.2","0.1","2.5","-9998","3.4","0.5","0.3","1.7","4","-9998","5.6","5","1.3","0","0","0","0","29.8","41.7","21.1","28.3","20.8","11.8","48","0"
"466990","0","0","2.5","0","0","-9998","1.5","3","1.5","0","-9998","0","0","-9998","1","1","-9998","0","0","16.5","0","-9998","12","9","20","13.5","6","10.5","0.5"
"467060","74.6","94","19.5","1","0.3","0","7.7","31.1","1.5","0","10.2","2.5","4","0.1","8.9","2.5","41","25.9","6.4","26.4","0.2","0","24","34.2","33.6","21.9","10.7","5.4","1.3"
"467080","9.3","7.6","15.3","5.2","0","0","2.4","8.6","3.4","0","1.3","1.1","0","0","-9998","0.5","0.3","-9998","17.7","4.7","0","0","16.2","47.1","20.5","27.2","8.4","2.1","0.1"
"467110","0","1","0.3","0","0","4.4","1.7","0","-9998","0","0","0","0","2.7","6","0","0","0","0","0","0","10.1","1.6","0","8.4","1.5","5.3","36.2","2.3"
"467300","0","0","0","0","0","5.3","4.9","5.4","0","0","0","0","0","0.5","0","0","0","0","0","0","0.5","0","4","4","-9998","0","1","10","0"
"467350","0","0","-9998","0","0","-9998","0.3","1.6","0","0","0","0","0","-9998","0","0","0","0","0","0","0.3","1.7","1.9","3.4","0.3","0.1","4.3","14.5","0"
"467410","0","0","0","0","0","0","11","3.5","0","0","0","0","0","0","0","-9998","0","0","0","-9998","2.5","1","0","14","5","0","0","3","0"
"467420","0","0","0","0","0","0","1","0.5","0","0","0","0","0","0","0","0","0","0","-9998","0","1","0","0","11.5","7","0","0","2.5","0"
"467440","0","0","0","0","3.5","0","0.5","3.5","0","0","0","0","0","0","0","2","0","0","-9998","1.5","17","2.5","0","0","0","0","0","0","0"
"467480","0","0","-9998","0","0","0","13","8.8","0.5","0","0","0","0","0","-9998","-9998","0","0","0","-9998","5.5","-9998","12.1","20.5","2.5","0.3","1.6","13.1","0"
"467490","0","0","0","0","0","0","11.5","11.2","0","0","0","0","0","0","0.2","0","0","0","0","0","-9998","0.1","6.2","3.8","14.1","1.7","10.8","17.6","0"
"467530","0","0","0.5","0","0","0","10","26","0","0","0","0","0","0","0.5","1","0","0","0","0","19.5","6","10.5","38","9.7","2.4","8","26.5","0"
"467540","0","0","0","0","1","3","0.5","1","0","0","0.9","0.9","1.4","3.5","21.5","0.5","0","0","0.2","34.4","41.4","27.7","0","0","0.5","0","0","0.6","0"
"467550","0","0","0.5","0","0","0","0.5","5.5","0","0","0","0","0","0","0.5","1","0","0","0","0","25","24.5","27.5","29","16","2.5","1","12.5","0"
"467571","0","0","3.5","0","0.4","0","31.7","7.7","0.3","1.6","0.1","-9998","0","4","1.9","4.5","0.2","0","0","0","0","0","30","45.3","33.1","19.8","6","38.8","0"
"467590","0","0","0","0","26.5","0.5","0","0","0","0","1.5","0.5","0.3","0.5","4.5","0","0","0","-9998","19.5","21","1","0","0","0","0","0","1","0"
"467610","0","0","0","0","10.5","1.5","0.3","0.3","0","0","1.9","1.2","8.1","8.7","6","0","0","0","0.1","2.8","14.4","11.5","0.4","0.3","13.9","0","0","0.5","0.2"
"467620","11.5","22.5","9.5","3","2.5","0","11","4.5","1.5","0","16","0.5","5.5","1.5","25.5","27.5","6","1","2.5","10","75.5","30","0","0","2.9","11","5","2","15.5"
"467650","0","0","1","0","0","0","7","18","0","0","0","0","0","0","0","-9998","0","0","0","0","7","0.5","0.5","10.5","12","1.5","5.5","24","0"
"467660","0","0","0","0","0.4","3","-9998","0.5","0","0","0","1.5","16.8","12.5","10.6","0","0","0","0.3","1.8","20.8","12","0","0","0","0","0","2.4","0.1"
"467770","0","0","-9998","0","0","0","4.5","5","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","19.3","19.5","20.5","4.5","5","17.2","0"
"467780","0","0","0","0","0","0","3","2.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0.5","4.5","0.5","0","0","5","0"
"467990","-9998","0","1","0.6","4","21.5","18","0","0.5","0.5","0.5","0","0","8.5","19","2.5","0","0","0","0","0","5","1.5","1.5","17","1","25","20.5","5.5"
"C0A520","0.5","1.5","7","0.5","0","0","60","8","1","0","0","0","0","0","2","8.5","6","0.5","0","0","0","0","49","73.5","32.5","18","10","26","0"
"C0A530","1","6","15","1.5","0","0","14.5","13.5","5.5","0","1","0.5","0","0","0","6","7","2.5","2.5","1","0","0","21.5","83","29.5","33","13","11","0"
"C0A540","2.5","8","14.5","5","0.5","0","10","13","8","0.5","1","5.5","0","0","0","7.5","4.5","3.5","5","12.5","0","0","26.5","73","30.5","36","14.5","8.5","1"
"C0A550","11.5","51","43","16","0","0","32","29.5","14.5","2","14.5","11","0","0","7","31.5","42","14","16","13.5","0.5","0","22","80.5","49","45.5","29","10","3.5"
"C0A560","10.5","6","7","0.5","0","0","16.5","14.5","3.5","0","0","0","0","0","0","4","6.5","4","1","1.5","0","0","27.5","84.5","23","34.5","8","15.5","0.5"
"C0A570","10","10","15.5","0.5","0","0","34.5","19.5","3.5","1","1.5","0","0","0","0.5","6","9","3.5","4","3.5","0","0","25","92.5","29.5","40","14","15","0"
