"stno","2018-04-01","2018-04-02","2018-04-03","2018-04-04","2018-04-05","2018-04-06","2018-04-07","2018-04-08","2018-04-09","2018-04-10","2018-04-11","2018-04-12","2018-04-13","2018-04-14","2018-04-15","2018-04-16","2018-04-17","2018-04-18","2018-04-19","2018-04-20","2018-04-21","2018-04-22","2018-04-23","2018-04-24","2018-04-25","2018-04-26","2018-04-27","2018-04-28","2018-04-29","2018-04-30"
"466880","0","0","0","0","0","-9998","4.5","0","0","0","0","34.5","0.5","0.5","5","6","14.5","0","0","0","0","0","0","8.5","0","0","0","0","0","0"
"466900","0","0","0","0","0","7","3","0","0","0","0","11","-9998","5.5","8.5","6.5","11","-9998","-9998","0","0","0","0","20","0","0","-9998","0","0","0"
"466910","0","0","0","0","0","15","6.5","0","0","0","0","6","0","7.5","18.5","9","16.5","0","0","0","0","0","0","49","1.5","0","0.3","0","0","0"
"466920","0","0","0","0","0","0.5","4","0","0","0","0","17.1","0","4.1","3.6","5.7","14","0","0","0","0","0","0","10.5","0","0","-9998","0","0","0.1"
"466930","0","0","0","0","0","16","7.1","0","0","0","0","5.1","0","7.3","12.4","7.8","12.7","0","0","0","0","0","0","27.3","1.7","0","0.1","0","0","0"
"466940","0","0","0","0","0","10","1.5","0","0","0","0","0.5","0","18","21","4.5","14","0","0","0","0","0","0","39","0","0","0.2","0","0","0"
"466950","0","0","0","0","0","6.8","0","0","0","0","0","0.8","0.1","68.5","3.8","0.4","3.4","0","0","0","0","0","0","6","0","0","0","0","0","0"
"466990","0","0","0","0","0","3","0.5","0","0","0","0","1.5","2","0","3.5","2","3.5","0","2.5","0","0","0","11","0","0","0","0.5","1","0","0"
"467050","0","0","0","0","0","8.6","3.9","0","0","0","0","25","0.6","0.9","0.7","5.8","8.3","0","0","0","0","0","0","21.4","0","0","0","0","0","0"
"467060","0","0","0","3","0","0.5","0.5","0","0","0","-9998","-9998","8","20","2","1.5","8.5","0","0","0","0","-9998","2.5","1.5","0.5","0","-9998","0","0","0"
"467080","0","0","0","0","0","0.5","0.6","0","0","0","0","0","0","1.6","1.6","0.5","11.2","0","0","0.2","-9998","0","0.9","5.5","0","0","2.5","-9998","0.7","0"
"467110","0","0","0","0","0","6.6","0","0","0","0","0","0","0","0.9","1.5","0.3","0","0","0","0","0","0","2","8.5","0","0","0","0","0","0"
"467300","0","0","0","0","0","2.2","0","0","0","0","0","0","0","0","4.9","0","8.2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467350","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0.4","6.9","2.1","4","0","0","0.7","0","0","0","0.1","0","0","0","0","0","0"
"467410","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","0","0","0.5","0","0","0","0","0","0","-9998","-9998","0","0","0","0","0"
"467420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0"
