"stno","2015-02-01","2015-02-02","2015-02-03","2015-02-04","2015-02-05","2015-02-06","2015-02-07","2015-02-08","2015-02-09","2015-02-10","2015-02-11","2015-02-12","2015-02-13","2015-02-14","2015-02-15","2015-02-16","2015-02-17","2015-02-18","2015-02-19","2015-02-20","2015-02-21","2015-02-22","2015-02-23","2015-02-24","2015-02-25","2015-02-26","2015-02-27","2015-02-28"
"466880","0","0","2","8.5","7.5","1.5","1.5","4.5","0.5","0","0","0","0","0","8","11.5","0","0","0","0","-9998","0","-9998","49","0","-9998","-9998","1"
"466900","0","0","2.5","3.5","3","0","0.5","2","0","0","0","0","0","0","0.5","5.5","0","0","0","0","0","0","0","16.5","0","-9998","0","0"
"466910","6","2.5","23","15","9","3","0.5","13.5","5","0.5","0","0","0","0","1.5","7.5","0","1","1","0","-9998","0.5","-9998","21","0","1.5","0.7","0"
"466920","0","0","3.5","3","4","1","-9998","3.5","0.5","0","0","0","0","0","4","10.5","0","0","0","0","-9998","2.5","0","55.5","0","0","2","0"
"466930","3","-9998","19","16","5.5","0.5","0.5","7","9","0","0","0","0","0","1","6","0","-9998","0.5","0","0.5","0.5","0","21","0","0.5","0","0"
"466940","0.4","4.2","61","22.2","9.5","6","12.8","13.5","1.5","0","0","0","0","0","3.7","7.1","-9998","0","0","0","0","0.4","1.9","22.6","0","6.5","9.6","4.5"
"466950","0.3","0","9.6","1","1.2","0","0.4","0","0","0","0","0","0","0","3.8","0","0","0","0","0","0.6","0","0.2","10.3","0","-9998","1.9","0"
"466990","3.5","-9998","0","1","1","0","0","0","1.5","0","0","0","0","0","0","0.5","2","0.5","1","0","-9998","0.5","1","0.5","0","0","0","0.1"
"467050","0","0","0.5","0","0.5","0","0","-9998","0","0","0","0","0","0","2","8.5","0","0","0","0","2","0","0","66.5","0","-9998","0.5","0.5"
"467060","12.2","19.2","83.9","33.9","2.3","0","3","8.6","0.6","0.4","0","0","0","0.3","0","3.6","18","3.5","2.3","0","0.1","3.1","5.2","1.8","0","2","1.9","1.1"
"467080","8.8","11.6","9.5","3.2","3","1.2","0","1","0.4","0","0","0","0","0","0","10.9","0.4","1","0.2","0","0.8","0.4","1.5","2.8","0","0.2","-9998","0"
"467110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.4","1.2","0","0","0","0","3.7","0","1.5","1.4","0","0","0","0"
"467300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.8","0","0","0","0","39.4","0","-9998","0","0","0","0","0"
