"stno","2016-02-01","2016-02-02","2016-02-03","2016-02-04","2016-02-05","2016-02-06","2016-02-07","2016-02-08","2016-02-09","2016-02-10","2016-02-11","2016-02-12","2016-02-13","2016-02-14","2016-02-15","2016-02-16","2016-02-17","2016-02-18","2016-02-19","2016-02-20","2016-02-21","2016-02-22","2016-02-23","2016-02-24","2016-02-25","2016-02-26","2016-02-27","2016-02-28","2016-02-29"
"466880","27","13","0.5","6","5.5","0.5","0","0","0","0","-9998","0","0","9.5","1.5","0.5","5","9","0","0.1","0","-9998","2","2.5","2","4","16","0","0"
"466900","28","8.5","1","3.5","12.5","0","0","0","0","0","0.5","0","0","27","6.5","0","4.5","5","5","0.5","0","0","12.5","6","0","6","13.5","0","0"
"466910","47","28.5","11.5","11.5","29.9","1.5","0","0","0","0","-9998","0","0","25.7","11.6","-9998","10.7","14.2","13.4","1.8","-9998","0","12.6","36.2","17.5","26.3","15.9","0","0"
"466920","14","11","1.5","4.5","6.2","-9998","0","0","0","0","-9998","0","0","6.3","0.6","0.2","4","9","0.2","0.2","0","-9998","3.2","3","0.5","4","10.5","0","0"
"466930","55.2","35.5","6.8","9.2","13.8","1.5","0","0","0","0","0.6","-9998","0","29.7","7.4","0","7","7.2","8.9","0.7","0.2","0","20.5","53.3","9.8","11","9.8","0","0"
"466940","44.5","39.7","42","56.5","20.2","0.3","0","0","0","0","0","0","0","53","4.2","1.6","9.4","20","1.4","0.3","0","0","9.3","15.5","4.5","29","70.6","0.2","0"
"466950","25.6","15","2.4","3.9","3.8","0","0","0","0","0","15.3","0","0","12.3","0.7","0","0.7","9","15.8","0","0","0","3.4","2.1","0","4.7","6","0","0"
"466990","-9998","0","0.5","0","1.5","0","0","0","0","0","4","0","0","1.5","1.5","3.5","9.5","1.5","-9998","0","0","0","-9998","1","-9998","0.5","0","0","0"
"467050","18","6.5","0.5","1","2.5","0","0","0","0","0","5.4","0","0","22","0.5","0","0.5","2.5","0.1","0.5","0","0","1.7","1.7","0","8.2","10.5","0","0"
"467060","42.8","29.1","40.3","20.1","5.9","0","0","0","0","0","0.5","0.6","0","20.3","2.2","0.1","6.5","3.3","0.4","0.2","0.5","0","10.4","83.4","39.4","34.7","0","0","0.6"
"467080","13.5","8.9","3.5","6.5","1.9","0.3","0","0","0","0","0","0","0","16.9","0.4","3","4.9","23.3","-9998","1","0","0","0.2","8.4","17.5","8.9","0","0","0"
"467110","8","0","0","0","0","0","0","0","0","0","6.5","17.5","1","4.5","0","0","0.2","0","1","1.9","0","-9998","0.2","0.5","0","0","-9998","0","0"
"467300","2.8","0.5","0","4.5","0","0","0","0","0","0","26.6","0.4","0","0","0","0","0.9","2.9","0","0","0","0","0","0","0","0","0","0","0"
"467350","0.7","0.1","-9998","0.1","0","0","0","0","0","0","9.5","0","0","-9998","0","-9998","-9998","0.2","0","0","0","-9998","0","0","0","0","-9998","0","0"
"467410","0","0","0","-9998","5.5","0","0","0","0","0","10.5","22","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","0","0","0"
"467420","0","0","0","-9998","5","0.5","0","0","0","0","11","7.5","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","0","0"
"467440","0","0","0","0.5","2","0","0","0","0","0","2","20","0","0","0","0","0","0","0","0","0","0","0","-9998","0","0","0","0","0"
"467480","0.6","1.5","0","1.5","0.2","0","0","0","0","0","5.5","0","0","0","0","0.5","-9998","0.5","0","1","0","1","0","-9998","0","0","0","0","0"
"467490","6","1","0.8","1.3","0","0","0","0","0","0","9.1","0","0","2.4","0","0","0.3","2.9","0","0.1","0","0.1","0","0.2","0","0","0","0","0"
"467530","2","3.5","0","2.4","26","0","0","0","0","0","15","2.4","0","0","7.1","8.5","0.8","1.2","0","10.3","0.8","3","8.3","0","0.1","0","0","0","0"
"467540","0.6","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0.5","0","0","0","0.8","0","0","0","0","0","0","0","0","0"
"467550","9.5","6.5","2","2.5","19.8","0","0","0","0","0","5.5","0","0","0","0.5","2.5","0.5","0.8","0","1","0","0","0","2.5","0","0","0","0","0"
"467571","17","5","0","1.5","5","-9998","0","0","0","0","2","0","0","22","0","0","2","5.5","0","1","0","0","-9998","0.5","0.1","4.2","7.5","0","0"
"467590","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467610","3.8","0","0","0.1","6.4","0.3","0","0","0","0","10.2","7.4","0","9.1","0.6","0","0.6","0","0","6.2","0.1","0.3","2.8","0","0","0","5.8","0","0.9"
"467620","21","8.6","3.2","30.9","13.9","2.6","0","0","0","0.9","41.5","0","0","4","4.2","15.1","5.8","0","0","2","0","1.1","8.4","0.8","7.6","24.1","0.3","13.2","0.8"
"467650","2.5","12.5","0","4.5","2","1","0","0","0","0","6.5","0.5","0","1.5","0.5","0.5","0.5","1","0","2.5","0","2.5","3","0","0.5","0","0","0","0"
"467660","6.1","0","0","3","7","0","0","0","0","0","4.8","0","0","0","0.7","0.1","0","0","0","-9998","0","0","-9998","0","0","0","0","0","0"
"467770","2.5","3","0","0.2","0.2","0","0","0","0","0","5.5","0","0","0","0","0","0.2","3.5","0","-9998","0","0","0","0","0","0","0","0","0"
"467780","0","-9998","0","0.5","0.5","0","0","0","0","0","16.5","0.5","-9998","0","0","0","0","1.5","0","-9998","0","-9998","0","0.5","0","0","-9998","0","0"
"467990","17","-9998","0","0","0","0","0","0","0","0","17.5","0","0","9.9","0.5","0","0","0","0.6","-9998","0","1.1","12.5","2.5","0","0.7","1.5","0","0"
