"stno","2011-02-01","2011-02-02","2011-02-03","2011-02-04","2011-02-05","2011-02-06","2011-02-07","2011-02-08","2011-02-09","2011-02-10","2011-02-11","2011-02-12","2011-02-13","2011-02-14","2011-02-15","2011-02-16","2011-02-17","2011-02-18","2011-02-19","2011-02-20","2011-02-21","2011-02-22","2011-02-23","2011-02-24","2011-02-25","2011-02-26","2011-02-27","2011-02-28"
"466880","1020.5","1019.9","1017.7","1015.9","1016.9","1015.2","1011.3","1008.5","1010.6","1012.2","1018.7","1021.2","1016.2","1021.9","1022.4","1016.6","1014.7","1016.3","1016.5","1018.6","1018.9","1018.1","1016","1015.2","1016.5","1015.9","1014.2","1013.8"
"466900","1019.7","1019.2","1017.1","1015.1","1016.1","1014.3","1010.4","1007.8","1009.8","1011.6","1018.2","1020.3","1015.5","1021.4","1021.6","1015.9","1014.1","1015.6","1015.9","1017.9","1018.3","1017.4","1015.2","1014.3","1015.5","1015.2","1013.8","1013.5"
"466910","925.8","925.1","924","922.3","923.2","922.1","919.1","916.4","918.2","918.9","923.1","925.1","921.9","925.2","926.5","923","921.3","922","922.2","923.7","923.9","923.9","922.8","922.3","923.7","923.7","922.5","921.6"
"466920","1021.2","1020.5","1018.3","1016.4","1017.7","1015.8","1012","1009","1011.2","1012.6","1019.1","1021.7","1016.8","1022.4","1023.2","1017.2","1015.1","1016.9","1017","1019","1019.5","1018.7","1016.5","1015.7","1017.1","1016.6","1014.6","1014.2"
"466930","951","950.2","948.8","947.2","947.9","946.7","943.8","940.9","942.5","943.5","948.5","950.6","947","950.8","951.9","948.1","945.9","946.7","946.6","947.8","948.3","948.7","947.4","946.8","947.9","948.1","946.6","945.7"
"466940","1018.7","1017.8","1015.8","1013.8","1015.5","1013.5","1009.7","1006.2","1008.9","1010","1016.7","1019.6","1014.3","1019.8","1021","1014.6","1012.7","1014.7","1014.6","1016.3","1016.9","1016.3","1014.4","1013.5","1015.2","1014.7","1012.3","1012.2"
"466950","1010.3","1009.1","1007.3","1005.4","1007.1","1005.2","1001.9","997.8","1000.5","1001.3","1007.7","1011","1005.9","1010.5","1012.5","1006.2","1003.9","1006","1006","1007.5","1008.2","1007.9","1006","1005.1","1006.8","1006.9","1004.1","1003.6"
"466990","1019.3","1017.2","1015.6","1013.9","1015.8","1014.4","1011.4","1007","1008.9","1009.4","1014.2","1019.6","1014.7","1017.2","1021.1","1016.4","1012.2","1013.9","1014.3","1015.6","1016.6","1016.7","1014.9","1014","1015.2","1016.5","1014","1012.4"
"467060","1018.8","1017.5","1015.6","1013.6","1015.7","1013.8","1010.5","1006.4","1008.7","1009.4","1016","1019.8","1014.2","1019","1021.3","1015.3","1012.1","1014.5","1014.6","1016.1","1016.8","1016.5","1014.5","1013.8","1015.3","1015.6","1012.8","1011.8"
"467080","1021","1019.7","1017.8","1015.6","1017.8","1015.9","1012.5","1008.4","1010.9","1011.4","1018.2","1022.2","1016.5","1021.3","1023.6","1017.5","1014","1016.4","1016.7","1018.2","1019","1018.6","1016.6","1015.8","1017.3","1017.6","1014.8","1013.8"
"467110","1021.1","1019.6","1018.1","1015.6","1016.3","1014.7","1011.2","1007.7","1009.3","1011.6","1017.2","1019.8","1016.9","1020.1","1021.8","1017","1014.1","1016.1","1016.7","1018.2","1018","1017.6","1015.7","1014.5","1015.5","1016.2","1014","1012.5"
"467300","1016.2","1014.5","1013.3","1011.1","1011.2","1010.7","1007.6","1004.6","1005.6","1007.2","1010.7","1013.4","1011.4","1013.3","1015.3","1012.6","1009.9","1010.7","1011.6","1013","1013.1","1013.2","1012.2","1011.1","1011.6","1012.3","1011.3","1009.6"
"467350","1021.1","1019.5","1018","1015.6","1015.9","1015","1011.7","1008.6","1010","1011.5","1015.9","1018.6","1016.4","1019","1020.4","1017","1014.3","1015.5","1016.4","1017.9","1017.8","1017.6","1016.4","1015.2","1015.9","1016.7","1015.3","1013.7"
"467410","1018.5","1016.9","1015.6","1013.4","1013.6","1013.1","1010.2","1006.9","1008","1009.5","1012.9","1015.9","1013.8","1015.9","1017.8","1015.1","1012.4","1013","1013.9","1015.3","1015.5","1015.5","1014.6","1013.5","1013.9","1014.6","1013.8","1012"
"467420","1020","1018.2","1016.8","1014.6","1014.8","1014.3","1011.3","1008","1009.1","1010.5","1014.1","1017.3","1015.1","1017.5","1019.4","1016.5","1013.6","1014.2","1015","1016.5","1016.6","1016.7","1015.7","1014.5","1014.9","1015.7","1014.8","1013"
"467440","1020.1","1018.3","1017.1","1014.9","1015.3","1014.9","1012","1008.5","1009.5","1010.9","1014.1","1017.6","1015.3","1017.1","1019.5","1016.8","1013.9","1014.5","1015.3","1016.5","1017","1017.1","1016.3","1015.3","1015.5","1016.2","1015.5","1013.6"
"467480","1018.1","1016.5","1015.1","1012.8","1013","1012.4","1009.4","1006.4","1007.5","1009","1012.7","1015.4","1013.5","1015.7","1017.4","1014.5","1011.8","1012.5","1013.4","1014.9","1015","1014.8","1013.8","1012.7","1013.3","1014","1013.1","1011.4"
"467490","1011.3","1009.6","1008.3","1006.2","1006.3","1005.6","1002.6","999.8","1000.7","1002.3","1005.9","1008.5","1006.9","1009","1010.5","1007.8","1005.2","1005.7","1006.7","1008.1","1008.1","1008.1","1007","1006.1","1006.3","1007","1006.1","1004.9"
"467530","763.8","763.4","763.4","762.4","763.1","762.6","760.5","759.1","759.6","761","761.4","761.6","760.9","761.7","763.6","764.1","763.4","762.7","763.2","763.7","763.3","763.8","763.7","763.6","764.3","765.1","765","764"
"467540","1019.5","1017.4","1016.3","1014.3","1015.6","1014.9","1012.3","1007.8","1009.5","1010.3","1014.3","1018.9","1015.3","1016.7","1020.4","1017.5","1012.8","1013.9","1014.7","1015.9","1016.7","1017","1015.9","1014.7","1015.4","1016.9","1015.4","1013.7"
"467550","637.3","637.9","638.4","638.4","640.1","640.1","637.8","635.3","637.3","637.6","637","636.5","636.1","637.4","639.2","640","639.6","639","639.4","639.3","638.3","639.1","639.8","640.1","641","642.3","643.7","643"
"467571","1018.4","1017.6","1015.6","1013.8","1014","1012.6","1009.1","1006.6","1007.7","1010.2","1015.8","1016.5","1014.1","1018.8","1018.4","1014.5","1012.6","1013.8","1014.4","1016.5","1016.4","1015.9","1013.8","1012.9","1013.7","1014.1","1012.7","1012"
"467590","1017.1","1015.4","1014.3","1012.1","1012.9","1012.5","1009.5","1005.9","1007","1008.2","1011.1","1014.6","1012.3","1013.4","1016.5","1014.2","1011","1011.6","1012.4","1013.6","1014.1","1014.4","1013.8","1012.7","1013.1","1014.1","1012.9","1011.1"
"467610","1016.5","1014.2","1012.9","1011.1","1012.6","1011.7","1009","1004.6","1006.3","1007","1011.4","1016.1","1012.1","1014.1","1017.7","1014.2","1009.6","1010.8","1011.4","1012.7","1013.5","1013.8","1012.5","1011.2","1012.2","1013.8","1011.9","1010.2"
"467620","982.3","980.8","979.8","977.8","978.5","978.1","975.8","972.2","973.3","974.2","976.6","980.5","978.4","978.4","982.4","980.7","977.1","977.1","978.1","978.9","979.6","980.1","979.4","978.7","979.1","980","978.9","977.5"
"467650","906.2","905.1","904.5","902.9","903.4","902.6","900.2","898","898.7","900.1","901.4","903.2","902.2","902.9","905.1","903.9","902.6","902.2","902.8","903.6","903.7","904.3","903.9","903.5","903.9","904.4","903.8","902.8"
"467660","1019.5","1017.2","1016","1014.1","1015.5","1014.8","1012.1","1007.6","1009.2","1010","1014.2","1019.1","1015.2","1016.8","1020.7","1017.3","1012.5","1013.8","1014.5","1015.8","1016.6","1016.9","1015.6","1014.4","1015.2","1016.9","1015","1013.4"
"467770","1018.8","1017.3","1015.6","1013.5","1013.7","1013","1009.7","1006.9","1007.8","1009.7","1013.8","1015.8","1014.4","1016.8","1018","1015.2","1012.6","1013.3","1014.2","1015.7","1015.6","1015.6","1014.3","1013.4","1013.9","1014.5","1013.4","1012.2"
"467780","1020.2","1018.5","1017.1","1014.8","1014.9","1014.5","1011.4","1008.2","1009.4","1010.9","1014.5","1017.5","1015.4","1017.5","1019.4","1016.5","1013.7","1014.4","1015.4","1016.8","1016.9","1016.9","1016","1014.8","1015.2","1016","1015.1","1013.2"
"467990","1015.1","1013.9","1011.7","1008.9","1010.4","1007.9","1004.8","999.8","1004.5","1006","1012.2","1015.1","1011.3","1014.9","1016.7","1010.1","1007.8","1010.9","1010.9","1012.3","1012.3","1011.5","1008.9","1008","1010.3","1010.2","1006","1006.8"
"C0A520","1015.9","1015.3","1013.3","1011.6","1012.3","1010.8","1007","1004.2","1006.2","1007.8","1014","1016.1","1011.6","1017","1017.3","1012.2","1010.3","1011.8","1012.1","1014.2","1014.4","1013.7","1011.7","1010.9","1012.3","1011.7","1010.2","1009.7"
"C0A530","985.9","985.1","983.5","981.7","983","981.2","978.1","975","976.9","978","983.4","986.1","981.6","986","987.4","982.5","980.3","981.8","981.9","983.6","984.1","983.8","982","981.4","982.9","982.9","980.8","980.1"
"C0A540","975.4","974.5","973.1","971.2","972.6","971","968","964.8","966.7","967.5","972.7","975.5","971.2","975.3","976.8","972.3","969.9","971.4","971.5","973.1","973.5","973.3","971.7","971.1","972.6","973","970.9","969.8"
"C0A550","972.5","971.5","970.2","968.4","969.9","968","965","961.7","963.8","964.7","969.9","972.7","968.2","972.4","974","969.3","967","968.6","968.6","970.2","970.6","970.5","968.9","968.2","969.9","970","967.8","967"
"C0A560","973.2","972.3","970.9","969","970.6","969","966","962.6","964.7","965.2","970.6","973.5","969","973.2","974.7","970.2","967.7","969","969.3","971","971.4","971.2","969.6","969","970.4","970.9","968.9","967.7"
"C0A570","980","979.3","977.7","975.9","977.2","975.6","972.3","969.3","971.3","972.3","977.8","980.4","975.7","980.4","981.6","976.6","974.5","976","976.1","978","978.4","978","976.2","975.6","977.1","977","975.2","974.4"
"C0A640","995.4","994.7","992.9","991.1","992.4","990.6","987.2","984.1","986.1","987.2","993","995.7","991","995.9","997.1","991.8","989.8","991.3","991.4","993.3","993.7","993.2","991.4","990.6","992.2","992.2","990","989.3"
"C0A650","989.1","988.2","986.6","984.7","986.2","984.3","980.9","977.6","979.8","980.9","986.6","989.4","984.7","989.4","990.8","985.5","983.3","985","985.1","986.8","987.3","986.9","985.2","984.5","986.1","986","983.6","982.9"
"C0A660","1011.6","1010.8","1008.9","1007.1","1008.7","1006.7","1003.1","999.7","1002.2","1003.3","1009.5","1012.3","1007.3","1012.4","1013.6","1007.7","1005.9","1007.7","1007.6","1009.3","1009.8","1009.4","1007.5","1006.7","1008.4","1008.1","1005.7","1005.4"
"C0A860","979.1","978.2","976.8","974.8","976.2","974.4","971.1","967.7","970.2","971.1","976.6","979.2","974.8","979.1","980.6","975.4","973.4","975.1","975.1","976.7","977.2","976.9","975.3","974.5","976.2","976.1","973.7","973.1"
"C0A870","940.6","939.8","938.7","937.1","938.1","936.8","933.8","930.9","932.7","933.6","937.4","939.8","936.5","939.6","941.2","937.7","935.9","936.6","936.8","938.4","938.5","938.8","937.6","937","938.4","938.5","937.1","936.3"
"C0A880","1020.1","1019.2","1017.2","1015.4","1017.2","1015.1","1011.7","1007.7","1010.3","1011.3","1017.8","1020.9","1015.6","1020.8","1022.3","1016.4","1014","1016.1","1016.1","1017.8","1018.4","1018","1016.1","1015.3","1016.9","1017","1014.2","1013.7"
"C0A890","1016","1015","1013.2","1011.3","1013.1","1011.2","1007.7","1003.8","1006.4","1007.3","1013.7","1016.8","1011.6","1016.7","1018.2","1012.3","1009.8","1011.9","1012","1013.6","1014.2","1013.8","1012","1011.2","1012.7","1012.8","1010.1","1009.6"
"C0A920","997.6","996.9","995.3","993.4","994.5","992.7","989","985.9","988.3","989.6","995.7","997.7","993.3","998.4","999.1","993.6","992.1","993.7","993.8","995.5","995.9","995.4","993.6","992.6","994.5","993.9","991.9","991.5"
"C0A940","1015.7","1014.8","1013.1","1011.1","1012.6","1010.6","1006.9","1003.3","1005.9","1007.3","1013.7","1016.2","1011.3","1016.6","1017.6","1011.8","1009.9","1011.8","1011.8","1013.5","1014","1013.5","1011.6","1010.7","1012.4","1012.2","1009.5","1009.3"
"C0A950","1014.8","1013.8","1011.9","1010.1","1012.1","1010.2","1006.6","1002.8","1005.4","1006.2","1012.3","1015.3","1010.2","1014.9","1016.6","1010.8","1008.8","1010.9","1010.7","1012.4","1013","1012.8","1011","1010.1","1011.8","1011.6","1009.1","1008.6"
"C0A970","1011.8","1010.5","1008.6","1006.9","1008.8","1007","1003.6","999.6","1002","1002.7","1008.6","1012.3","1007.2","1011.6","1013.8","1008","1005.4","1007.4","1007.5","1009","1009.7","1009.5","1007.7","1007","1008.5","1008.6","1005.9","1005.3"
"C0A980","1021.7","1021.1","1019","1017.1","1018.3","1016.4","1012.8","1009.8","1011.8","1013.3","1019.7","1022.1","1017.4","1022.8","1023.5","1018","1015.9","1017.5","1017.7","1019.7","1020.1","1019.5","1017.4","1016.5","1017.9","1017.7","1015.7","1015.2"
"C0A9A0","1018.3","1017.6","1015.6","1013.8","1015","1013.2","1009.6","1006.5","1008.6","1010.1","1016.1","1018.6","1013.9","1019.2","1020","1014.6","1012.6","1014.1","1014.2","1016.2","1016.6","1016","1014","1013.2","1014.7","1014.4","1012.5","1012"
"C0A9C0","1017","1016.4","1014.4","1012.5","1013.8","1011.9","1008.3","1005.3","1007.2","1008.8","1014.7","1017.2","1012.7","1017.8","1018.6","1013.4","1011.3","1012.8","1013","1014.9","1015.4","1014.8","1012.7","1011.9","1013.4","1013.1","1011.3","1010.7"
"C0A9E0","1019.4","1018.7","1016.7","1014.9","1016.1","1014.3","1010.6","1007.6","1009.7","1011.1","1017.3","1019.8","1015","1020.3","1021.1","1015.7","1013.7","1015.2","1015.4","1017.3","1017.8","1017.2","1015.1","1014.3","1015.8","1015.4","1013.6","1013.1"
"C0A9F0","1017.8","1017.1","1015.1","1013.2","1014.5","1012.5","1009","1005.8","1007.9","1009.4","1015.6","1018.1","1013.4","1018.7","1019.5","1014","1011.9","1013.6","1013.7","1015.7","1016.1","1015.5","1013.4","1012.5","1014.1","1013.8","1011.7","1011.3"
"C0AC40","896.9","896.2","895.5","894.2","894.7","894","891","888.7","890","891","893.6","894.9","893.1","895.2","896.4","894.7","893.4","893.1","893.5","894.9","894.8","895.5","894.8","894.5","895.5","895.7","895.2","894.3"
"C0AC60","1015","1014.4","1012.3","1010.7","1011.3","1009.7","1005.9","1003.3","1005.1","1006.8","1013.1","1014.9","1010.6","1016.2","1016","1011.2","1009.5","1010.8","1011.1","1013.2","1013.4","1012.7","1010.8","1010","1011.1","1010.7","1009.3","1008.8"
"C0AC70","1013.4","1012.8","1010.8","1008.9","1010.1","1008.2","1004.6","1001.6","1003.8","1005.2","1011.3","1013.8","1009.1","1014.4","1015.2","1009.7","1007.6","1009.3","1009.4","1011.4","1011.8","1011.2","1009.1","1008.3","1009.9","1009.4","1007.5","1007"
"C0AC80","1017.4","1016.8","1014.8","1012.9","1014","1012","1008.3","1005.3","1007.5","1008.9","1015.3","1017.8","1012.9","1018.3","1019.2","1013.5","1011.6","1013.3","1013.4","1015.4","1015.8","1015.1","1013","1012.2","1013.8","1013.3","1011.2","1010.7"
"C0ACA0","1019.7","1019.1","1017.1","1015.2","1016.2","1014.3","1010.6","1007.6","1009.8","1011.5","1017.7","1020.1","1015.4","1020.8","1021.5","1016","1014","1015.6","1015.9","1017.9","1018.2","1017.4","1015.4","1014.6","1016.1","1015.6","1013.7","1013.2"
"C0AD00","1011.8","1011.2","1009.4","1007.4","1008.4","1006.3","1002.7","999.8","1002.1","1003.7","1010","1012","1007.4","1012.8","1013.5","1007.9","1006.2","1007.9","1008.1","1009.9","1010.3","1009.5","1007.4","1006.5","1008.3","1007.7","1005.9","1005.5"
"C0AD10","1018.5","1018.1","1016","1014.1","1014.9","1013.1","1009.1","1006.6","1008.6","1010.6","1017","1019","1014.1","1020.2","1020.3","1014.6","1013","1014.6","1014.9","1016.9","1017.1","1016.3","1014.2","1013.1","1014.6","1014","1012.8","1012.5"
"C0AD30","1019.3","1018.8","1016.8","1014.9","1015.9","1014","1010.3","1007.4","1009.5","1011.2","1017.4","1019.7","1015.1","1020.5","1021.2","1015.8","1013.8","1015.3","1015.6","1017.6","1017.9","1017.1","1015","1014.3","1015.7","1015.2","1013.4","1013"
"C0AD40","1018.5","1018","1015.9","1014.1","1014.9","1013.1","1009.2","1006.5","1008.8","1010.4","1016.6","1018.9","1014.2","1019.7","1020.2","1014.7","1012.9","1014.4","1014.7","1016.8","1017","1016.1","1014.2","1013.5","1014.9","1014.1","1012.5","1012"
"C0AD50","1013.5","1013.1","1011.1","1009.3","1009.9","1008.5","1004.7","1002.2","1003.9","1005.7","1011.7","1013.5","1009.3","1014.7","1014.6","1009.9","1008.2","1009.5","1009.8","1011.9","1012.1","1011.3","1009.5","1008.7","1009.8","1009.4","1008.1","1007.7"
"C0C460","967.6","966.9","965.3","963.8","964","963","959.8","957.4","958.4","960.2","965.1","966.3","963.6","967.7","967.5","964.3","962.5","963.2","963.8","965.7","965.6","965.5","964","963.4","964.1","964.1","963.2","962.4"
"C0C480","1010.2","1009.8","1007.8","1005.9","1006.5","1005.1","1001.3","998.5","1000.3","1002.3","1008.5","1010.3","1006","1011.5","1011.5","1006.5","1004.8","1006.2","1006.4","1008.6","1008.8","1008.1","1006","1005.2","1006.3","1005.9","1004.6","1004.1"
"C0C540","1016.7","1016.2","1014.2","1012.3","1013","1011.3","1007.3","1004.8","1006.7","1008.9","1015.1","1016.8","1012.4","1018.1","1018.1","1012.9","1011.2","1012.8","1013.1","1015.1","1015.2","1014.6","1012.4","1011.4","1012.7","1012.5","1011","1010.6"
"C0C590","1013.4","1012.8","1010.9","1009","1009.6","1008","1004.1","1001.6","1003.3","1005.5","1011.5","1013","1009.1","1014.5","1014.4","1009.6","1007.9","1009.3","1009.7","1011.7","1011.8","1011.2","1009.1","1008.1","1009.3","1009.3","1007.7","1007.3"
"C0C630","997.2","996.6","994.8","993.1","993.5","992.1","988.5","986","987.3","989.5","995.2","996.4","993.1","998.1","997.6","993.6","991.9","992.9","993.4","995.5","995.6","995.1","993.3","992.4","993.3","993.2","991.9","991.3"
"C0C650","997.5","996.9","995","993.3","993.8","992.3","988.7","986.2","987.6","989.7","995.3","996.6","993.3","998.2","998","993.8","992.1","993.2","993.7","995.7","995.8","995.3","993.5","992.6","993.6","993.5","992.1","991.6"
"C0D360","959.6","958.8","957.4","955.8","956.1","954.9","952","949.7","950.4","952.1","956.2","956.9","955.5","958.6","958.9","956.3","954.5","955.1","955.8","957.5","957.4","957.4","956","955.5","956.1","956.3","955.4","954.6"
"C0D390","1003.2","1002.4","1000.7","998.9","999","997.7","994.4","991.9","992.8","995.2","1000.6","1001.2","999","1003.6","1003","999.6","997.6","998.6","999.3","1001.3","1001.2","1000.9","999","998.2","998.8","999","997.9","997.1"
"C0D480","989.6","988.9","987.1","985.3","985.6","984.2","980.9","978.5","979.4","981.8","987","987.7","985.4","989.9","989.4","986","984.2","985.1","985.7","987.7","987.7","987.4","985.5","984.8","985.4","985.6","984.4","983.6"
"C0D540","996.2","995.4","993.6","991.8","992","990.7","987.4","985","986","988.2","993.1","993.8","992","996","996","992.5","990.7","991.5","992.3","994.2","994.1","993.8","992","991.3","991.8","992.2","991","990.1"
"C0D550","812.6","812.1","812","810.9","811.8","811","808.3","806.4","807.7","808.7","809.2","809.8","809.3","809.8","811.8","811.9","811","810","810.4","811.3","811.1","812","811.7","811.7","812.7","813.6","813.2","812.2"
"C0D560","1005.9","1005.1","1003.2","1001.4","1001.6","1000.3","996.9","994.5","995.5","997.8","1003","1003.6","1001.7","1006","1005.7","1002.2","1000.3","1001.3","1002","1004","1003.9","1004","1001.1","1000.7","1001.4","1001.8","1000.5","999.7"
"C0D570","1020.9","1020","1018.1","1016.1","1016.2","1015","1011.5","1009","1010","1012.6","1018.1","1018.8","1016.7","1021.1","1020.9","1017.2","1015.1","1016.4","1017.1","1019","1018.8","1018.4","1016.4","1015.5","1016.1","1016.7","1015.4","1014.6"
"C0D580","1008.3","1007.4","1005.6","1003.7","1003.9","1002.6","999.2","996.8","997.7","1000.2","1005.5","1006.1","1004.1","1008.4","1008.2","1004.6","1002.6","1003.6","1004.4","1006.3","1006.2","1005.8","1003.9","1003.1","1003.7","1004.2","1002.8","1002"
"C0D590","1006.5","1005.7","1003.8","1002","1002.1","1000.9","997.4","995","996","998.4","1003.5","1004.4","1002.2","1006.5","1006.3","1002.8","1000.9","1001.8","1002.5","1004.4","1004.3","1004.1","1002.2","1001.3","1002","1002.3","1001.1","1000.4"
