"stno","2012-06-01","2012-06-02","2012-06-03","2012-06-04","2012-06-05","2012-06-06","2012-06-07","2012-06-08","2012-06-09","2012-06-10","2012-06-11","2012-06-12","2012-06-13","2012-06-14","2012-06-15","2012-06-16","2012-06-17","2012-06-18","2012-06-19","2012-06-20","2012-06-21","2012-06-22","2012-06-23","2012-06-24","2012-06-25","2012-06-26","2012-06-27","2012-06-28","2012-06-29","2012-06-30"
"466880","1007.6","1005.1","1003.5","1002.1","1003.1","1002.9","1002.8","1003.1","1001.5","998.4","996.2","997.7","1001.3","1000.9","1000.1","1003.8","1003.7","1000.8","998.5","997.5","1004.7","1005.9","1004.2","1004.4","1004.6","1004.8","1006","1003.9","1002.9","1007.1"
"466900","1006.6","1004.2","1002.5","1001.2","1002.2","1001.9","1002.1","1002.5","1000.9","997.7","995.7","996.6","1000.3","999.9","999.1","1002.7","1002.6","999.9","997.4","996.4","1003.7","1004.9","1003.3","1003.6","1003.7","1004","1005.2","1003.1","1001.9","1006.4"
"466910","917.7","915.6","914","913.1","914","914.4","914.8","915.3","913.7","910.9","908.6","908.9","912.3","912.3","911.7","915.1","915.3","912.7","910.3","909.2","915.2","917.1","915.8","916.2","916.3","916.5","917.7","915.6","914.7","918.6"
"466920","1008","1005.4","1003.9","1002.4","1003.5","1003.3","1003.1","1003.4","1001.8","998.7","996.5","997.9","1001.6","1001.2","1000.4","1004.1","1004","1001","998.8","997.8","1005","1006.2","1004.5","1004.8","1004.9","1005.1","1006.3","1004.3","1003.1","1007.3"
"466930","941","938.9","937.1","936.2","937.2","937.5","937.9","938.4","936.8","933.9","931.8","932","935.5","935.4","934.8","938.4","938.7","935.8","933.3","932.1","938.5","940.3","938.9","939.2","939.3","939.5","940.7","939.1","938","941.7"
"466940","1006","1003.1","1001.8","1000.1","1001.4","1001.5","1000.9","1001.1","999.4","996.5","993.9","995.7","999.7","999.1","998.1","1001.8","1001.9","998.7","996.5","995.5","1002.6","1004","1002.3","1002.6","1002.7","1002.9","1004.1","1002.8","1001.3","1005.2"
"466950","997.4","994.6","993.5","991.7","992.8","993.6","992.9","993.1","991.3","988.5","985.7","987.4","991.5","991","990.2","994","994.4","990.8","988.5","987.3","993.9","995.9","994.3","994.6","994.6","994.8","996.3","995.4","994","997.2"
"466990","1006.3","1003.2","1001.6","999.9","1001.5","1003.1","1002.4","1002.1","1000.5","998.3","995.7","996.3","1000.5","1000.6","999.9","1003.2","1004.3","1000.1","997.7","996.4","1003.2","1005.4","1003.1","1003.4","1003.5","1004.1","1005.5","1004.9","1004.2","1006.7"
"467060","1006.3","1003.1","1001.8","999.9","1001.3","1002.4","1001.5","1001.6","1000","997.3","995","995.9","1000.2","999.5","998.4","1002.1","1003","999.5","997.1","995.7","1002.4","1004.5","1002.7","1003","1003.1","1003.4","1004.7","1003.9","1002.4","1005.4"
"467080","1007.9","1004.6","1003.5","1001.6","1002.6","1004.1","1003.2","1003.5","1001.7","999","996.6","997.5","1001.9","1001.2","999.9","1003.7","1004.4","1001.2","998.8","997.5","1004.1","1006.3","1004.5","1004.9","1005","1005.3","1006.7","1005.7","1003.6","1007.2"
"467110","1005.6","1003.6","1002","1000.9","1001.3","1001.6","1001.1","1001.2","999.3","995.7","993.7","995.6","999","998.1","998","1000.6","1001.9","998.6","994.9","993.7","1002.2","1002.4","1001.2","1001.5","1001.5","1001.8","1003.2","1001.6","1000.8","1004.6"
"467300","1002.3","1000.2","998","998","999.3","999.6","1000","1001.2","999.8","996.7","994.9","994.4","996.9","995.5","996.9","999.3","1000.6","997.5","994.6","992.3","1001.2","1002.7","1001.9","1002.3","1002","1001.9","1002.6","999.8","998.8","1003"
"467350","1006.6","1004.6","1002.5","1002.4","1003.2","1003.5","1003.8","1004.9","1003.6","1000.4","998.7","998.2","1000.9","999.4","1000.6","1003.4","1004.5","1001.4","998.3","995.6","1005.1","1006.4","1005.7","1006.1","1005.8","1005.8","1006.6","1003.7","1003.2","1007.3"
"467410","1004.5","1002.3","1000.2","1000.2","1001.4","1001.3","1001.3","1002.9","1001.7","998.7","997.2","996.2","998.1","997.8","998.5","1000.6","1001.6","999","996.8","995.9","1002.9","1004.6","1003.9","1004.1","1003.6","1003.4","1003.7","1000.5","1000.2","1004.2"
"467420","1005.4","1003.2","1001.1","1001.1","1002.3","1002.9","-9997","1005.2","1004.1","1001","999.6","998.6","1000.5","1000.3","1000.9","1003","1004","1001.3","999.1","998.2","1005.3","1007","1006.2","1006.4","1005.9","1005.6","1006","1002.8","1002.5","1006.5"
"467440","1006.3","1003.7","1002","1001.9","1003","1004","1004.9","1006.5","1005.3","1002.3","1000.9","999.7","1001.6","1001.4","1002.1","1003.8","1004.7","1002.5","1000.3","999.9","1006.5","1008.2","1007.4","1007.7","1007.1","1006.8","1007.1","1003.6","1003.5","1007.5"
