"stno","2013-12-01","2013-12-02","2013-12-03","2013-12-04","2013-12-05","2013-12-06","2013-12-07","2013-12-08","2013-12-09","2013-12-10","2013-12-11","2013-12-12","2013-12-13","2013-12-14","2013-12-15","2013-12-16","2013-12-17","2013-12-18","2013-12-19","2013-12-20","2013-12-21","2013-12-22","2013-12-23","2013-12-24","2013-12-25","2013-12-26","2013-12-27","2013-12-28","2013-12-29","2013-12-30","2013-12-31"
"466880","1020.7","1020","1018","1017.1","1016.3","1016","1016.2","1013.4","1012.8","1015.9","1018.1","1016.6","1019","1019.6","1017.6","1012.9","1012.7","1016.8","1021.7","1023.3","1024.3","1023.1","1021.4","1023.2","1019.2","1018.7","1023.5","1021","1022","1020.2","1018.8"
"466900","1020.1","1019.5","1017.2","1016.4","1015.7","1015.2","1015.2","1012.6","1012.4","1015.3","1017.6","1015.9","1018.5","1019","1017.3","1012.2","1012.2","1016.3","1021.1","1022.6","1023.8","1022.6","1020.9","1022.7","1018.9","1018.3","1023.1","1020.6","1021.5","1019.7","1018.4"
"466910","927.1","926.4","924.7","923.9","923.5","923.1","924.1","922.5","920.8","921.9","923.9","923.5","925.8","927","925.5","921.1","919.3","922","926.2","928","928.7","928.2","927.1","928.4","925.4","923.8","926.7","925.7","926.2","925.7","925.1"
"466920","1021.2","1020.6","1018.4","1017.4","1016.7","1016.4","1016.8","1014.1","1013.2","1016.4","1018.5","1017.1","1019.4","1020.2","1018.3","1013.4","1013.1","1017.1","1022.1","1023.9","1024.9","1023.8","1022","1023.8","1019.9","1019.1","1023.9","1021.6","1022.5","1020.7","1019.4"
"466930","951.6","951","949.2","948.3","947.8","947.4","948.2","946.4","944.9","946.4","948.5","947.9","950.1","951","949.6","944.8","943.5","946.8","951.2","952.8","953.6","953","951.5","953","949.8","948.6","952.1","950.7","951.2","950.3","949.6"
"466940","1019.1","1018.7","1016.4","1015.1","1014.5","1014.4","1015.1","1012.4","1010.6","1014.3","1016.4","1015.1","1017.1","1018.2","1016.4","1011.4","1010.3","1014.2","1019.4","1021.6","1022.5","1021.5","1019.9","1021.6","1017.5","1016.3","1021.2","1019.1","1020.1","1018.4","1017.1"
"466950","1010.8","1010.5","1008.2","1006.8","1006.4","1005.9","1007","1004.6","1002.4","1005.8","1007.9","1007","1008.7","1010.1","1008.1","1002.4","1001.2","1005.2","1010.5","1013.2","1013.9","1013","1011.3","1013.1","1009.2","1007.5","1012.4","1010.9","1011.6","1010.1","1008.9"
"466990","1019.5","1019.5","1017.6","1016","1015.7","1014.5","1016.2","1014","1009.8","1014.2","1016.5","1016.5","1017","1019","1017.1","1010.5","1008.5","1012.1","1018","1021.6","1021.8","1021.6","1019.6","1021.3","1017.5","1013.9","1018.9","1019.1","1019.8","1018.3","1017.5"
"467050","1018.6","1018","1016.7","1015.6","1014.2","1013.6","1013.2","1011.1","1010.9","1014.5","1016.9","1014.8","1016.6","1016.5","1014.5","1011","1011.6","1015.8","1020.1","1021.1","1022.7","1021.4","1019.7","1020.9","1017.7","1017.5","1021.9","1019.7","1020.3","1018.9","1017.7"
"467060","1019.1","1019.1","1016.9","1015.5","1014.9","1014.4","1015.7","1013.4","1009.8","1014.4","1016.4","1015.9","1017","1018.5","1017","1010.7","1009.7","1013.4","1019.2","1021.9","1022.5","1021.8","1019.9","1021.8","1017.5","1015.7","1020.8","1019.3","1020.2","1018.5","1017.2"
