"stno","2016-02-01","2016-02-02","2016-02-03","2016-02-04","2016-02-05","2016-02-06","2016-02-07","2016-02-08","2016-02-09","2016-02-10","2016-02-11","2016-02-12","2016-02-13","2016-02-14","2016-02-15","2016-02-16","2016-02-17","2016-02-18","2016-02-19","2016-02-20","2016-02-21","2016-02-22","2016-02-23","2016-02-24","2016-02-25","2016-02-26","2016-02-27","2016-02-28","2016-02-29"
"466880","1022.7","1023.3","1022","1019.7","1019.2","1024.1","1024.9","1023","1020","1016.8","1014.5","1012.7","1011","1016","1024.8","1023.9","1022.7","1019.8","1018.4","1023.6","1022.8","1019.9","1023.6","1028","1028.6","1025.7","1022.2","1020.8","1025.9"
"466900","1022.1","1022.6","1021.3","1019","1018.6","1023.2","1024","1022.1","1019.2","1016.1","1014","1012.3","1010.6","1015.7","1024.2","1023.1","1021.9","1019.1","1017.8","1022.8","1021.9","1019.4","1023.2","1027.3","1027.7","1025","1021.5","1020.1","1025.3"
"466910","927.9","927.8","927.5","926.2","924.8","927.5","928.3","927.8","926.2","924.6","922.9","921.8","920.8","923.2","928.3","928.2","928","926.4","924.8","928.2","929","926.8","928.8","932.6","933.5","930.9","928.1","927.7","931.2"
"466920","1020.7","1021.3","1020","1017.6","1017.1","1021.7","1022.6","1020.8","1017.7","1014.8","1012.4","1010.8","1009.1","1014.1","1022.7","1021.9","1020.8","1017.9","1016.3","1021.4","1021.3","1017.8","1021.5","1026.2","1026.8","1023.9","1020.2","1018.9","1024"
"466930","952.6","952.9","952.2","950.8","949.7","953.1","954","953.1","951.2","949.3","947.3","946","944.9","947.6","953.8","953.5","953","951.1","949.6","953.4","954","951.5","953.7","957.7","958.6","955.7","952.9","952.4","956.3"
"466940","1021.4","1021.6","1020.5","1017.9","1017.3","1021.5","1022.6","1021.1","1018.1","1015","1012.4","1011.2","1009.4","1014.7","1023.1","1022.6","1021.6","1018.5","1016.1","1021.8","1022.5","1018","1022","1026.8","1027.9","1024.6","1020.3","1019.6","1024.8"
"466950","1012.3","1013","1012.1","1009.5","1008.5","1012.5","1014","1012.3","1010.3","1007.3","1004.4","1003","1001.2","1005.8","1014.2","1014","1013.1","1010.1","1006.8","1012.4","1014.3","1009.5","1012.8","1017.9","1019.2","1015.8","1011.3","1011.2","1016.2"
"466990","1019.3","1020.9","1020.6","1017.9","1015.3","1018.9","1022.4","1022.1","1020.5","1018.2","1014.9","1012.5","1010.5","1013.2","1021.7","1023.2","1022.5","1019","1015.8","1019.8","1024.4","1019.3","1020.4","1025.7","1028.2","1024.3","1019.8","1020.4","1023.8"
"467050","1021.5","1021.8","1020.7","1018.9","1018.5","1023","1023.7","1021.8","1019.1","1016.1","1013.8","1012","1010.1","1015.2","1023.4","1022.2","1020.9","1018.8","1018.1","1022.3","1020.5","1019.4","1022.6","1026","1026.1","1024.2","1021.7","1020.1","1024.2"
"467060","1021","1021.7","1020.8","1018.1","1016.8","1021.3","1022.7","1021.6","1019.4","1016.7","1013.5","1011.9","1009.9","1014.2","1023","1023","1022.2","1018.8","1015.2","1021.2","1023.9","1018.4","1021.4","1027.1","1028.5","1024.9","1020","1020.1","1024.7"
"467080","1023.1","1024","1023","1020.2","1019","1023.8","1024.9","1023.8","1021.5","1018.6","1015.5","1013.9","1011.9","1016.2","1025.2","1025.3","1024.4","1021.1","1017.3","1023.6","1025.9","1020.4","1023.3","1029.2","1030.6","1027","1022","1022.1","1026.8"
"467110","1021.7","1023.1","1022.6","1020.2","1019.1","1022.8","1024.2","1022.3","1020","1016.7","1014.1","1012.2","1010.6","1014.3","1023.3","1023.6","1022.3","1020.3","1018.6","1021.4","1022.4","1019.9","1022.1","1026.9","1028","1026.1","1022.6","1021.2","1023.9"
