"stno","2012-05-01","2012-05-02","2012-05-03","2012-05-04","2012-05-05","2012-05-06","2012-05-07","2012-05-08","2012-05-09","2012-05-10","2012-05-11","2012-05-12","2012-05-13","2012-05-14","2012-05-15","2012-05-16","2012-05-17","2012-05-18","2012-05-19","2012-05-20","2012-05-21","2012-05-22","2012-05-23","2012-05-24","2012-05-25","2012-05-26","2012-05-27","2012-05-28","2012-05-29","2012-05-30","2012-05-31"
"466880","29.1","27.9","23.6","21.2","24.1","24.5","25.6","28.5","26.9","22.9","24.2","26.6","27.4","28.8","28.5","26.6","24.2","25","24.8","23.6","24.3","24.7","26.2","26.8","27.2","26.9","25","24.6","27.6","28","24.9"
"466900","27.6","26.5","23","20.6","22.2","22.9","24.2","27.7","25.3","21.8","24.2","27","26.5","27.2","27.4","25.9","23.2","25.2","23.7","23.1","23.2","23.2","25.2","26.3","26.2","26.2","24.1","23.7","26.8","26.9","24.2"
"466910","22.8","21.2","17.6","16.1","17.2","19.8","20.4","22.6","20.7","17.1","18","20.1","21.2","22.1","21.9","20.7","18.7","19.2","20.1","18.5","16.6","16.8","19.3","20.2","20.9","20.9","19.5","19.7","20.5","21.4","18.2"
"466920","29.7","28.1","23.4","21","23.9","24.5","26.4","28.9","26.8","22.7","23.8","26.5","27.8","29.5","29.2","27.1","24.4","25.2","24.8","23.9","24.5","24.6","25.8","27.8","27.6","26.4","24.7","24.3","27.2","28","24.9"
"466930","24.5","23","19.8","17.8","18.4","20","21.5","24.2","22.5","18.6","19.9","22.1","22.7","24.2","23.9","22.6","20.2","21.2","21","20.1","18.4","19","21.4","22.2","22.4","22.5","21.1","21","22.5","23.3","19.9"
"466940","27.7","27.2","23.1","20.5","22.6","22.6","24.5","27.4","25.8","22.4","23","25.7","26.8","28","27.6","25.3","23.5","24.5","24.8","23.9","23.8","23.8","24.4","26.9","25.9","25","23.4","23.9","26","26.6","24.4"
"466950","26.4","24","21.8","19.3","21.8","22.4","24.9","25.4","23.6","21.1","22.5","23.5","25.6","26.5","25.7","23.4","22.6","23.9","23.8","22.9","22.9","23.2","24.4","25.4","25.2","24.1","22.2","23.7","24.6","25.2","23.5"
"466990","26.9","26.8","23","22.3","22.2","24.2","24.7","26.1","26.6","24","23.5","25.2","27.4","28","28.2","26.4","24.2","23","25","25","24.3","24.3","24.8","26.2","26.8","25.5","26.4","24.7","24.4","26.1","25.1"
"467060","26.7","25.7","22.6","20.7","22.3","23.1","24.2","26.1","25.2","22.9","22.8","23.7","26.4","27.2","26.9","25.8","23.1","23.8","24.9","24.4","23.6","23","23.8","26.8","26.7","25.1","24.5","23.8","24.8","26","24.8"
"467080","26.8","25.9","22.3","20.6","22.4","22.9","24.3","26","25.3","22.7","22.7","23.6","26.5","27.3","26.4","25.6","23.3","24.3","24.5","24.6","23.1","22.8","24.6","26.5","26.7","25.6","24.8","23.8","24.8","25.9","25.2"
"467110","24.3","23.8","21.5","20.1","20.6","22.8","23.4","24.2","25.5","21.2","22.8","23.8","25.1","26.3","26","24","24.5","23.3","21.9","23.1","23.2","22.8","23.2","24.3","25.7","24.6","22.9","23","24.9","25.3","24.8"
"467300","27.7","27.2","26.5","25","24.9","25.2","26","26.6","26.1","25.3","25.1","26.1","27.1","27.7","27.7","25.7","25.7","25.3","25.2","25.5","25.6","25.3","25.8","26.4","27","26.6","26","26","27.1","26.6","26.3"
"467350","27.9","27.4","26.5","24.4","24.8","25.4","25.9","26.6","26.9","25.7","24.9","25.6","26.5","28.1","28.3","26.1","25.5","25.3","24.9","25","25","25.1","25.5","26.5","27.5","26.9","26.3","25.5","26.5","26.6","26.3"
"467410","28.8","28.7","27.9","25.9","26.3","27.7","27.8","28.5","28.3","28.6","27.1","27.7","29","29.7","29.6","26.9","25.7","25.8","25.4","24.9","26.1","26.2","27.3","27.9","28.7","28.9","28.4","27.7","28.1","28.5","28.4"
"467420","28.8","28.8","27.7","25.7","25.8","27.3","27.6","28.4","28.2","28.5","26.4","27.4","28.6","29.4","29.7","26.9","25.8","25.8","25.3","24.7","25.8","25.9","26.9","27.6","28.4","29","28.3","27.5","28","28.5","28.2"
"467440","29","29.1","27.3","26.3","27","27.6","27.9","28.6","28.8","29.3","27.8","28.2","28.8","29.4","29.5","26.8","25.6","26.5","25.9","25.4","27.5","27.4","27.8","28.3","28.7","29.8","29.4","27.7","28.5","28.6","30.1"
"467480","29.1","28.1","26.8","24.6","24.7","26.3","26.9","28.1","28.6","27.2","26","26.9","27.7","28.8","29.2","27.1","26.1","25.8","25.9","25.5","25.5","25.1","25.9","26.5","27.4","27.6","27.4","26.8","27.2","27.7","27.2"
"467490","28.3","27.4","26.7","24.6","25.1","26.5","26.4","27.9","28.4","26.7","26.2","26.9","27.8","28.9","29.1","26.6","25.7","24.6","25.2","25.8","26.1","26.2","26.5","27","27.7","28","28.6","26.3","26.8","27.5","27.4"
"467530","12.5","12.4","12.6","11.9","12.1","11.4","11.4","12.7","13.6","13.1","12.9","12.8","13.6","15.5","14.3","12.8","13","13.7","13.1","13.3","12.6","12.3","12.2","13.3","13.7","14.9","14.5","13.8","14.2","14.6","15"
"467540","30.8","30.2","25.2","25.5","24.4","24.2","25.6","27.4","28.2","26.1","24.4","26.4","27.3","28.9","30.1","26","24.2","24.6","25","24.5","26.1","25.7","25.4","25.6","27.2","27.5","27.5","26.1","26.5","26.9","26.3"
