"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"466880","0.6498","0.712","0.5209","0.8208","1.0392","-0.8863","0.4168","0.6078","1.4","-0.75","1.1629","1.55","0.6","-0.9959","0.3994","0.4689","0.4862","0.6599","0.6599","0.6078","-0.6894","-0.6894","0.2257","0.3299","0.5036","0.3994","0.573","-0.75","1.5"
"466900","0.9397","2.5372","-0.0695","-1.2124","0.6128","0.8356","3.7588","2.1651","0.1563","1.5975","2.1613","-1.6087","0.7713","0.7713","2.1613","3.8527","3.8527","2.3383","1.5321","-2.7713","0.766","0.8999","0.3078","1.5035","3.007","3.6648","1.5588","1.9734","-1.7854"
"466910","-2.3383","-2.3","-3.2499","-2.5115","1.8","-0.8457","4.9804","1.2213","-3.5507","2.462","-1.45","-4.2","2.5","1.7727","0.4515","1.2213","2.3383","-2.1","-3.4769","-3.8105","-2.3635","-1.7727","3.8","0.5036","0.5557","2.5115","-3.2499","3.4468","-2.7575"
"466920","0","0","-0.573","0.6078","0.3473","0.6578","0.5383","0","0.5904","-1.0285","0","0","0.2431","0","0.4689","0","0","0","0","0.7641","-0.4","0.3857","-0.2605","0.3994","0","0.4168","0","0","0.6251"
"466930","3.6648","3.9837","4.1346","2.0785","-0.45","0.766","3.3775","5.1683","2.5372","1.5035","5.2623","1.299","-0.5785","0.45","2.2553","5.1683","3.4641","3.5708","5.2623","1.6087","0.45","0.35","1.6454","2.0673","5.1683","5.5442","5.3562","1.9734","2.1613"
"466940","1.1","5.6292","2.9876","0.9","-1.3499","-1.4555","7.78","5.2828","1.05","3.8408","3.1177","-1.5427","-1.7998","1.2213","3.007","5.8104","6.014","5.5426","3.7536","0.3126","1.4095","0.95","-2.0683","2.0681","5.2195","6.1058","3.7239","3.0529","2.1666"
"466950","5.9779","9.3457","6.6646","1.1461","3.8105","-7.8934","12.0147","8.054","3.65","6.108","6.8178","1.667","1.4365","-4.0703","6.4086","8.6452","9.5849","8.4004","6.8944","-2.5994","-7.188","-6.8598","4.9793","6.4952","9.7728","8.6452","8.5512","8.3","5.7453"
"466990","-1.1629","5.0559","0.4104","2.0683","2.8579","-1.25","5.4389","3.1408","0.8","-1.9","2.7578","-1.35","-2.1855","-1.3","2.7578","3.3706","3.0642","4.4431","1.3499","0.7182","-1.1","-1.8","-0.9","0.866","2.7713","1.2124","0","-1.8641","0.45"
"467060","-0.9577","3.8408","2.4","-0.8208","-0.3647","-0.95","5.121","0","-1.15","0.9577","-0.5209","-2.6847","-1.8","-0.9","-0.9235","3.195","2.9544","0.7814","0.7293","-1.2856","-0.7524","-1.45","2.2981","0","3.3483","-0.5383","0","0","-0.684"
"467080","0","2.1212","-1.0927","0.2257","-0.4446","0.2605","1.7998","-0.191","-0.1563","0.7524","-0.2431","-1.2213","0.4788","1.2257","0.7524","1.0927","1.2213","-0.2431","-0.85","-0.2052","0.8999","1.4722","0.8","-0.2394","1.0927","0","-0.55","-1.0927","0"
"467110","1.8641","3.5996","2.911","1.9917","-0.3126","1.3789","2.6","2.2","2.911","1","1.9","1.5321","1.0285","0.3762","2.0569","2.15","2.35","3.4068","2.8283","2.4513","1.5757","-0.1736","0.7524","1.9926","2.05","2.05","2.5712","1.25","1.6712"
"467300","9.9466","14.6592","13.0979","9.021","7","4.4166","11.7462","14.9411","11.3253","8.6452","12.5071","8.7391","6.4952","6.4839","9.6788","14.2833","15.7868","16.6326","14.4713","10.8329","5.9088","3.5453","3.4","8.7","10.3366","13.9075","12.4039","10.9944","9.8668"
"467350","4.7271","7.6115","6.014","4.5301","2.9445","2.0673","6.4839","7.2356","5.5442","4.4166","6.014","4.6286","3.0311","3.8527","6.014","7.6115","7.8934","8.6452","7.0477","5.318","2.8191","2","1.7854","4.4166","5.8261","6.9537","6.4839","5.1683","5.3562"
"467410","4.1362","4.5301","4.2347","3.4468","2.9544","-3.6","4.1362","5.2195","3.0529","4.6286","4.2347","2.9544","2.913","1.9696","3.4468","4.6286","5.4164","5.4164","4.3332","2.5605","1.5757","1.3156","1.5035","3.101","3.9","5.4164","4.2347","4.5301","3.4468"
"467420","3.1514","3.9","3.5453","2.7575","2.3635","-3.2","3.9","4.8","2.9","4.2347","4.5","3.0529","2.9544","1.8711","3","4.9","6","5.6","4","2.4","1.5","-0.5","0.2431","2.9","3.5","5.3","3.9392","4.0377","2.9544"
"467440","2.659","2.6","2.2651","1.8711","1.3787","-2.659","1.5975","2.5605","1.7727","2.2651","2.8559","2","1.3156","0.7713","1.3787","1.9696","2.5","2.6","2.0681","0.866","0.7518","0.8863","1.0392","1.157","1.7854","2.5605","2.3635","2.9544","1.4555"
"467480","1.7","2.9","2.6","2.2651","1.8711","-2.2517","3.6","3","1.6","2.659","2.8","2.1666","2.462","0.9193","2.3","3.5","4.3","4","2.7","1.5757","1.5","0","1.4","2.3","2.659","3.5","2.462","2.9544","1.8794"
"467490","0.7794","2.2","1.3856","0.9526","0.8457","-0.9","2.8559","2.1","0.766","1.6742","1.8711","1.1491","0.9526","0.6128","1.299","2.5605","3","2.8559","2.0673","0.9526","0.7794","-0.5785","-0.5785","0.9526","1.4722","2.462","1.5757","1.6742","0.9848"
"467530","-1.2124","1.5757","-0.2084","-0.9848","-0.7878","-0.9642","-0.3126","-0.3299","0.766","1","0.6894","-0.7878","-0.8863","0.6894","0.8457","0.191","-0.3762","0.9","0.8457","-0.8426","0.6894","1.1276","-0.2952","0.6498","0.6498","0.3994","0","1.4722","0.9526"
"467540","0.9","3.8971","3.195","2.2215","0.2084","-2.1","4.1346","2.7251","2.9445","0.75","3.2909","2.8191","1.9919","0.7713","1.1","2.8191","3.4641","4.4167","3.8105","2.6311","0.95","1.0285","0.9","1.2","2.5981","2.5981","2.8579","2.3383","2.8191"
"467550","0","0.903","1.7443","1.0766","-3.4068","-4.6","-0.8335","0","0","3.5","0","0","-4.5963","-4.1366","-0.9724","2.5309","1.094","0","2.3257","-0.7988","0","4.4995","1.1287","0","0","0.9724","0.8161","1.3545","1.285"
"467571","1.7854","4.4166","1.9919","-0.7878","1.3","0.55","3.9467","3.6648","1.3856","1.5757","2.7251","-1.1","1.4095","1.1818","2.2553","3.5708","4.3226","4.1346","2.7713","-0.8863","0.342","0.55","1.1","1.9696","3.4769","4.0407","3.007","1.6914","1.6914"
"467590","1.4722","4.6729","4.7631","3.7588","0","0","4.3301","6.6684","4.5963","1.3787","2.5115","4.1346","1.1971","0","0","3.9068","4.9363","5.8985","5.7453","1.3681","1.55","0.4862","0.3762","1.0392","1.9151","3.677","4.06","1.55","2.55"
"467610","3.101","5.1962","3.2174","2.8344","1.6454","-2.7578","6.2959","4.1569","2.5981","2.1651","4.6045","1.9919","1.6454","1.0725","2.8191","4.7924","4.9804","5.3562","3.9837","2.7713","1.299","-0.2431","2.6847","2.1651","4.0407","4.6045","2.7713","2.8191","2.1613"
"467620","8.0814","9.4542","7.8785","6.9921","-5.4","-9.5","9.7728","6.4013","6.202","-0.7467","5.7","4.7","2.5994","0","-4.7271","8.6663","9.0602","6.7952","6.6718","6.7493","5.1325","3.3","-2.5309","4.1569","5.9201","6.8937","5.5149","5.5442","6.2959"
"467650","0.2257","0","0.1736","0.9959","1.1276","0.4446","-1.1491","-0.7794","0.191","0","0.2736","0.8999","0.766","-1.2","0.9397","-0.8863","-0.4596","-1.0337","-1.2","0.766","1.4772","0.9526","1.1276","0.2084","1.3","-1.1276","1.1276","-1.8794","1.1276"
"467660","1.4555","2.462","1.5035","0.95","1.1491","-2.6311","2.3747","1.2124","1.1258","0.9193","1.7619","1.2216","1.0285","0.8356","0.9642","1.3856","1.5035","1.6742","1.3856","1.4722","0.6128","0.6128","1.0285","0.8356","1.8385","1.299","1.1258","-1.9696","0.9526"
"467770","5.5","9.0602","6.0073","4.4","3.9","1.8794","8.5678","8.0754","4.2286","6.4","7.9","5.8","3.2499","4","6.8937","9.2572","9.9466","9.8481","7.6","4.7","3","2.3635","2.9","5.0225","6.4997","8.7648","7.6815","6.3028","6.1058"
"467780","7.0906","8.2693","7.3296","5.7321","4.6","-3.1514","6.6718","8.1753","5.6134","6.108","7.3296","4.9804","4.8","3.9392","5.8104","8.4572","9.5849","9.5849","7.5175","5.318","2.7713","1.5321","2.4432","4.7924","5.5426","8.4572","6.7658","6.3899","5.1095"
"467990","3.4468","4.5197","3.7588","3.1514","0.3126","-0.6498","3.921","3.5238","4.4","2.6046","3.7239","3.4468","1.7727","2.4249","3.294","4.4167","4.0703","4.3301","4.8256","4.2347","2.3492","1.7321","3.101","3.2909","3.7536","3.677","5.121","2.7713","3.5"
"C0A520","1.3071","2.3964","2.069","1.2302","0.412","0.3064","1.5407","2.0086","1.7046","-0.1954","2.069","1.7355","0.4225","0.5088","1.1128","1.2188","1.3421","1.7327","2.5723","1.6339","-0.104","-0.1462","0.5991","1.3789","1.2894","0.8948","2.0152","0.5033","1.6249"
"C0A530","1.0348","1.0489","0.7419","0.3225","0.4822","-0.5663","1.4444","1.1128","1.1594","-0.1792","0.5237","1.0231","0.769","0.6894","0.7452","0.4386","1.0301","1.2188","1.3421","0.6743","1.8353","0.8933","-0.0523","0.8947","1.0328","0.5694","0.7949","0.9962","0.7419"
"C0A540","-0.0262","0.4455","0","-0.1627","0.3392","0.3464","0.5955","0.2046","-0.2781","-0.1","0.1439","0.0471","-0.0035","-0.1498","0.1408","0.0966","0.4891","0.4568","0.3709","-0.3708","-0.5991","0.1935","0.1463","0.2","0.1997","0.0866","0.3625","0.1847","0.5033"
"C0A550","0","0.0809","0","-0.0695","0.0261","-0.0629","0.5393","0.0719","-0.1532","0.8402","0.2934","-0.5143","-0.3993","-0.2331","0.5851","0.6997","0.2113","0.1902","0.0875","-0.4015","-0.7547","-0.6038","0.2989","0.0999","0.3897","0.1782","-0.0669","0.424","-0.2331"
"C0A560","-0.1981","-0.5796","-0.2487","-0.3355","-0.3147","-0.4092","0.7625","0.1618","-0.1362","0.4067","-0.9708","-0.4459","0.4316","0.3214","-0.3682","0.1462","-0.2728","-0.4636","-0.5196","-0.3286","-0.8951","-0.2867","0.4455","0.4997","0.4963","0.1721","-0.1766","-0.4755","-0.2351"
"C0A570","-0.0139","0.014","-0.0225","0.0419","0","0.0835","-0.2457","-0.0349","0.0624","0.0609","0.0628","0.0471","0.0731","-0.1392","0.0695","-0.1847","-0.0487","0.0349","-0.0017","0.1482","0.0279","-0.0174","0.1812","-0.3441","0.1169","-0.0349","-0.0261","0.1792","-0.0262"
"C0A640","-0.0469","-0.0726","-0.0669","0.0438","0.0209","-0.0829","0.2973","0.0122","0.0423","0.0156","0.0208","0.171","-0.1932","-0.0105","-0.0309","0.0122","0.0017","-0.0191","-0.0382","0.2723","-0.2575","-0.1992","-0.0017","0.0454","0.1732","-0.0347","-0.0391","-0.0035","0.1118"
