"stno","X2013.02.01","X2013.02.02","X2013.02.03","X2013.02.04","X2013.02.05","X2013.02.06","X2013.02.07","X2013.02.08","X2013.02.09","X2013.02.10","X2013.02.11","X2013.02.12","X2013.02.13","X2013.02.14","X2013.02.15","X2013.02.16","X2013.02.17","X2013.02.18","X2013.02.19","X2013.02.20","X2013.02.21","X2013.02.22","X2013.02.23","X2013.02.24","X2013.02.25","X2013.02.26","X2013.02.27","X2013.02.28"
"466880","0.3078","1.5","0.5472","0.3078","-1.1258","1.6","0","0.7293","0","0.3647","-0.5036","0","-0.6425","-1.1258","0","0.7467","-1.0833","0.9526","2.1666","0.7293","0.8893","0","0.6946","0","-1.1276","-0.85","0.2605","1.1"
"466900","-1.4722","1.6454","1.4555","0.7","1.2856","1.5035","2.4432","3.6648","2.3492","2.1613","2.4432","2.913","2.5372","0.5785","3.195","2.0785","-1.9734","1.0927","3.8527","1.9053","2.4432","2.913","2.5981","-3.2909","0.9642","0.9642","1.3156","-1.1258"
"466910","0.4","-3.4","-2.2651","-1.1276","3.6","3.6","-0.3473","-1.6712","-0.4689","-0.4689","0.3647","1.6","0","-0.8457","1.25","-3.2499","-1.3156","-0.7518","2.1666","-2.4432","-1.7727","4.1","-3.2889","-3.9392","-1.4772","-1.3","1.8794","-1.5975"
"466920","-1.0833","0.6772","0.3473","0.2431","-1.2803","0.712","0.5209","0.7814","0","-0.382","0","0.382","0.7641","0.7794","0","0.7988","-1.0833","0.866","0","0.7293","0","0","0","0.7293","1.1258","1.3856","-0.3126","0.4515"
"466930","0.5142","3.195","0.45","-0.3857","1.3856","3.1177","2.8579","6.1488","3.2889","1.299","3.9467","1.9919","3.8971","0.35","2.9445","3.3775","0.45","0.6128","3.2889","4.6765","4.4166","2.3383","5.4502","1.1491","0.45","-0.6428","2.3383","1.5588"
"466940","1.0285","2.0785","1.7854","1.157","-2.3747","2.462","3.1","5.456","3.4641","3.7423","3.7423","3.6438","2.8559","1.0285","3.8971","1.7998","1.3023","-1.5588","4.6286","3.7239","2.5115","3.9392","3.6004","0.9235","1.3856","1.3499","1.4","1.4722"
"466950","-3.4468","4.05","-7.3861","0.7988","5.0229","5.2066","7.2008","9.4223","6.3582","6.8178","6.8944","8.7648","3.9","-5.318","7.621","3.0098","-10.9314","1.65","8.4572","5.9779","6.1065","7.7076","8.5797","-6.1708","-9.4909","-8.3709","5.7453","4.2898"
"466990","-1.55","-1.05","-1.15","-1.607","-1.55","3.6648","2.9876","4.9793","2.4513","-0.8551","3.1177","3.3706","1.8187","-0.7182","3.2174","1.9917","-0.8208","-3.7423","4.2898","2.4513","0.382","2.6812","3.5507","-1.25","-0.5036","-1.6","2.9445","-1"
"467060","-0.382","-0.4788","-1.8794","0","-0.9","-0.7866","3.4769","3.4468","0","1.7998","0.5383","2.4513","0.4515","-0.9235","2.6812","-0.5036","-0.382","-0.7524","3.5708","1.3681","0.573","3.0529","0.9919","-2.8559","-3.3483","-1.8711","-0.3994","-0.8"
"467080","0.3126","-0.2084","-0.65","0.191","-1.1491","1.9053","0.8551","1.3499","0","-0.8356","-0.5472","-1.4141","-0.4788","0.95","1.4","-0.2084","0.3473","1.2856","2.3492","-0.75","-0.3126","2.6","-0.2257","-1.1491","1.5588","1.5975","0.6498","-0.2257"
