"stno","X2013.04.01","X2013.04.02","X2013.04.03","X2013.04.04","X2013.04.05","X2013.04.06","X2013.04.07","X2013.04.08","X2013.04.09","X2013.04.10","X2013.04.11","X2013.04.12","X2013.04.13","X2013.04.14","X2013.04.15","X2013.04.16","X2013.04.17","X2013.04.18","X2013.04.19","X2013.04.20","X2013.04.21","X2013.04.22","X2013.04.23","X2013.04.24","X2013.04.25","X2013.04.26","X2013.04.27","X2013.04.28","X2013.04.29","X2013.04.30"
"466880","1.2216","0.4341","2.1212","1.0337","0.9397","1.9","1.95","0.65","0.3299","0","2.314","1.55","1.15","-0.45","0.5472","0.55","-0.7182","0","0.4515","-0.2778","0","0.5209","0.7713","0.4446","0.2394","0.5209","1.6712","0.1563","-0.9848","-0.3473"
"466900","1.5757","1.7727","-2.5981","1.5975","-1.3856","2.3492","-1.6087","-1.7321","0.9526","-1.157","-1.9053","-1.6087","-3.1177","-1.2257","-1.3856","-1.0285","1.4095","0.9","1.6914","2.1666","2.3492","-1.8187","-1.7321","1.5757","1.6914","-2.0785","-3.2043","-1.2124","-0.9959","1.6712"
"466910","-2.2651","3.6","0","-1.0833","-2.7575","6.5","-2.8579","-1.1818","0.3473","-2.659","-4.8864","-3.9392","-2.8559","2.5","-1.4772","-1.3787","1.3","2.3635","0","2.1","-1.8187","0.573","-1.8794","1.9919","2.3","-3.6438","-2.2651","-0.3939","-0.7","1.9734"
"466920","0.3126","0","0.6599","0.191","0.6928","0","0","0.2605","0.3994","-0.573","0.7293","0","0.4515","-0.3214","0","0","0.3126","0.342","0","0.3126","0","0.5904","0.766","0.9526","-0.3078","0.5383","0.4689","-0.4","0.6894","1.15"
"466930","1.0392","3.3775","1.9919","0.35","0.9959","3.6373","1.7355","-0.6578","2.6847","4.4167","3.8971","5.1962","0.55","0.8356","1.1491","-0.45","1.4722","1.4722","2.1651","1.7619","4.7631","2.6847","-0.4","1.3787","0.3857","1.7321","0.3078","0.2571","0.35","1.8711"
"466940","1.3856","3.3483","-0.6498","1.7727","-1.8187","5.4164","3.5507","0.8999","1.5035","3.1408","1.4555","0.9642","0.2605","-2.1212","1.3499","1.9734","-1.9917","-1.2856","2.462","2.9544","3.9834","1.5427","-1.4555","-1.5757","2.1666","1.3","-2","-0.5142","1.2213","2.1651"
"466950","3.15","5.1423","-3.85","-5.0225","-1.1287","11.3253","5.8024","-8.1739","5.4389","5.2709","0","0","-2.9756","2.3257","-2.9","-4.2","4.8852","-2.8","4.6281","5.7321","7.2746","3.4","-6.0073","2.5","5.2623","2.0179","-10.4306","-9.209","-6.4997","-7.4845"
"466990","0","2.911","2.1","-1.15","2.7251","4.1366","2.3383","-0.7866","2.6046","2.3635","-1.4","2.5372","-0.9235","-1.35","-0.8893","-1.5427","-0.7524","-0.8893","2.4513","2.2981","3.9834","-1.15","-3.8408","-1.5","3.1177","-1.35","-1.8641","-1.4141","-1.4","-2.1212"
"467060","-0.4446","-0.9577","-0.684","-0.9","-0.2257","-0.6599","0","-2.7575","-0.3994","0.5383","-0.3299","-0.9919","-0.6498","-0.3473","-0.8551","0","-0.4446","0","2.2651","-0.4168","3.9392","0.9","-0.4515","-0.85","0.4168","0","-0.5472","-0.1563","-3.4769","-1.9734"
"467080","-0.1563","1.5975","0.2257","0.191","0.1736","3.007","0.3473","-0.4788","-0.2084","-0.9642","0","-0.2605","0","1.4141","-0.3473","0","0.3078","0.4446","0.7866","0.5814","1.2","-0.2605","0.3647","1.3789","1.2213","0.513","0","-0.1736","1.6087","0.7866"
"467110","1.4141","1.0945","2.5279","1.2856","1.5588","1.6","2.5069","1.4722","1.5427","3.1408","2.6847","1.5427","2.5605","-1.5757","2.1666","-1.9","-1.4722","-1.9734","1.85","0.6498","2.6","1.9926","-1.8711","-1.9696","0.3299","1.8641","2.8","1.3856","-1.2257","-2.2651"
"467300","8.0754","8.6452","8.7391","5.9756","-5.8","8.8633","11.2268","4.7631","7.188","12.9995","11.3253","10.439","4.6985","3.4468","3.8","-2.5115","-3.3829","-2.7578","5.2623","2.6812","12.4979","8.6452","3.5","2.2981","5.6134","8.0814","4.1346","4.5301","2.659","-4.2286"
"467350","3.8408","4.1346","4.8864","2.7713","-1.4772","3.8527","5.5442","2.7575","3.5708","5.7321","5.3562","5.1683","2.1666","1","1.6","-1","-1.1258","-1.5","2.8579","1.6914","6.5778","4.1346","1.6","-0.3299","2.2553","4.2286","1.5757","1.7854","0.8","-2.2"
"467410","2.9445","3.1177","2.5372","2.0683","-2.9544","3.8527","3.0311","1.6853","3.0311","3.6373","2.8191","3.2043","1.3856","1.9919","1.1491","-1.6454","1.0927","-0.2431","1.7321","1.0725","2.9445","1.9053","1.6087","2.0785","2.8579","2.3635","0.45","1.9151","1.5975","-1.8385"
"467420","2.913","3.2889","2.4","2.8","-2.5981","4.5","3.2","2","3.0529","4","2.7575","3.3483","1.4095","2.0681","1.1491","-2","0.513","0","1.7727","1.4772","3.7","2.1","2.2","-1.25","3.2499","2.2553","-0.55","2.5","1.1491","-2.0683"
