"stno","X2017.05.01","X2017.05.02","X2017.05.03","X2017.05.04","X2017.05.05","X2017.05.06","X2017.05.07","X2017.05.08","X2017.05.09","X2017.05.10","X2017.05.11","X2017.05.12","X2017.05.13","X2017.05.14","X2017.05.15","X2017.05.16","X2017.05.17","X2017.05.18","X2017.05.19","X2017.05.20","X2017.05.21","X2017.05.22","X2017.05.23","X2017.05.24","X2017.05.25","X2017.05.26","X2017.05.27","X2017.05.28","X2017.05.29","X2017.05.30","X2017.05.31"
"466880","-0.9193","-0.8457","0.513","-0.7071","0.342","0.7866","1.1971","-0.8457","-1.0833","0.6156","-1.0833","0.1736","0.6","0.4788","0.5472","0.3762","0.8551","1.0603","1.25","0.684","1.0261","0.7866","-0.7071","0.6156","0.5814","0.8551","1.3339","2.1","1.2313","0.3078","-0.95"
"466900","-1.3023","-0.7713","0.9","0.6428","0","1.5035","-1.3023","0.7","0.45","-1.5588","0.6","0.8356","1.4","-1.3856","1.3787","-0.8426","-0.9642","-1.25","-2.9445","-1.6087","1.3156","-1.5757","0.7713","0.8","1.1276","-0.6894","-1","-1.7355","-1.35","-1.299","0.9642"
"466910","-1.5757","1.0833","0.8863","-1.4772","1.0833","0.7524","0.573","-1.9","2.0681","-1.5","1.2","1.4772","2.9","1.9696","-1.0927","2.3492","0","-3.3483","-3.2","-2.7251","-0.3473","0.8551","-1.3","2.5","2.1613","0.9235","-4.1362","-0.573","-2.8559","-0.8863","2.9544"
"466920","0.7","-0.9526","1.7355","-1.0833","0.2084","1.75","3.1497","1.1276","-0.2257","1.8385","-1.3156","0.9642","0.7","1.2856","1.3789","0.3126","1.9284","2.6997","1.8","1.9926","2.314","2.1212","-1.0337","-1.9734","1.1","1.9284","3.0211","3.2782","2.9568","1.0285","-0.3299"
"466930","-0.5","0.3214","-0.1042","0.5638","0.2571","1.4555","1.6853","0.6578","0.866","0.0695","0.3","0.6578","1.3","0","0","1.3023","2.2981","1.3499","0.4104","0.4788","3.5507","1.9919","-0.3","1.9917","1.5427","3.0311","2.1212","1.7998","0.7866","-0.4596","1.3023"
"466940","-2.1613","-1.0285","1.4722","1.3789","0.9642","3.1514","2.2215","1.5757","-1.4141","1.2213","-1.6742","-1.6454","1.9734","1.8187","1.7355","1.9734","2.0785","0.8208","-1.4141","0.3994","2.3383","1.3499","1.3856","2.5372","3.007","1.9917","1.3499","1.4","0.95","-1.3789","-1.9917"
"466950","-5.2828","-5.1962","3.0642","-3.7588","1.4365","5.078","2.8","-5.3562","2.9","-3.55","-5.9201","-5","4.0407","1.3681","1.0766","4.9027","5.1325","-2.45","-4.2","-3.25","3.1","2.9568","-5.4164","5.9201","5.1683","3.8302","0","-3.5","0","-5.4389","3.45"
"466990","-1.7998","-1.3","-0.7524","-1.6454","-1.15","0.5557","2.3383","-1.4141","2.6812","0.3473","-1.75","-3.1408","2.5981","1.9919","-0.5814","2.2215","1.4772","-0.3647","-0.6156","-0.5472","0","2.3","-1.5427","-1.3339","-0.6498","-1.05","2.4","2.4432","2.2553","-0.85","-1"
"467050","-1.5035","1.0285","3.0311","-1.2213","1.7321","3.8302","4.4431","-1.8187","0","-0.382","0.5472","-2.1212","2.8344","2.1651","2.8579","1.9284","3.8567","3.6639","0","1.0285","4.4431","2.3747","-1.0945","-2.95","2.6997","3.9068","3.2782","2.8925","2.9568","-1.4784","-2.7"
"467060","-2.6812","-0.8","-0.684","-0.9919","-1.05","2.4432","-1.157","-1.35","-1.5321","0.3473","-1.5321","-1.5588","-0.6156","0.2778","0","1.15","0","-0.2431","-0.9193","-0.55","0.3126","-0.8999","-1","0.382","0.6498","-0.7182","-0.5814","-0.3299","-0.4","-1.2257","-1.8385"
