"stno","X2010.08.01","X2010.08.02","X2010.08.03","X2010.08.04","X2010.08.05","X2010.08.06","X2010.08.07","X2010.08.08","X2010.08.09","X2010.08.10","X2010.08.11","X2010.08.12","X2010.08.13","X2010.08.14","X2010.08.15","X2010.08.16","X2010.08.17","X2010.08.18","X2010.08.19","X2010.08.20","X2010.08.21","X2010.08.22","X2010.08.23","X2010.08.24","X2010.08.25","X2010.08.26","X2010.08.27","X2010.08.28","X2010.08.29","X2010.08.30","X2010.08.31"
"466880","-0.4104","-1.8794","-0.513","-0.8893","3.1","3.6","3.3829","2.2651","-1.4722","-1.3856","-1.4772","-0.2257","-0.513","-0.4788","-0.6","-0.191","-0.4104","1.8711","2.4","3.3829","3.7588","3.3483","2.3635","2.1613","1.4095","-0.4788","2.3492","-1.05","-0.8356","-3.2909","-1.1258"
"466900","-0.9193","-0.8999","-0.766","0.65","1.2257","1.7998","1.157","0.2952","-1.4555","-0.8999","-0.9193","-1.1491","-1.1491","0.513","-0.9959","0.9642","0.75","0.95","1.4","1.2257","1.6742","1.9919","0.95","1.5588","0.65","1.0927","0.2778","0.9","1.3","-1.4784","0.9"
"466910","0.4446","0","-0.684","-0.382","0","0","0","-1.6712","-0.9203","-0.3126","-1.0927","-0.8","0.4168","-0.3126","-0.5472","0.3126","0","-0.4515","0","0","0","0","-0.6599","-0.4862","-0.4341","-0.6078","1.9734","0.9","0","-1.9495","-0.5036"
"466920","0.8","-0.5472","-0.7518","2.4249","3.3829","3.4769","3.8105","2.1651","-1.2124","0.3299","0.85","0.9642","-0.2778","0.8","0.65","0.6","0.8999","2.2651","2.8559","3.6373","3.7239","3.5507","2.5981","2.0673","2.0681","1.8711","2.5981","2.0785","1.4722","-2.6046","-0.7713"
"466930","-0.1736","-0.65","-0.4","0.7071","1.0392","0.8356","1.7321","1.1491","-0.9","-0.342","0","0.7071","-1.0833","-0.2084","0.6894","0.766","0.8457","-0.2736","1.0337","1.1491","0.85","1.1258","0.9959","1.299","-0.3078","0.7794","1.1491","0.85","0.9642","-1.5975","-0.342"
"466940","1.3499","-2.2981","-3.0642","2.2215","2.5115","1.9919","3.677","2.5069","0","-2.2981","1.6454","-1.6853","1.4784","-1.7619","1.6712","1.1","-1.2","1.4784","1.9917","2.8579","2.2981","2.1651","1.9919","1.4141","1","2.4","1.5427","1.7998","-1.1","-3.9068","-1.6087"
"466950","1.5391","-5.6134","-6.2959","3.6","5.3","6.322","7.1417","3.6","-5.9751","-4.5033","1.6075","1.7785","2.2231","2.0863","1.7443","1.8811","2.35","3.15","6.2354","4.7","4.8","4.9363","4.7631","3.9837","1.7101","5.7158","2.4432","2.2553","1.9","-8.292","3.899"
"466990","-2.5981","-2.1613","0.7866","0.8551","-2.2553","-2.0673","1.2997","2.1855","1.9053","0.8551","0.4862","0.6425","1.2997","0.5036","1.4","-2.8579","-2.7713","-2.4513","-1.9919","-2.4249","2.7575","-1.6454","2.1613","2.4432","-2.1651","-2.4249","2.8","-2.4432","-2.2517","-2.0785","0.573"
"467060","1.1","-1.6087","-2.1613","1.4095","-1.8187","1.5321","-1.1491","-2.5981","1.2","-2.4249","-1.3023","1.4784","1.15","1.15","-2.1651","1.45","1.75","1.6","2.0569","2.1","-1.7854","2.0785","0.7866","2.1","1.2313","2.1212","-1.9919","-2.2553","2.2553","-1.8711","-2.5"
"467080","1.6087","1.8711","1.5757","-1.6914","2","1.7","1.8711","-1.5757","-2.314","1.9696","-1.6742","-1.8794","0.7866","-2.1","1.7321","1.9696","2.1","1.9053","2.2553","2.3492","1.7321","2.0673","1.1","1.8711","2.5605","2.3635","2.0673","2.1","-1.9696","-1.3856","-0.2778"
