"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"466880","1.7854","4.0377","2.9544","2.2553","0.6","-0.1563","2.3635","3.4468","2.4249","-1.299","3.195","2.6847","1.0392","-0.8356","2.2651","2.659","2.7575","3.7423","3.7423","3.4468","-0.5785","-0.5785","1.2803","1.8711","2.8559","2.2651","3.2499","-1.299","2.5981"
"466900","0.342","0.9235","0.3939","0.7","-0.5142","-0.9959","1.3681","1.25","0.8863","0.5814","0.7866","1.3499","-0.9193","-0.9193","0.7866","1.4023","1.4023","1.35","1.2856","1.6","-0.6428","-1.0725","-0.8457","0.5472","1.0945","1.3339","0.9","0.7182","0.6498"
"466910","1.35","0","0.573","1.45","0","-0.3078","-1.8127","1.4555","2.05","-0.4341","2.5115","0","0","-0.3126","2.5605","1.4555","-1.35","0","1.2655","2.2","-0.4168","-0.3126","0","2.8559","3.1514","-1.45","0.573","-0.6078","-0.4862"
"466920","2.5","4.3","3.2499","3.4468","1.9696","-0.2394","3.0529","3.8","3.3483","-1.2257","4.1","3.8","1.3787","-0.9","2.659","3.2","3.5","3.8","4","4.3332","-0.6928","-0.4596","1.4772","2.2651","2.9","2.3635","3.4","-1.6","3.5453"
"466930","1.3339","2.3","1.5049","1.2","-0.5362","0.6428","1.95","1.8811","0.9235","0.5472","1.9153","0.75","-0.6894","0.5362","0.8208","1.8811","2","1.2997","1.9153","1.3499","0.7794","0.6062","-0.95","0.7524","1.8811","2.0179","1.9495","0.7182","0.7866"
"466940","1.9053","3.25","2.5069","1.5588","-1.6087","-1.2213","1.3718","3.05","1.8187","0.6772","1.8","-1.8385","-2.1449","1.4555","1.0945","1.0245","2.1889","3.2","3.1497","1.7727","0.513","1.6454","-1.7355","-0.3647","0.9203","1.0766","2.15","-0.5383","0.382"
"466950","7.1242","7.842","5.5923","6.4997","-2.2","2.873","2.1185","4.65","6.322","2.2231","5.7208","9.4542","-3.9467","2.35","3.7","3.1466","3.4886","4.85","5.7851","7.1417","4.15","2.4967","4.1781","3.75","3.557","3.1466","3.1124","0","4.8209"
"466990","-3.195","4.2424","-1.1276","1.7355","1.65","-2.1651","4.5638","2.6354","-1.3856","-3.2909","2.314","-2.3383","-2.6046","-2.2517","2.314","2.8283","2.5712","3.7282","-1.6087","1.9734","-1.9053","-3.1177","1.5588","0.5","1.6","-0.7","-1.6","-2.2215","-0.7794"
"467060","-2.6311","0.6772","-4.1569","-2.2553","-2.0681","-1.6454","0.903","-5","-1.9919","2.6311","-2.9544","1.55","0","-1.5588","-2.5372","1.1629","0.5209","-4.4316","-4.1362","-1.5321","-2.0673","-2.5115","-1.9284","-2.3","0.5904","-3.0529","-3.6","-2.8","-1.8794"
"467080","-1.6","2.5279","-1.3023","-1.2803","1.2216","-1.4772","2.1449","-1.0833","-0.8863","2.0673","-1.3787","1.4555","-1.3156","1.0285","2.0673","1.3023","1.4555","-1.3787","-1.4722","-0.5638","1.0725","0.85","1.3856","-0.6578","1.3023","-0.8","-0.9526","-1.3023","-0.8"
"467110","2.2215","4.2898","2.4426","1.6712","1.7727","1.157","4.5033","3.8105","2.4426","1.7321","3.2909","1.2856","1.2257","1.0337","2.4513","3.7239","4.0703","4.06","3.3706","2.0569","0.2778","-0.9848","2.0673","2.3747","3.5507","3.5507","3.0642","2.1651","1.9917"
"467300","1.7538","5.3355","2.3095","3.2834","0","1.6075","4.2753","5.4381","1.997","3.1466","2.2053","3.1808","3.75","2.3599","3.5228","5.1987","5.7459","6.0538","5.2671","1.9101","1.0419","-0.6251","0","0","3.7622","5.0619","4.5147","4.0016","3.5912"
"467350","0.8335","2.7704","2.1889","0.7988","1.7","0.7524","2.3599","2.6336","2.0179","1.6075","2.1889","0.8161","1.75","1.4023","2.1889","2.7704","2.873","3.1466","2.5652","0.9377","1.0261","0","0.6498","1.6075","2.1205","2.5309","2.3599","1.8811","1.9495"
"467410","0.7293","0.7988","0.7467","0.6078","0.5209","0","0.7293","0.9203","0.5383","0.8161","0.7467","0.5209","1.0603","0.3473","0.6078","0.8161","0.9551","0.9551","0.7641","0.4515","0.2778","0.4788","-0.5472","1.1287","0","0.9551","0.7467","0.7988","0.6078"
"467420","-0.5557","0","0.6251","0.4862","-0.4168","0","0","0","0","0.7467","0","0.5383","0.5209","0.3299","0","0","0","0","0","0","0","-0.866","-1.3787","0","0","0","0.6946","0.712","0.5209"
"467440","-0.4689","0","-0.3994","-0.3299","0.2431","0.4689","-0.5814","-0.4515","-0.3126","-0.3994","-0.5036","0","0.4788","-0.9193","-0.2431","-0.3473","0","0","-0.3647","0.5","0.2736","0.1563","-0.6","-1.3789","0.6498","-0.4515","-0.4168","-0.5209","-1.2213"
"467480","0","0","0","0.3994","-0.3299","-1.3","0","0","0","0.4689","0","0.382","0.4341","-0.7713","0","0","0","0","0","0.2778","0","-0.9","0","0","-0.4689","0","0.4341","0.5209","0.684"
"467490","-0.45","0","-0.8","-0.55","-0.3078","0","0.5036","0","-0.6428","-0.2952","-0.3299","-0.9642","-0.55","-0.5142","-0.75","-0.4515","0","0.5036","-0.7524","-0.55","-0.45","-0.6894","-0.6894","-0.55","-0.85","0.4341","0.2778","-0.2952","-0.1736"
"467530","-0.7","-0.2778","-1.1818","-0.1736","0.1389","1.1491","-1.7727","-1.8711","-0.6428","0","0.1216","0.1389","-0.1563","0.5785","0.3078","-1.0833","-1.0337","0","0.3078","0.7071","0.5785","0.4104","-1.6742","-1.7854","-1.7854","-2.2651","-1.5","0.85","0.55"
"467540","-1.5588","2.25","1.1629","1.8641","-1.1818","0","1.5049","0.9919","1.7","-1.299","1.9","1.0261","1.15","-0.9193","-1.9053","1.0261","2","2.55","2.2","0.9577","-1.6454","-1.2257","-1.5588","-2.0785","1.5","1.5","1.65","1.35","1.0261"
"467550","-6.6","-5.121","-4.7924","-6.1058","-4.06","-7.9674","-4.7271","-6.1","-4.8","-6.0622","-5.8","-4.8","-3.8567","-3.4711","-5.5149","-6.9537","-6.2043","-5.2","-6.3899","-4.5301","-4.9","-5.3623","-6.4013","-6.6","-5.7","-5.5149","-4.6286","-7.6815","-7.2876"
"467571","0.6498","1.6075","1.15","0.1389","0","-0.9526","1.4365","1.3339","0.8","0.2778","0.9919","0","0.513","0.2084","0.8208","1.2997","1.5733","1.5049","1.6","0.1563","-0.9397","-0.9526","0","0.3473","1.2655","1.4707","1.0945","0.6156","0.6156"
"467590","-0.85","3.921","2.75","1.3681","1.6","2.5","2.5","3.85","3.8567","-0.2431","1.45","1.5049","3.2889","2.6","2.1","3.2782","2.85","4.9495","4.8209","3.7588","2.6847","2.7575","-1.0337","-0.6","1.607","3.0854","3.4068","2.6847","4.4167"
"467610","1.1287","3","2.6997","2.3783","-0.95","-2.314","2.2915","2.4","1.5","-1.25","1.6759","1.15","-0.95","-0.8999","1.0261","1.7443","1.8127","1.9495","2.3","1.6","-0.75","-1.3787","1.55","1.25","1.4707","1.6759","1.6","1.0261","0.7866"
