"stno","X2017.06.01","X2017.06.02","X2017.06.03","X2017.06.04","X2017.06.05","X2017.06.06","X2017.06.07","X2017.06.08","X2017.06.09","X2017.06.10","X2017.06.11","X2017.06.12","X2017.06.13","X2017.06.14","X2017.06.15","X2017.06.16","X2017.06.17","X2017.06.18","X2017.06.19","X2017.06.20","X2017.06.21","X2017.06.22","X2017.06.23","X2017.06.24","X2017.06.25","X2017.06.26","X2017.06.27","X2017.06.28","X2017.06.29","X2017.06.30"
"466880","-1.7355","-1.2213","0.7518","-0.6894","-0.7518","-0.342","-0.4446","1.1276","-0.2778","-0.65","-0.65","-0.7713","0.6428","-0.85","1.5975","0.6578","1.2124","0.6128","-0.45","-0.9642","-1.1258","-1.0337","-0.513","-1.4784","-1.4141","-1.4784","-1.5588","-0.2257","-0.1736","-0.342"
"466900","-1.4722","0","0.8999","-0.3857","-0.6128","-0.7794","-0.9193","-1","-0.6928","-0.9526","1.0285","1.0285","1.0725","0.3647","0.3","0","0.55","1.0392","-0.9526","-1.1491","-1.1818","-1.2124","-1.1258","-1.6742","-1.4095","-1.6","-1.3856","0.6428","-0.8426","0.55"
"466910","1.05","-0.5904","0","0","0.5","0.5814","0","-0.191","0","0.513","1.4","1.6742","0","-0.4341","1.9734","1.15","2.2517","0","1.6914","1.9696","0.8208","0.9","0.3473","1.05","1.4784","1.05","0.3473","-0.1563","-0.2431","-0.191"
"466920","-1.8711","-0.8","1.5035","0.6928","0.8863","0.4104","-1.0392","1.7854","0.65","0.4446","0.75","0.65","0.191","1.1491","1.7619","0.8426","1.7","1.3789","0.342","-1.7727","-1.0833","0.5472","0.4788","-1.9696","-2.2651","-1.6914","-1.4772","0.7","0","-0.342"
"466930","-0.9959","0","0.3759","-0.55","0.1042","-0.6578","-0.866","0.5196","-0.6062","-0.8457","-0.3078","0.7713","0.1736","-1.0285","0.85","-1.0927","1.3","0.6928","-0.9193","-1.3156","-0.6428","0.1563","-0.45","-1.0337","-1.1258","-0.9526","-0.866","-0.3","-0.5785","0.6062"
"466940","-1.8187","0.7182","0.342","0","0.75","0.7524","1.3","1.3","-1.5427","-1.5427","-1.1","-2.0683","-1.8187","0.5383","1.1491","-0.7071","1.0261","-0.8457","-0.7071","-1.0927","0.8356","0.95","-1.05","-0.8208","-3.195","1.4","-1.8385","1.4784","0.3647","-1.8385"
"466950","-7.8785","3.2174","3.9837","3.6639","3.5708","0.7814","-4.5301","4.8864","1.85","0","-0.6078","-1.35","-3.3775","3.85","6.5982","6.6718","7.3296","6.6","-5.6","-6.8937","-5.121","1.6759","-5.4","-7.2876","-10","-9","-6.1","2.5981","1.0261","1.5733"
"466990","-1.2213","-0.382","-1.2124","-1.2213","1.1258","1.6742","-1.607","2.7575","-2.4513","-3.4472","0.9919","2.1666","1.8711","1.157","0.7182","-1.1276","1.7998","-1.1276","-2.0785","-1.9053","-1.9151","-1.9734","1.9696","-0.3994","2.1666","2.3635","-2.7251","2.462","1.1971","-3.0642"
"467050","-5.9779","-4.371","1.05","-2.7","-0.7","-2.1666","-3.4769","0.85","-1.9734","-3.3829","-3.2889","-2.4","-3.9834","-4.371","2.2215","-2.2","2.4513","-3.7239","-4.5197","-5.9136","-4.8209","-4.7631","-2.45","-4.9495","-7.354","-7.2774","-3.2782","-2.0673","-1.5035","-0.3299"
"467060","-1.1491","-0.9959","-0.6062","1.5757","1.4772","-1.7321","-1.1276","-1.5975","1.5035","0.7524","0.9","0.85","-1.5588","2.1651","-1.4555","1.0392","-1.6914","-0.6128","1.0833","-0.9959","-1.4722","1.2213","1.3787","-0.9959","-1.1258","1.5035","2","-1.8187","-2.8579","1.6"
"467080","1.4095","1","1.0392","1.4","1.2216","-1.5757","1.8711","-1.5975","-1.3856","1","1.05","-1.5","-1.5","-1","0.7713","0.7071","1.0285","0","0","-1.0833","-0.9193","-0.6","-0.5814","-1.157","0.8","-1.5975","1.157","-0.85","-1.1","0.95"
"467110","-3.4068","-3.2782","1.8385","3.195","1.4141","1","-0.4168","2.8191","0.95","-0.9235","0.3126","0.6156","2.25","3.007","2.7578","1.35","3.1177","2.1855","-1.3","-1.8","-1.95","-1.95","-2.2498","-2.4426","-2.8925","-2.6997","-1.5427","-1.6853","-0.4341","0"
"467300","-3.8","-5.7851","-5.8985","3.4641","1.9284","1.4784","-1.2856","0.6251","0.4689","0","0","1.0766","-2.8388","-4.7495","-3.1177","-4.2424","-5.4164","-1.0593","-1.2155","-1.285","-1.0072","-0.7293","-1.7355","-3.3706","-2.65","-2.5","-2.314","-1.7619","0","-1.0419"
"467350","-1.0945","-1.7998","-2.1651","0.513","-0.3647","0","0","0","0.3126","-0.4689","-0.5557","-0.6251","-0.7467","-1.6712","-0.4341","-1","1.2","0","-0.7293","0","-0.7467","-0.4689","-0.3473","-0.7182","-0.6251","-0.6251","-0.4168","-0.3126","-1.2124","-0.3299"
"467410","-0.9577","-2.1","-0.7467","2.1666","-1.2213","0.3647","-0.7524","-1.5975","-1.4555","0.573","1.1971","2.05","4.3332","-1.0945","2.2553","-1.7619","-1.4","3.1514","1.0261","1.7998","1.0945","-1.607","-1.6087","1.9151","1.2","-1.7619","-2","-1.9696","0.95","1.7355"
"467420","-2.8579","-4.4167","-3.3425","1.5588","1","-1.4141","1.4784","-1.7727","-1.7727","-1.0945","-1.2655","2.15","2.2","-2.8579","1.9919","2.1613","1.607","1.8","-1.1287","1.5","-1.8","-2.3383","-2.2553","-2.8191","-2.8559","-2.5372","-1.9696","-1.6914","1.7727","1.9734"
"467440","-1.7321","-2.6847","-1.9926","1.5588","-1.1276","-1.6","-0.2952","-0.3647","-0.7524","0.5557","0.4862","0.4515","0.4168","-2.3635","1.3789","1.8187","-2.462","-0.5814","-0.8356","-0.9397","-0.8","-1.5757","-1.6914","-1.7321","-1.9734","-2.0683","-2.1449","-2.0785","-1.7854","0.4862"
"467480","0.3994","-3.4641","-3.1177","0.6498","1.0337","-1.6454","-1.2124","1.1276","-1.3156","-1.7321","-2.1449","-1.7","-1.65","0.3994","0.5472","0.3994","0.6498","1.0927","-1.25","-1.0945","-2.6812","-2.9544","-2.0673","-0.4689","-2.6847","-2.6847","-1.8711","-1.5757","-1.4095","1.0725"
"467490","0","-0.4341","0.6428","0","0","-0.9959","-1.1818","-0.342","-1.0337","-1.0392","-0.4788","-0.8356","-1.157","0.4788","-0.1389","-0.1563","0.2736","0.2394","0.3078","0","-0.6498","-0.95","0.2952","-1.8187","-0.8208","-0.8208","-0.5814","-1.1258","-0.7713","-0.191"
"467530","-2.3492","-3.9392","-2.6847","-1.9053","-0.65","-0.4788","-0.55","0.342","-0.5142","0.9848","0.2952","0.2431","1.0285","-2.4249","-1.9696","-2.3","-2.4432","1.1491","0.9959","0.55","0.766","-0.8999","-0.7713","-0.65","-1.1818","-1.1276","-1.0392","1.0337","1.2803","0"
"467540","-1.0261","-1.2997","0.8","0.9193","1.3789","-1.3789","0","-0.9526","0.8","0.75","-1.3856","-1.5427","-1.3","-0.382","-0.7071","0","-0.7182","-0.85","-1.15","-0.3994","-1.15","-1.4","-1.5975","-0.7866","-0.7524","1.7854","-1.3856","1.2216","-1.3856","1.2216"
"467550","-5.1962","-4.3226",NA,NA,NA,NA,NA,"-2.0683","-2.2553","1.75","-5.5426","-8.4572","-9.7728","-7.0148","-4.8497","-3.6373","-4.2424","-5.5426","-4.2347","-3.7","-4.4316","-5.121","1.2997","-3.1177","-5.2","-5.5442","-3.195","-3.1514","2.5069","1.8469"
"467571","-1.7854","-1.1491","0.8457","-0.7794","-0.7518","-1.1276","-1.0337","1.1818","-1.1258","-1.4772","-1.299","-1.2216","-1.4095","-1.2124","0.7878","-1.1258","-1.0392","0.8863","-1.2803","-1.8711","-1.8","-1.4772","-1.3787","-1.5035","-2.1666","-2.3","-1.4095","1.2803","-1.0725","1.3787"
"467590","-4.0377","-4.4","-3.2","-2.0681","-1.3156","0.513","-1.3856","2.1666","2.4432","2.659","0.4168","-1.1491","-1.7321","-3.6","-0.85","-3.6","-3.6","-2.1666","-2.1666","-2.1666","-2.0681","-1.8","-1.9696","-2.2553","-3.101","-3.0529","-1.4784","-0.3762","1.6742","2.9"
"467610","1.3789","0.3473","0.4104","0.7182","0.5472","-1.6742","-0.5209","-0.8","-0.382","-1.0261","-0.6425","-0.5383","-0.6425","0.8551","0.9235","0.7182","0.3647","0.4788","-0.8","-0.9","-1.05","0","0.684","-0.4515","0.95","-0.8","0.684","-1.1","-1.15","-0.3647"
"467620","-16.4446","-16.9145","-13.2497","-10.5246","-4.8497","-1.6417","-3.15","-0.6078","-0.5383","0","-4.2424","-5.2066","-7.5072","-12.9678","-10.1487","-14.0014","-13.1557","-7.5344","-9.1799","-10.8065","-9.0067","-7.5072","-9.7728","-10.2426","-15.1291","-12.9678","-4.2435","1.1629","0","4.1362"
"467650","-1.7854","-4.924","-0.8893","-1.6914","0.45","0","-1.0725","-0.55","-0.4","-1.3787","-1.4095","-0.4788","-1.6914","-1.6454","-0.75","1.299","-1.9734","0","-1.4","1.0392","-0.55","-0.8457","-1.1258","-0.5","-1.1276","-0.342","-0.9526","-1.0833","-0.6","-0.65"
"467660","0.9193","0.6","0","0.45","0.6","-0.1216","0","-0.866","0","-0.2605","-0.2431","-0.3647","-0.5209","-1.157","0.4104","0.9193","0.4","0.7794","-0.8","-0.6","1.0725","-1.0927","0.8","1.2124","1.1258","1.0392","-0.8356","1.3787","0","-1.299"
"467770","0","-1.9495","2.9445","2.0683","-1.3156","2.2215","-2.8191","-1.5","-0.85","-3.2889","-3.007","-3.195","3.0211","2.9568","2.6046","3.0642","1.7619","2.4513","2.2498","2.5","2.3","2.15","0.6946","0","2.9568","0","-2.911","-2.5","-1.7321","-1.9917"
