"stno","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
"466880","1.5757","1.4772","0.8426","1.0337","0.2052","1.5975","2.2553","2.8191","0.8863","0.45","1.8711","2.5372","2.913","-0.3078","-0.3857","0.4","3.7588","-0.2736","-0.2736","0.75","1.8794","2.2553","3.101","0.6062","0.6894","2.913","-0.866","-0.383"
"466900","0.7866","0.7524","0.7182","0.5472","0.342","1.299","0.9397","0.85","1.0927","0.8893","0.7866","0.8","1.3","1.2257","0.8","0.2778","0.9577","-0.9959","-1.1276","0.2778","0.8551","0.9577","1.2213","-0.4446","0","1.3023","-1.3789","0.65"
"466910","-0.6772","-0.6599","-1.7443","-1.2997","0","-0.4515","0.6078","0.8161","-0.4341","-1.25","0","1.9696","-0.5904","-0.2084","-0.2778","0","-0.6251","0","-0.4788","-0.6498","2.2517","2.7","0.5383","-0.4104","0","-0.4689","-0.4515","0.4341"
"466920","1.5321","1.7321","0.9193","0.9193","-0.3762","1.9151","2.8191","3.0311","1.0725","-0.342","1.9053","2.2981","2.6046","-0.3078","0.45","0.8426","3.9068","-1.1276","0.3078","1.2257","1.9917","2.1449","3.2174","0.6428","-0.7518","2.8344","1.1491","0"
"466930","1.0603","1.3681","0.7866","0.8208","0.5814","1.8","1.4365","1.6417","0.6928","0.382","0.712","1.4365","0.6498","0.8426","0.342","-0.2431","-0.6251","0.6428","0.1563","-0.25","0.7988","0","0","0.35","0.3473","0.7467","0.9526","-0.9642"
"466940","0.9377","0.8509","1.2155","1.9495","1.0593","0.8682","2.4249","2.3492","0.35","0.6425","0.9551","1.8","1.9734","-0.7524","1.4555","0.7182","2.2981","-0.8","1.2213","0.45","0.6078","0.8509","2.3383","-0.8999","0.5383","2.4513","1.0927","-1.55"
"466950","6.4279","3.1808","3.2492","3.3176","1.6497","4","7.621","7.3612","3.35","2.5652","4.65","2.85","7.3296","3.3518","2.0863","2.7","4.35","5.8261","0","0.9203","6.0422","4.2","6.2816","-3.0211","1.3545","5.2709","6.8598","-8.8"
"466990","2.5712","3.0211","2.0569","1.7355","-1.6914","1.6","-2.1666","-1.6914","-1.8711","2.4426","3.8302","2.6046","-2.2651","-2.8191","-1.9919","2.5115","3.5238","-2.2651","-2.5372","1.7619","3.0642","1.607","-0.4341","-2.2553","2.9876","2.7713","-2.3492","-2.7251"
"467050","4.1","3.95","4.5","4.2","3.55","5.4637","4.0496","4.3067","0.573","2.2231","4.4","4.7566","3.8302","0.3473","1.8187","2.05","5.2066","1.15","1.5321","3.0211","5.2066","5.7851","3.6","0.4862","3.7282","5.4637","-1.2213","-0.4862"
"467060","-3.5453","-4.5","-4.1362","-4.5","-3.7","-4.5","-4.1362","-2.7575","-1.8794","-3.3829","-3.5708","-3.2","-2.1651","-2.1651","2.1212","-2.5372","-2.2517","-2.3492","-2.4432","-1.3856","0.5383","0.5904","-3.0529","-1.8187","-3.007","-3.101","-2.5372","-1.7321"
"467080","-1.3789","-0.7182","-0.8356","-0.8356","-1.0725","-1.0927","-0.75","-0.8356","-0.1563","1.1","-0.65","-1.2213","1.2803","-1.4555","-0.382","0","1.1","-0.3126","-1.1491","1.3856","1.5427","-0.9642","-0.4788","0","-1.7321","-1.0725","-0.3299","-1.0927"
"467110","3.8105","1.75","3.2174","3.3706","3.9837","3.1497","2","2.6354","0.9919","2.2981","4.1569","3.4641","1.55","0","0.7","2.3383","3.8302","1.2856","-0.2778","3.2889","3.3706","3.2174","2.9876","0.5814","3.4641","3.6004","2.5115","0"
