"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",4.32,1.02,8.91,9.71,2.84,2.65,5.32,4.19,2.47
"2","466900",5.22,1.72,8.75,8.65,3.12,2.98,7.77,3.28,2.42
"3","466910",7.58,2.93,12.73,12.38,5.62,3.99,9.35,5.02,4.33
"4","466920",3.75,0.91,9.64,8.43,3.27,2.92,6.15,4.05,1.99
"5","466930",5.89,2.12,10.62,9.81,3.72,3.22,7.61,4.52,3.25
"6","466940",7.4,2.34,12.99,10.01,4.68,4.59,6.43,4.73,3.62
"7","466950",8.79,0.83,6.04,6.23,2.01,2.41,4.54,2.13,2.99
"8","466990",1.97,2.14,3.17,4.2,3.45,1.9,2.13,3.54,1.03
"9","467060",6.28,1.46,3.58,5.93,3.66,2.8,2.54,4.26,1.62
"10","467080",3.92,0.4,3.59,5.6,3.5,2.5,3.41,5.06,0.86
"11","467110",3.93,0.72,4.69,6.28,1.77,2.43,9.15,1.49,0.66
"12","467300",0.62,1.18,2.1,5.25,0.64,1.2,9.28,2.65,0.51
"13","467350",1.03,0.31,2.39,5.32,0.8,2.42,8.43,4.41,0.47
"14","467410",0.94,0.87,4.72,3.72,0.4,0.86,4.87,2.15,0.02
"15","467420",1.48,0.88,6.62,3.65,0.43,1.41,6.52,1.93,0.03
"16","467440",1.6,0.98,3.75,3.15,0.9,0.23,6.08,3.78,0.32
"17","467480",2.3,0.15,3.68,5.38,0.82,3.6,6.45,3.53,0.26
"18","467490",5.28,0.17,7.82,8.62,0.52,1.59,6.11,3.29,1.02
"19","467530",7.47,0.96,15.09,15.18,2.89,4.12,9.7,11.02,3.75
"20","467540",3.68,2.54,4.06,2.4,0.85,6.67,3.97,3.04,1.32
"21","467550",6.77,1.27,12.17,16.15,1.65,2.84,9.19,11.93,3.2
"22","467571",5.62,0.66,11.55,9.57,2.07,3.35,9.5,4.13,2.06
"23","467590",0.65,1.34,1.32,2.65,0.4,3.43,2.14,0.93,0.27
"24","467610",1.4,2.31,2.44,3.37,2.16,2.32,3,3.48,3.45
"25","467620",3.57,3.54,2.57,5.5,3.76,11.82,1.3,5,5.87
"26","467650",6.17,0.78,9.93,10.82,1.6,3.62,7.97,8.52,3.6
"27","467660",1.51,2.05,2.07,1.55,1.15,4,4.52,2.76,2.47
"28","467770",3.73,0.08,7.68,5.4,0.59,1.21,5.78,2.18,0.48
"29","467990",9.77,1.32,6.54,4,2.87,2.54,7.06,4.79,1.55
"30","C0A520",4.17,0.92,8.65,9.37,2.7,2.5,6.57,4.18,2.27
"31","C0A530",4.58,1.52,7.52,8.4,2.67,3.7,7.22,6.7,3.4
"32","C0A540",5.13,1.47,8.2,8.6,3.77,3.52,10.17,8.28,4.8
"33","C0A550",8.25,2.65,7.48,10.17,3.92,4.85,11.25,8.43,5.47
"34","C0A560",3.73,1.33,7.78,9.35,3.1,4.27,4.88,8.85,3.75
