"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",11.09,5.76,16.01,23.24,4.37,17.08,6.27,4.02,6.08
"2","466900",6.34,3,18.6,22.65,2.21,13.43,1.89,1.34,5.32
"3","466910",15.19,5.55,30,31.79,2.34,18.61,3.25,1.12,9.3
"4","466920",12.53,5.37,16.74,26.09,2.71,23.49,4.56,5.36,6.03
"5","466930",14.98,5.05,25.34,27.56,2.82,23.53,3.61,0.74,9.71
"6","466940",7.83,3.05,11.76,15.74,2.62,21.91,3.62,0.65,2.97
"7","466950",15.23,2.2,7.76,7.57,4.43,10.8,0.74,0.37,6.82
"8","466990",1.94,12.1,15.66,2.33,0.74,17.56,9.18,4.45,10.23
"9","467060",10.03,7.95,15.52,8.07,1.02,24.88,4.56,2.85,3.79
"10","467080",4.87,6.83,17.78,10.27,4.42,22.51,4.97,1.46,4.68
"11","467110",0.27,5.98,1.25,5.87,3.71,5.89,2.37,1.5,5.9
"12","467300",1.59,6.26,3.51,11.71,3.88,21.19,3.26,2.58,28.98
"13","467350",0.27,4.59,5.65,9.8,2.01,25.45,5.45,3.19,19.72
"14","467410",6.77,5.56,20.48,26.02,22,20.31,2.95,6.34,41.97
"15","467420",4.58,7.48,21.24,27.42,21.58,23.24,3.71,3.85,36.52
"16","467440",5.31,11.85,24.4,24.7,29.1,17.68,13.77,6.81,51.63
"17","467480",6.73,3.64,22.57,44.1,8.16,18.08,6.11,6.41,27.69
"18","467490",6.56,8.27,23.43,24.61,8.98,11.88,5.95,2.23,13.18
"19","467530",11.82,20.9,32.19,44.73,14.44,31.75,9.68,7.99,28.85
"20","467540",4.51,16.94,19.79,17.71,2.76,19.16,11.13,11.22,21.93
"21","467550",4.06,15.66,22.45,23.3,4.56,21.25,6.19,3.71,19.81
"22","467571",4.19,2.02,19.63,18.06,2.02,7.1,3.25,1.75,8.53
"23","467590",8.98,37.25,34.95,19.27,13.76,7.65,17.69,9.61,45.18
"24","467610",1.62,11.61,16.53,3.34,5.95,10.65,8.15,7.54,16.38
"25","467620",13.1,12.41,12.83,15.98,3.55,16.33,9.57,14.6,15.81
"26","467650",7.17,7.77,20.5,26.53,7.73,20.03,5.78,5.92,17.95
"27","467660",4.42,12.16,17.49,5.52,4.69,5.83,6.96,10.15,15.91
"28","467770",3.51,2.42,17.82,21.07,7.09,10.98,7.66,1.28,17.19
"29","467990",0.64,2.31,9.75,4.69,2.46,6.61,4.22,2.58,4.16
"30","C0A520",9.18,5.98,16.9,19.11,5.55,14.1,5.74,2.95,6.52
"31","C0A530",7.55,10.84,26.35,20.84,6.73,31.31,7.82,2.31,8.97
"32","C0A540",7.11,18.34,30.05,15.47,6.35,38.55,7.05,2.95,9.08
"33","C0A550",13.6,11.84,23.74,14.92,2.65,25.98,6.42,2.34,6.42
"34","C0A560",4.87,13.61,34.69,19.84,7.69,37.85,8.19,3.89,7.44
"35","C0A570",6.77,13.63,33.77,22.48,8.94,34.18,5.5,2.76,9.42
"36","C0A640",10.11,9.71,27.5,19.53,5.37,35.73,4.2,2.1,7.61
"37","C0A650",10.48,10.58,25.79,18.05,5.05,30.95,6.18,1.11,6.08
"38","C0A660",8.56,4.74,13.81,18.73,2.77,24.39,3.03,0.63,3.52
"39","C0A860",8.85,2.77,16.55,15.37,1.98,20.4,3.84,0.6,4.53
"40","C0A870",10.32,5.48,22.53,18.31,2.39,11.86,4.26,0.65,6.15
"41","C0A880",11.45,3.08,12.26,11.48,1.19,15.34,3.71,0.89,6.21
"42","C0A890",11.87,5.34,18.16,12.98,1.68,18.97,4.21,0.98,3.5
"43","C0A920",7.55,2.1,12.66,17.31,3.94,13.32,1.37,0.48,5.68
"44","C0A940",6.52,1.26,11.13,12.73,1.23,15.31,2.06,0.34,4.05
"45","C0A950",7.74,3.32,7,6.16,1.48,8.81,2.08,0.37,2.89
"46","C0A970",9.37,2.13,8.71,19.6,0.74,6.42,1.77,0.28,2.06
"47","C0A980",6.29,3.05,13.48,22.11,4.42,14.08,2,0.74,5.69
