"day","2010","2011","2012","2013","2014","2015","2016","2017","2018"
1,0.12,0.02,0.85,5.47,0.04,0.01,0.38,1,0.73
2,5.52,0.12,0.56,1.53,0.13,0.01,6.6,0.08,0.84
3,7.61,3.94,2.55,11.98,0.4,0,30,3.2,0.31
4,0.11,1.23,3.01,7.21,0.12,0.01,4.48,0.54,3.43
5,1.85,2.83,8.68,7.52,0.01,0.12,1.37,0.04,5.75
6,7.07,5.58,18.7,4.58,0,1.05,20.21,1.15,26.06
7,9.72,2.39,7.08,3.79,0,2.72,1.7,0.65,35.11
8,13.77,2.37,7.97,9.87,2.97,0.25,6.4,0.92,42.24
9,1.21,3.3,3.26,10.9,3.62,0,0.49,0.41,21.54
10,1.41,5.97,0.72,7.48,1.47,0.06,0.54,0.03,1.73
11,3.67,14.42,1.3,3.33,1.78,0.83,18.27,0.79,0.07
12,5.73,13.7,1.23,17.27,2.61,4.98,6.17,1.31,0.04
13,0.04,1.54,1.83,14.05,4.61,4.46,6.9,7.87,0.22
14,0.06,1.49,1.98,0.55,9,8.88,0.55,8.37,0.04
15,0.06,7,6.26,0.01,0.19,0.07,5.56,3.23,0.02
16,3.1,1.71,15.15,3.35,0.01,0.05,2.24,2.56,0.37
17,2.7,1.48,0.38,2.78,0.11,0.19,25.2,0.65,1.72
18,0.39,1.71,0.09,0.21,0.12,0.11,1.04,0.56,4.15
19,0.93,3.76,0.86,0.16,0.01,0.2,3.18,1.54,9.08
20,0.1,5.95,1.03,1.96,0.9,0.25,3.76,3.86,2.79
21,3.33,9.11,3.21,1.62,0.77,1.28,8.78,0.1,2.2
22,5.3,0.47,18.1,0.83,0.02,0.02,19.23,0.18,2.42
23,4.22,2.51,10.37,2.11,0.01,0,28.76,0.46,1.1
24,3.11,2.58,14.76,1.58,0,0,7.46,2.71,2.5
25,11.47,2.56,5.58,2.04,0.12,0.1,1.44,2.16,2.06
26,0.74,6.34,5.16,1.2,0.39,1.45,0.5,0.39,6.69
27,0.49,6.47,0.21,2.77,0.15,11.59,1.33,1,1.34
28,2.02,6.33,0.14,0.41,0.02,3.76,6.28,1.44,9.91
29,1.87,4.25,1.5,0.1,0.24,0.96,29.09,0.08,10.7
30,0.35,2.16,1.56,0.57,0.03,3.27,14.47,4.62,8.31
31,0.04,1.1,2.04,0.02,0.01,2.77,2.67,3.2,12.64
32,0.7,1.39,3.11,0.67,0.01,1.5,15.15,2.94,6.46
33,0.36,3.11,6.19,9.98,2.59,2.08,9.05,2.56,4.61
34,1.72,0.97,7.13,3.99,2.17,8.51,3.28,0.23,11.03
35,1.37,0.61,1.92,0.53,7.46,6.06,6.06,1.93,11.32
36,1.06,0.04,2.13,2.18,9.31,2.82,7.64,2.52,7.78
37,5.61,0,1.12,2.08,2,1.13,0.77,0.59,0.4
38,6.84,0,15.91,8.46,1.27,0.93,0.02,0.01,9.04
39,2.01,0.13,9.35,6.42,9.35,2.49,0,0.7,7.89
40,0.08,3.38,2.49,2.4,42.39,1.21,0.01,2.63,2.96
41,0.05,0.44,1.13,3.79,12.09,0.2,0.07,0.24,5.09
42,0.86,4.05,3.17,4.47,4.71,0,4.84,1.28,6.06
43,5.48,2.05,1.65,2.34,10.63,0.03,1.36,0.67,0.39
44,10.9,6.82,1.3,1.68,14.04,0.01,0.01,0.44,0.24
45,0.88,9.11,1.41,0.44,9.57,0.06,10.21,0.29,0
46,8.38,2.94,4.52,3.47,1.3,2.66,2.91,0.05,0.01
47,25.51,1.76,6.28,0.78,1.21,9.75,1.58,0.05,1.29
48,28.15,0.97,4.19,1.21,0.56,0.95,3.43,0.11,1.31
49,18.83,3.58,1.31,0.07,3.08,0.71,5.41,2.88,0.02
50,29.67,15.2,1.35,2.24,17.38,0.65,1.52,1.43,0.1
51,1.81,9.09,4.27,1.62,1.94,0.07,2.28,2.81,0.15
52,0.1,0.85,6.88,5.07,0.15,4.01,0.26,2.39,2.62
53,0.91,0.14,3.71,4.98,2.19,2.22,0.48,10.98,19.35
54,0.12,0.06,21.89,2.36,1.29,0.8,3.94,3.56,0.73
55,0.11,1.65,34.85,2.66,0.07,10.91,5.67,16.3,0.09
56,0.5,4.44,19.77,0.32,0.29,0.02,2.74,17.51,5.04
57,0.04,1.08,14.19,0.39,0.61,0.54,4.84,9.8,0.72
58,0.18,0.03,7.31,9.42,1.69,1.28,6.5,0.24,0.17
59,3.93,0.04,16.46,0.35,3.24,0.4,0.24,0.66,5.63
60,0.05,2.06,0.11,1.65,0.32,1.97,0.04,0.8,2.53
61,0.74,1.36,2.21,4.04,5.71,0.38,0,0.15,0.96
62,0.09,1.57,1.86,0.98,3.57,0.58,0.01,0.11,0.16
63,0.25,1.58,2.17,0.29,4.32,3.04,0.18,0.21,1.37
64,0.05,0.21,1.4,0.01,4.05,1.93,2.72,0.31,3.39
65,0.61,0.4,0.51,0.09,7.59,4.01,0.68,10.56,1.49
66,1.39,13.07,1.32,0.03,8.89,0.92,0.27,5.92,0.94
67,2.91,0.21,3.55,0,8.36,0.38,0.57,8.52,15.88
68,15.35,1.02,10.95,0,4.47,0.87,14.18,1.61,1.63
69,0.75,11.85,5.42,0.1,0.25,9.95,40.31,18.69,0.04
70,0.01,8.91,5.2,0.06,0.49,19.24,18.05,2.69,0.04
71,0.39,2.11,10.39,0.28,9.65,7.95,6.62,0.54,0.02
72,12.58,0.35,12.54,0.95,11.54,0.05,24.18,2.35,0.01
73,0.22,0.07,6.36,0.87,0.53,0.01,14.19,5.73,0.55
74,1.82,2.34,1.26,1.2,0.01,0.45,7.96,0.18,10.87
75,1.66,0.37,1.45,0.56,0.11,2.34,3.94,9.64,2.42
76,0.16,0.03,1.61,0.14,0.03,1.01,0.73,2.25,1.43
77,0.09,1.29,1.52,2.88,0.1,0.03,16.36,0.65,0.1
78,1.46,1,1.95,1.1,0.17,0.03,7.24,3.39,0.31
79,0.28,0.36,1.8,0.77,1.99,0.13,2.93,0.79,9.23
80,0.28,0.51,1.89,1.88,1.94,1.01,6.48,1.94,2.43
81,0.18,3.18,0.56,0.06,0.11,0.94,3.1,1.61,0.07
82,0.18,0.76,1.26,0.08,0.02,26.37,24.11,4.47,0.04
83,0.97,0.74,2.63,2.4,0.03,9.38,11.22,0.22,0.01
84,6.48,1.01,0.07,1.32,0.04,19,18.98,10.54,0.01
85,0.25,3.61,0.01,4.47,1.22,10.39,0.29,12.23,0.08
86,0.17,27.26,0.11,5.21,6.76,8.38,0.4,0.08,1.65
87,0.7,8.97,0.12,11.57,2.4,0.49,0.04,0.05,1.77
88,0.25,0.12,0.55,3.25,8.67,0.17,0.04,0.18,0.88
