"day","2010","2011","2012","2013","2014","2015","2016","2017","2018"
1,981.71,983.62,981.03,978.99,978.79,985.88,985.52,978.23,978.26
2,979.49,984.15,979.95,979.3,977.11,985.46,979.51,977.05,977.41
3,979.79,983.25,979.2,982.65,974.74,982.4,977.57,976.8,977.02
4,978.85,984.06,983.03,978.67,976.56,978.44,976.33,975.08,975.07
5,981.04,982.31,982.02,976.48,978.76,976.58,975,973.89,974.48
6,982.38,985.01,980.76,976.64,978.64,976.28,975.94,972.95,974.38
7,983.93,985.9,983.1,975.97,977.12,980.78,978.24,970.87,973.66
8,982.55,983.09,981.92,976.1,977.51,985.54,977.14,971.01,972.51
9,982.04,983.26,981.2,977.77,982.81,984.89,978.24,974.18,978.7
10,981.03,982.89,981.15,979.45,984.21,984.02,975.83,976.14,981.5
11,980.17,980.96,983.58,978.96,983.26,983.5,973.62,975.43,982.61
12,983.74,981.91,981.91,976.25,982.56,983.36,976.44,972.7,984.08
13,989.67,981.8,979.36,971.48,981.14,979.08,977.3,972.54,983.07
14,989.85,979.95,974.96,977.6,981.26,979.93,976.33,975.59,979.31
15,988.13,983.25,970.7,979.81,983.8,982.45,973.38,977,975.74
16,988.28,986.62,971.41,980.19,983.02,982.44,972.55,977.04,972.41
17,988.63,987.12,974.63,983.62,981.76,984.68,968.04,978.28,972.89
18,986.77,984.29,974.18,985.07,985.54,982.96,974.33,978.36,974.88
19,985.04,982.56,974.7,982.1,984.89,982.42,978.58,977.15,975.95
20,984.31,980.42,975.33,981.05,982.32,980.65,978.97,979.42,974.63
21,983.6,981.82,974.89,979.42,983.24,979.5,974.84,981.16,972.86
22,986.81,984.06,977,978.54,984.71,981.46,975.31,982.75,972.03
23,986.52,984.31,978.78,978.11,981.96,981.92,980.93,982.92,973.46
24,984.31,986.4,976.61,976.71,979.47,982.09,987.47,982.98,974.21
25,985.37,987.04,978.86,977.33,978.28,981.07,987.16,981.93,974.31
26,987.39,987.7,979.15,976.79,979.99,979.73,983.59,979.79,975.89
27,983.14,987.03,976.45,982.53,980.14,978.6,980.82,977.98,975.05
28,981.32,985.7,975.56,983.34,979.87,979.41,977.4,975.45,972.55
29,983.07,988.21,976.88,980.75,979.14,979.53,975.32,975.01,976.28
30,981.74,989.11,978.4,982.16,979.18,982.03,977.6,976.65,977.19
31,981.27,988.49,979.2,981.06,979.05,985.93,978.31,977.38,976.06
32,980.31,984.67,978.55,980.26,976.18,986.33,978.83,978.8,978.15
33,979.93,983.48,981.19,980.35,971.42,985.42,979.6,979.55,979.6
34,981.01,982.05,981.23,979.03,971.1,984.31,979.3,976.3,980.97
35,981.21,980.22,978.95,978.63,975.69,982.87,977.73,972.87,981.24
36,981.42,981.55,976.78,977.84,975.18,984.28,975.88,971.23,981.46
37,981.35,980.31,971.33,976.62,972.34,983.52,979.11,973.83,979.92
38,981.16,977.21,975.12,975.02,971.03,980.67,980.99,974.55,977.5
39,980.15,973.22,980.4,979.32,973.05,983.18,980.37,972.62,975.89
40,979.6,975.02,979.55,980.34,973.3,985.09,978.65,975.34,974.28
41,978.41,976.5,978.66,978.85,977.21,981.26,976.25,978.48,974.87
42,979.19,981,980.4,979.01,977.63,977.36,974.01,981.91,979.59
43,985.14,983.83,979.4,979.21,977.06,978.04,972.56,982.41,982.52
44,984.45,980.34,978.5,979.53,977.8,979.31,971.19,983.64,981.04
45,979.09,983.63,975.74,976.72,979.36,979.59,973.82,985.21,977.31
46,981.56,985.5,973.81,977.23,979.97,978.29,980.45,982.37,974.83
47,984.53,981.69,976.12,978.64,979.47,977.12,980.81,978.38,973.18
48,983.73,979.07,979.04,975.22,978.78,977.91,981.94,978.15,975.8
49,985.25,980.17,981.71,973.73,976.01,980.78,979.88,978.97,975.91
50,983.75,980.63,981.46,976.26,978.36,982.67,978.23,975.15,974.57
51,982.07,982.08,978.65,979.93,984.01,980.19,981.42,972.75,973.31
52,980.42,982.46,974.81,979.33,984.27,977.53,982.71,976.17,973.49
53,978.82,982.37,971.51,980.69,982.84,977.78,978.51,973.05,975.72
54,977.95,980.88,970.18,982.37,982.36,977.11,979.99,975.05,977.6
55,976.53,980.22,971.02,980.67,980.98,976.34,983.8,978.02,977.18
56,975.17,981.1,972.58,979.21,979.62,975.67,985.21,975.98,976.37
57,974.47,981.63,975.93,976.22,979.13,976.46,983.03,976.96,977.42
58,976.64,980.01,976.05,974.24,979.98,978.47,979.86,978.54,975.22
59,979.91,979.23,972.94,973.87,977.96,978.38,979.29,976.64,971.61
60,977.91,979.66,975.09,974.95,975.3,980.89,982.02,974.67,971.55
61,977.41,982.48,974.05,981.17,976.05,977.8,980.66,975.89,970.84
62,977.85,982.95,975.13,981.57,977.87,974.32,978.51,974.09,969.87
63,976.88,984.1,973.8,982.01,977.38,978.52,976.22,971.92,971.03
64,977,982.47,970.72,982.48,979.58,978.74,974.03,969.79,971.96
65,978.67,979,971.15,980.03,979.43,978.54,973.01,971.05,976.82
66,981.95,981.09,970.68,978.2,981.07,979.56,972.96,973.93,974.65
67,981.34,984.15,971.57,976.34,977.95,978.49,970.76,974.59,976.06
68,984.92,985.57,974.52,975.02,980.65,980.27,972.16,973.75,978.95
69,988.95,985.13,977.22,975.39,982.76,983.88,976.73,970.45,979.29
70,987.03,983.39,979.11,977.31,981.54,982.18,978.14,972.21,979.03
71,984.36,981.01,980.38,975.12,975.38,980.84,975.63,971.4,976.83
72,981.69,980.09,980.04,974.24,976.66,979.96,971.85,969.59,975.3
73,979.21,979.06,978,980.01,982.58,980.03,974.98,974.64,974.2
74,979.13,983.13,976.29,980.52,982.19,978.87,974.64,975.78,972.56
75,985.14,986.64,973.48,978.79,981.73,977.69,973.35,974,973.69
76,985.02,986.49,972.64,973.56,979.32,975.42,972.97,975.3,976.28
77,983.45,983.26,973.93,969.68,977.37,973.48,970.22,975.83,974.25
78,979.99,979.37,974.99,971.91,974.45,975.01,971.9,975.64,970.72
