"day","2010","2011","2012","2013","2014","2015","2016","2017","2018"
1,14.63,10.18,14.02,12.67,15.79,12.57,17.27,18.9,15.6
2,16.06,12.21,13.52,16.21,17.8,12.41,17.62,19.08,17.2
3,14.55,12.47,14.73,14.37,18.55,14.13,17.83,18.99,18.06
4,15.73,12.52,10.93,14.66,15.69,15.65,19.51,19.8,17.65
5,14.4,15.3,11.4,15.85,14.05,17.27,19.74,19.74,16.34
6,13.82,12.9,14.39,16.95,15.13,18.47,17.74,19.53,16.23
7,13.48,11.2,15.16,17.76,16.75,14.92,16.56,19.78,16.9
8,12.91,14.1,16.43,16.23,16.39,12.37,15.39,18.8,17.29
9,15.32,14.1,16.08,14.09,12.7,13.77,15.53,16.51,11.01
10,16.39,12.08,16.15,13.67,13.68,14.44,17.23,16.59,10.36
11,15.29,10.96,14.5,15.44,15.7,15.01,16.38,17.62,10.18
12,10.11,9.62,14.9,16.86,15.41,15.45,15.36,18.02,9.51
13,9.93,13.45,16.45,15.78,14.14,16.8,13.55,15.75,10.61
14,11.37,15.74,18,13.2,12.99,15.08,13.56,13.75,13.4
15,13.71,11.81,17.76,14.41,12.71,14.39,14.26,13.8,15.79
16,14.35,8.23,14.91,14.97,13.46,14.99,16.48,14.31,17.3
17,15.15,11.04,15.45,12.89,14.14,13.61,16.81,16.51,18.15
18,16.49,13.9,16.79,11.39,12.55,14.41,13.72,17.89,18.96
19,18.15,15.67,16.9,14.47,13.44,14.28,13.41,17.79,17.89
20,19.47,15.73,15.74,16.18,13.87,15.67,14.51,13.71,17.81
21,19.06,13.63,15.26,17.92,11.18,15.48,16.19,13.07,18.11
22,14.92,13.31,13.28,17.59,10.48,13.24,15.22,13.69,16.87
23,14.41,14.4,11.47,16.04,12.42,12.96,10.44,13.53,16.66
24,16.61,12.48,13.25,16.23,14.14,14.78,4.86,14,15.95
25,15.86,13.32,11.11,14.42,15.7,16.83,6.79,14.38,16.24
26,14.54,14.43,12.65,14.83,14.59,16.94,12.25,14.44,15.29
27,17.33,15.56,15.34,13.68,14.88,15.94,15.81,15.88,15.82
28,18.19,14.62,16.09,13.91,16.02,14.66,16.82,17.65,15.72
29,17.57,11.18,15.68,14.87,16.45,16.23,16.79,18.83,12.09
30,18.04,10.67,15.05,15.62,16.72,14.91,15.68,17.16,12.41
31,19.29,10.46,13.69,16.69,17.86,13.54,16.27,15.6,14.39
32,18.47,13.3,14.63,18.33,18.39,14.24,14.01,16.09,11.47
33,16.75,13.73,13.53,19.16,19.54,15.48,12.16,14.74,12.15
34,16.39,15.28,12.38,18.85,19.52,15.31,13.58,16.84,9.64
35,16.65,15.84,15.86,20.76,15.44,13.92,15.41,17.03,8.74
36,16.92,15.7,17.76,19.55,16.41,11.24,13.75,17.32,7.52
37,17.46,16.05,19.57,18.66,18.62,11.27,10.51,16.33,9.1
38,17.57,17.07,13.74,18.03,17.64,14.39,10.1,16.11,10.26
39,18.72,17.82,10.24,14.54,14.91,12.19,11.76,16.13,11.57
40,19.89,17.2,12.13,14.5,13.86,10.13,14.04,11.34,14.86
41,21.49,17.04,15.1,15.51,9.84,11.64,16.52,10.21,15.72
42,21.73,13,15.15,16.67,8.77,13.58,18.13,10.2,12.16
43,13.29,11.41,17.19,16.78,11.76,14.18,19.86,12.06,12.04
