"day","2010","2011","2012","2013","2014","2015","2016","2017","2018"
1,0.68,1.52,1.48,0.53,0.7,1.8,1.15,0.48,1.19
2,0.56,1.04,0.96,1.04,0.27,1.19,0.58,0.63,0.61
3,1.1,1.41,1.18,2.18,0.49,0.44,0.59,1,0.29
4,0.59,1.45,2.14,1.41,1.51,0.21,0.36,0.65,0.38
5,1.52,1.09,1.16,1.5,1.25,0.14,0.57,0.22,1.43
6,1.58,2.27,1.01,1.27,0.65,0.81,1.56,0.7,0.88
7,1.33,1.69,1.7,1.3,0.13,1.96,1.46,0.21,0.44
8,1.44,1.18,1.45,1.65,1.19,1.89,1.63,0.98,0.98
9,0.64,2.11,1.75,1.78,1.96,1.24,1.34,1.52,1.65
10,0.56,1.68,1.51,1.65,1.26,1.08,0.84,1.13,1.53
11,1.63,1.94,1.87,1.07,0.42,0.97,1.19,1.16,1.68
12,2.16,1.59,1,1.08,1.3,1.03,1.66,0.97,1.78
13,1.48,0.89,0.8,1.61,1.89,0.06,1.65,1.69,1.33
14,0.75,1.24,0.3,1.92,2.28,1.55,1.19,1.58,0.83
15,0.12,3.09,0.75,0.45,1.89,1.46,0.89,1.42,0.64
16,1.03,1.98,1.23,0.85,1.01,1.31,0.8,1.39,0.32
17,1.21,1.27,0.92,2.19,1.13,1.69,0.93,0.77,1.02
18,0.58,0.93,0.26,1.49,2.05,1.27,1.6,0.76,1.09
19,0.05,1.43,1.11,0.25,0.87,1.53,1.33,1.1,1.21
20,0.08,1.41,1.28,0,1.19,0.61,1.23,2.22,1.16
21,0.98,2.13,1.25,-0.01,2.35,1.21,1.34,1.38,0.87
22,1.83,1.18,1.92,0.92,1.81,1.37,1.36,1.72,1.41
23,1.4,1.42,1.55,1.3,0.76,0.54,2.87,1.39,1.3
24,0.67,1.94,1.32,0.9,0.16,-0.01,2.24,1.47,1.41
25,1.6,1.19,1.91,1.53,0.58,0.22,1.64,1.63,1.43
26,1.33,1.75,0.88,1.09,1.76,0.73,0.69,1.56,2.13
27,0.08,1.72,0.68,1.59,1.28,1.35,-0.01,1.07,1.01
28,0.7,2.03,0.9,0.84,0.52,1.59,0.05,0.6,1.43
29,1.15,2.32,1.48,0.46,0.45,1.1,0.64,0.25,2.22
30,0.28,1.95,1.72,0.87,0.31,1.92,1.53,1.8,1.34
31,-0.22,1.65,1.61,0.16,0.03,1.75,1.4,1.53,1.52
32,0.95,0.93,1.05,0.23,0.39,1.21,2.36,1.85,1.9
33,0.8,1.21,1.88,0.72,0.42,0.84,1.8,1.8,1.89
34,1.19,1,1.24,0.19,0.94,1.14,1.34,0.87,2.19
35,1.2,0.92,0.8,0.13,1.91,1.62,1.43,0.31,2
36,0.78,1.14,0.53,0.14,0.7,1.9,2.19,1.34,1.85
37,0.58,0.75,-0.55,1.04,0.38,0.92,2.48,1.74,1.78
38,0.73,0.15,2.19,1.27,0.72,0.81,1.46,1.19,1.15
39,0.39,0.26,1.72,2.2,1.58,2.07,0.69,1.05,1.04
40,-0.35,1.05,0.77,1.53,1.73,1.59,0.16,2.32,0.62
41,-0.65,1.11,0.93,1.21,2.33,0.88,-0.15,1.79,1.41
42,-0.16,2.4,1.55,1.39,1.53,0.45,-0.31,1.57,1.96
43,2.07,1.39,0.35,1.37,1.21,1.24,-0.27,1.13,1.44
44,1.19,0.77,0.48,1.55,1.65,0.34,-0.51,1.13,0.68
45,0.39,2.37,0.37,0.44,1.86,-0.13,1.46,1.2,-0.03
46,1.75,1.28,1.15,1.47,1.16,0.14,1.93,0.47,-0.03
