"day","2010","2011","2012","2013","2014","2015","2016","2017","2018"
1,0.63,0.81,0.61,0.49,0.58,1.26,0.87,0.66,1.18
2,-0.2,0.73,0.61,0.21,0.13,0.99,0.07,0.3,1.02
3,0.52,0.4,0.8,1.4,-0.1,0.54,0.13,0.8,1
4,-0.02,0.8,0.82,0.93,0.57,0.08,-0.13,0.67,0.25
5,1.14,0.59,0.63,0.57,0.93,0.07,0.07,0.14,0.65
6,0.91,1.02,0.28,0.6,0.76,0.47,0.45,0.38,1.04
7,0.96,0.77,1.08,0.52,0.22,0.77,0.88,-0.14,0.65
8,0.69,0.7,0.4,0.53,0.49,0.87,0.62,0.45,0.3
9,0.51,0.87,0.96,0.7,0.77,0.88,0.84,0.92,0.59
10,0.09,0.8,0.85,1.07,0.96,0.91,0.34,0.84,0.41
11,0.51,0.53,0.96,0.84,0.45,1.12,0.09,0.9,0.82
12,0.38,0.66,1.01,0.52,0.25,1.44,0.75,0.53,0.89
13,0.74,0.65,0.58,-0.17,0.89,0.73,0.63,0.84,0.98
14,0.95,0.04,0.1,0.71,0.84,0.34,0.44,0.99,0.54
15,0.52,0.78,0.25,0.28,1.15,0.77,0.14,0.88,0.47
16,1.07,1.03,-0.16,0.24,0.81,0.63,0.46,1.06,0
17,1.28,1.12,0.88,0.76,0.7,1.23,-0.2,0.72,0.55
18,0.84,0.6,-0.18,0.88,0.86,0.71,0.81,0.02,0.72
19,0.49,0.74,0.36,0.76,1,1.33,0.94,0.21,0.6
20,-0.03,0.82,0.76,0.27,0.23,0.68,0.86,1.15,0.78
21,0.56,0.83,0.58,0.04,1.03,0.07,0.25,0.72,0.57
22,1.2,0.88,0.78,0.49,0.81,0.38,0.58,1.1,0.65
23,1.12,0.32,0.77,0.73,0.83,0.67,0.68,1.14,0.98
24,0.46,1.01,0.54,0.48,0.33,0.32,0.31,1.06,1.21
25,0.69,0.78,0.78,0.89,0.04,0.12,0.52,0.89,1.07
26,1.27,1.04,0.65,0.54,0.79,0.26,0.64,1.11,1.41
27,0.1,0.79,-0.11,0.91,0.84,0.92,0.33,0.73,0.96
28,0.21,0.63,-0.05,0.94,0.62,1.15,0.22,0.44,0.33
29,0.95,0.99,0.3,0.01,0.25,0.54,0.12,0.14,1.04
30,0.21,1.03,0.22,0.6,-0.06,0.76,0.49,1.15,1
31,-0.12,1.02,0.45,0.27,0.68,1.03,0.99,1.21,0.72
32,0.37,0.42,0.47,0.07,0.01,0.99,1.01,1.15,0.74
33,0.65,0.38,1.36,0.75,0.07,0.62,0.76,1.26,0.72
34,0.32,0.39,0.71,0.22,0.3,0.54,0.75,0.63,0.66
35,0.09,0.22,0.64,-0.04,1.38,0.69,0.35,0.04,0.63
36,0.04,0.87,0.14,-0.29,0.9,0.75,0.5,0.65,0.47
37,-0.05,0.3,-0.21,0.63,-0.07,0.61,0.48,1.4,0.91
38,-0.33,0.43,0.86,0.56,-0.09,0.21,0.33,1.16,0.76
39,0.07,-0.45,0.89,1.25,0.76,1.03,0.28,0,1.07
40,-0.41,0.72,0.66,0.6,0.71,0.76,0.4,0.52,0.28
41,-0.41,0.16,0.07,0.37,0.61,0.53,0.33,0.7,0.36
42,-0.45,0.76,0.76,0.56,0.18,-0.2,0.15,0.87,0.91
43,1.16,1.06,0.65,0.4,0.26,0.14,-0.11,0.77,0.88
44,1.09,0.53,0.17,0.86,0.41,0.54,-0.38,0.88,0.83
45,0.11,0.74,0.12,0.07,0.47,0.38,0.51,1.04,0.09
46,0.67,1.08,0.46,0.56,0.75,0.04,0.62,0.34,0.34
47,0.85,0.32,0.67,0.91,0.21,0.31,0.61,-0.05,0.05
48,0.46,-0.04,0.88,0.06,-0.13,0.91,0.7,0.15,1.09
49,0.68,0.59,1.14,-0.14,0.06,1.07,0.58,1,0.1
50,0.62,0.22,1,0.49,0.4,1.12,-0.25,0.57,-0.1
51,0.5,0.21,0.94,1.06,0.78,0.35,0.68,0.35,0.18
52,-0.16,0.27,0.1,0.74,0.94,0.06,1.12,1.17,0.89
53,-0.37,0.26,-0.06,0.48,0.62,0.32,0.07,-0.07,0.84
54,0.16,0.14,0.01,1.09,0.61,0.14,0.68,0.84,0.85
55,0.16,0.25,0.12,0.62,0.42,0.05,1.21,0.47,-0.02
56,-0.31,0.73,0.63,0.19,0.2,-0.16,1.18,0.32,0.28
57,-0.72,0.84,0.59,-0.15,0.15,0.17,0.76,0.21,0.85
58,-0.36,-0.03,0.62,0.26,0.85,0.52,0.16,0.62,0.33
59,0.57,0.12,0.2,0.44,0.54,0.09,0.49,0.56,-0.38
60,-0.46,0.54,-0.07,0.16,-0.13,0.76,1.11,0.01,0.75
61,-0.08,1.17,0.32,1,0.8,0.46,0.7,0.82,0.08
62,0.25,0.91,0.54,0.55,0.63,0.23,0.25,0.6,-0.35
63,-0.27,1.05,0.11,0.67,-0.11,0.96,0.17,0.08,-0.1
64,-0.2,0.55,0.01,0.6,0.81,0.62,0.16,-0.11,0.25
65,-0.08,-0.1,0.5,0.16,0.63,0.36,-0.04,0.56,1.08
66,0.94,0.57,0.14,-0.07,0.83,0.5,0.13,0.49,0.66
67,0.36,0.98,0.25,-0.05,-0.06,0.32,-0.23,0.4,0.64
68,0.47,0.82,0.55,-0.07,0.65,0.79,0.79,0.76,0.81
69,0.64,0.85,0.49,0.42,0.95,1.2,0.87,0.43,0.93
70,0.4,0.76,0.85,0.84,0.54,0.69,0.8,0.57,0.75
71,0.15,-0.33,1.02,-0.05,-0.09,0.51,0.48,0.03,0.16
72,0.13,0.31,0.63,-0.07,0.65,0.02,-0.09,-0.09,0.18
73,-0.08,0.09,0.29,1.03,0.66,0.11,0.79,0.66,0.25
74,0.11,1.21,-0.03,0.51,0.48,-0.04,0.6,0.77,0.26
75,1.23,1.16,-0.12,0.21,-0.07,-0.04,0.12,0.32,0.64
76,0.36,1.27,-0.08,-0.12,-0.05,0.06,0.14,0.53,0.89
77,0.35,0.6,0.32,-0.76,0.05,-0.29,-0.35,0.17,0.1
78,0.21,0.22,0.63,-0.14,-0.13,-0.06,0.15,0.32,-0.04
79,-0.37,-0.18,0.32,-0.1,0.84,0.13,0.76,-0.24,0.13
80,1.11,-0.13,1.03,0.86,1.02,0.49,0.6,0.99,0.04
81,0.17,1.01,0.15,-0.4,1.01,1.07,0.12,0.63,0.7
