"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",2.83,5.93,7.32,7.54,4.57,2.6,0.47,2.29,2.25
"2","466900",3.23,6.84,6.81,6.94,3.1,2.55,0.53,1.29,8.56
"3","466910",8.44,23.5,16.15,22.16,10.43,7.93,6.48,19.08,20
"4","466920",2.05,5.14,6.11,7.41,2.8,2.44,0.53,2.16,1.75
"5","466930",7.23,20.81,10.73,14.55,7.67,6.1,6.13,16.76,20.39
"6","466940",6.41,16.87,16.24,20.15,7.67,8.03,4.5,14.8,18.65
"7","466950",2.94,4.12,7.34,5.16,3.62,5.13,2.43,2.18,3.56
"8","466990",0.65,4.08,6.23,3.08,1.63,3.32,1.39,2.27,1.58
"9","467060",11,27.11,24.42,24.19,14.37,7.76,12.31,32.77,41.65
"10","467080",2.97,14.02,10.42,12.32,4.72,5.77,7.18,14.06,9.89
"11","467110",1.1,0.03,2.63,1.78,1.17,5.96,0.9,0,0.66
"12","467300",0.34,0.26,1.38,0.23,0.75,1.27,0.15,0.16,0.01
"13","467350",0.42,0.62,1.54,0.46,0.66,1.92,0.13,0.17,0.14
"14","467410",0.47,0.14,0.58,0.68,0.26,0.44,0.06,0.06,0
"15","467420",0.5,0.23,0.66,0.66,0.37,0.55,0.11,0.08,0
"16","467440",0.37,1.31,0.6,1.55,0.44,0.89,0.03,0.02,0
"17","467480",1.05,0.63,1.38,1.49,0.98,1.01,0.32,0.12,0
"18","467490",0.88,1.2,2.29,2.24,0.97,1.71,0.27,0.26,0.06
"19","467530",2.09,4.06,4.96,4.68,5.58,1.83,1.08,1,0.09
"20","467540",0.43,1.64,2.8,1.9,0.94,0.28,0.2,0.87,0.58
"21","467550",1.68,2.93,7.82,4.92,4.17,3.37,2.97,0.84,0.26
"22","467571",1.97,2.23,4.74,5.32,1.92,2.88,0.21,0.77,0.98
"23","467590",0.04,0.96,0.81,3.85,0.29,0.08,0.02,0.11,0.19
"24","467610",0.72,1.96,6.77,2.64,2,2.79,1.56,2.44,2.07
"25","467620",2.22,12.21,10.63,23.07,5.73,8.12,4.23,7.73,10.68
"26","467650",1.15,1.52,3.06,2.52,1.71,1.08,0.69,0.56,0.03
"27","467660",0.41,1.63,2.9,1.65,0.61,1.1,0.99,0.49,1.77
"28","467770",0.77,0.94,1.94,2.74,0.9,1.85,0.11,0.22,0.27
"29","467990",1.33,0.61,2.58,3.52,1.13,5.1,0.88,0.24,0.46
"30","C0A520",2.85,6.06,7.05,6.03,4.24,2.47,0.56,2.35,2.03
"31","C0A530",2.98,11.79,7.9,10.48,4.48,3.55,2.08,5.89,5.4
"32","C0A540",3.34,16.47,11.08,14.29,5.23,5.6,5.03,8.05,6.08
"33","C0A550",13.73,40.76,23.27,26.35,13.21,13.31,11.68,26.81,26.52
"34","C0A560",3.05,9.97,7.76,9.47,5.19,3.74,3.26,7.47,4.63
"35","C0A570",4.74,17.77,10.45,13.05,6.79,5.66,5.05,9.74,6.94
"36","C0A640",4.23,11.44,8.95,11.48,4.68,3.61,2.63,6.08,6.45
"37","C0A650",5.82,18.32,12.29,16.03,7.55,6.58,6.63,11.45,12.24
"38","C0A660",11.06,28.73,21.19,27.15,13.4,12.16,7.37,21.32,32.34
"39","C0A860",17.94,64.79,33.27,36.55,21.92,23.97,16.56,37.66,53.35
"40","C0A870",8.32,27.82,16.06,17.24,9.31,8.23,6.71,17.29,22.6
"41","C0A880",6.79,21.21,17.66,20.18,6.5,7.48,6.69,15.69,18.19
"42","C0A890",8.56,24.35,17.79,21.37,7.34,8.24,7.05,20.94,19.74
"43","C0A920",10.02,20.65,19.74,22.29,8.19,12.5,4.39,16.14,24
"44","C0A940",5.76,11.56,13.45,16.71,4.71,7.85,3.39,9.08,11.87
"45","C0A950",2.06,7.9,9.24,9.26,2.61,2.27,1,5.06,4.38
"46","C0A970",5.1,6.73,13.76,11.92,3.84,5.35,3.16,9.53,8.55
"47","C0A980",1.77,3.45,4.85,5.31,1.77,1.94,0.13,1.06,1.6
"48","C0A9A0",1.34,3.06,4.37,4.79,1.81,1.69,0.32,1.15,0.98
"49","C0A9C0",1.35,2.79,4.18,3.9,1.5,1.56,0.16,0.9,1.32
"50","C0A9E0",1.37,3.18,4.56,4.76,2.23,1.73,0.18,1.06,1.37
"51","C0A9F0",1.84,3.98,5.1,5.74,2.27,1.97,0.56,1.92,1.87
"52","C0AC40",5.27,14.47,10.58,14.03,6.85,5.76,4.27,10.16,11.29
"53","C0AC60",3.32,7.69,7.77,8.55,4.65,2.71,1,3,2.35
"54","C0AC70",2.23,5.95,6.5,8.02,3.47,2.26,0.52,2.84,3.15
"55","C0AC80",2.42,6.82,6.85,8.85,3.05,2.5,0.69,3.06,2.89
"56","C0ACA0",1.95,4.06,5.4,6.58,3.03,2.16,0.39,1.56,1.6
"57","C0AD00",7.32,15.79,12.34,14.85,7.76,8.34,3.23,14.08,22.53
"58","C0AD10",2.53,3.89,5.84,7.08,2.52,2.52,0.21,1.45,2.15
"59","C0AD30",1.73,3.56,4.77,5.63,2.24,1.84,0.21,1.13,1.61
"60","C0AD40",2.82,6.94,8.11,8.85,4.74,2.69,0.56,0.98,2.69
"61","C0AD50",2.61,4.85,6.81,7.31,3.56,2.29,0.55,1.98,1.79
"62","C0C460",2.56,4.6,6.95,8.35,3.68,3.87,0.58,2.16,1.21
"63","C0C480",2.34,4.82,3.93,7.89,3.05,2.45,0.53,2.13,1.98
"64","C0C540",2.87,3.94,5.94,3.4,2.5,2.58,0.19,2.05,2.68
"65","C0C590",5.26,4.15,6.48,6.81,3.06,2.8,0.32,2.31,3.1
"66","C0C630",2.4,5.13,6.55,7,3.31,2.79,0.71,1.69,1.76
"67","C0C650",2.74,5.24,7.02,7.92,2.73,2.98,0.68,1.84,1.77
"68","C0D360",2.02,2.18,6.55,6.02,3.85,4.87,0.77,1.08,0.55
"69","C0D390",2.45,4,5.68,7.34,2.47,3.44,0.5,1.42,1.26
"70","C0D480",2.68,3.79,5.82,7.73,2.79,3.1,0.73,1.98,1.24
"71","C0D540",1.79,2.45,5.35,6.24,3.35,4.35,0.32,0.87,0.87
"72","C0D550",2.47,2.92,6.37,8.16,5.84,5.31,1.29,2.37,0.68
"73","C0D560",1.81,2.39,4.45,5.74,2.19,3.05,0.42,0.98,0.82
"74","C0D570",1.56,1.77,3.79,4.89,1.73,2.81,0.26,0.71,0.87
"75","C0D580",2.34,2.97,4.69,6.65,3.18,3.44,0.45,1.06,0.84
"76","C0D590",2.1,2.19,4.95,5.74,2.13,3.1,0.23,1.18,1.42
"77","C0E420",1.24,1.77,3.23,4.34,1.79,2.63,0.18,0.53,0.56
"78","C0E430",2.18,2.37,4.55,6.71,3.21,4.92,0.32,1.03,0.98
"79","C0E530",1.39,1.45,2.98,4.65,1.68,2.35,0.24,0.52,0.61
"80","C0E610",1.53,1.79,3.66,4.15,2.52,3.79,0.58,0.79,0.05
"81","C0E730",1.35,2.02,3.47,4.74,1.81,2.39,0.24,0.53,0.55
"82","C0F861",3.06,4.53,6.24,4.89,5.55,3.53,0.92,2.52,0.16
"83","C0G640",0.42,0.76,1.56,1.84,0.63,1.61,0.16,0.15,0.18
"84","C0G650",0.74,1.06,1.82,1.74,0.65,0.94,0.39,0.32,0.02
"85","C0H9A0",1.94,2.53,4.76,4.16,5.26,1.85,1.06,1.11,0.06
