"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",8.92,2.65,11.16,1.07,7.7,3.41,3.61,4.44,6.85
"2","466900",6.7,3.72,6.82,2.14,10.25,1.21,4.84,4.32,4.98
"3","466910",9.84,6.62,14.62,7.64,16.14,4.03,10.89,7.96,12.42
"4","466920",8.31,2.43,9.27,1.23,7.07,3.21,2.72,4.42,5.84
"5","466930",8.29,4.36,11.4,5.18,11.83,3.23,9.93,6.57,14.16
"6","466940",13.16,9.54,18.82,12.06,17.09,6.69,14.56,9.45,12.88
"7","466950",4.28,2.06,8.4,2.7,8.11,1.05,4.16,2.92,3.11
"8","466990",2.91,2.06,3.4,2.5,2.54,0.47,0.86,1.84,2.18
"9","467060",6.05,7.38,16.86,13.9,10.88,7.39,11.77,7.47,7.48
"10","467080",6.42,1.81,6.86,4.42,6.9,2.03,4.11,2.67,3.29
"11","467110",3.42,0.68,2.81,0.63,3.01,1.97,1.42,3.22,0.74
"12","467300",0.48,0.7,1.23,0.38,0.43,2.01,1.33,0.06,0.46
"13","467350",0.74,0.39,0.98,0.81,0.46,0.7,0.37,0.12,0.39
"14","467410",1.14,0.28,1.38,0.05,0.34,0.79,1.31,0.04,0.41
"15","467420",1.04,0.34,0.81,0.04,0.39,0.79,0.83,0.05,0.54
"16","467440",0.38,0.12,1.05,0,0.57,1.36,0.84,0,0.16
"17","467480",1.92,0.71,2.69,0.12,1.27,1.07,0.42,0.04,0.85
"18","467490",4.22,0.99,2.66,0.04,1.61,0.76,0.83,0.74,0.91
"19","467530",7.11,2.22,5.47,0.12,4.14,1.97,3.15,1.19,4.69
"20","467540",0.4,0.94,4.79,2.47,1.48,0.5,0.24,0.74,0.46
"21","467550",1.52,1.45,5.03,0.11,3.27,0.46,1.85,1.6,0.69
"22","467571",8.05,2.25,7.89,0.23,5.39,1.69,2.53,3.27,2.98
"23","467590",0.01,0.66,2.65,0.48,0.45,1.04,0.07,0.22,1.27
"24","467610",2.55,0.9,2.85,3.61,3.29,0.62,1.88,3.73,1.19
"25","467620",4.14,4.44,10.48,10.1,10.1,3.06,7.24,4.62,5.64
"26","467650",4.11,0.79,3.02,0.04,2.43,0.36,1.45,0.5,2.57
"27","467660",0.45,0.59,2.85,3.38,2.35,0.98,0.75,0.87,0.5
"28","467770",3.35,1.19,3.3,0.15,1.56,1.11,0.52,0.83,0.61
"29","467990",5.53,1.98,5.3,1.78,3.9,0.36,2.2,1.92,0.57
"30","C0A520",6.86,2.48,10.5,0.96,7.93,3.18,4.03,4.55,7.07
"31","C0A530",9.62,3.5,9.26,2.55,9.52,3.18,5,4.41,6.82
"32","C0A540",9.11,3.64,10.05,4.84,10.93,3.39,5.64,4.11,6.21
"33","C0A550",13.57,8.79,20.31,14.93,19.3,7.14,13.81,8.36,13.79
"34","C0A560",9.64,2.57,9.28,1.52,6.46,1.89,4.07,3.59,6.18
"35","C0A570",10.52,4.96,11.67,2.98,11.32,4,7.17,4.93,9.25
"36","C0A640",11.25,4.21,11.45,2.77,12.07,3.23,6.19,5.7,8.43
"37","C0A650",11.46,5.54,14.66,5.36,14.11,4.75,8.28,6.71,7.52
