"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",3.92,3.16,6.07,3.47,1.12,0.8,9.61,0.81,9.39
"2","466900",3.75,3.5,5.97,4.58,1.53,0.66,8.73,0.98,5.05
"3","466910",10.35,17.37,14.68,12.05,4.6,4.39,15.39,5.79,18.2
"4","466920",3.4,2.32,5.08,3,0.7,0.65,8.26,0.7,8.25
"5","466930",7.24,13.31,12,9.11,3.47,3.74,10.83,4.47,14.77
"6","466940",10.41,13.93,17.21,16.84,2.09,4.26,14.23,8.22,17.47
"7","466950",2.33,3.35,5.37,7.85,0.4,1.18,5.73,1.12,6.8
"8","466990",2.3,0.58,1.71,1.87,0.15,0.79,5.15,0.61,3.1
"9","467060",12.16,15.8,11.33,21.61,3.61,10.79,9.16,8.65,21.98
"10","467080",4.55,4.4,5.65,6.3,1.28,2.07,3.94,3.12,12.54
"11","467110",0.83,0.1,1.95,0,0,1.05,6.34,0.15,4.82
"12","467300",0.16,0.45,0.45,0.53,0,0.67,3.74,0,2.28
"13","467350",0.25,0.28,0.34,0.23,0,0.8,3.95,0.03,1.88
"14","467410",0.37,0.22,0.18,0.24,0,0.44,5.51,0,1.29
"15","467420",0.42,0.18,0.19,0.29,0,0.27,5.87,0,1.03
"16","467440",0.05,0.25,0,0,0,0.19,5.79,0,0.76
"17","467480",0.63,0.83,0.74,0.49,0,0.19,4.5,0.04,2.47
"18","467490",1.1,1.14,1.84,0.36,0.06,0.4,6.61,0.13,3.34
"19","467530",1.7,4.32,3.69,1.04,0.02,0.77,13.64,0.32,9.72
"20","467540",0.91,0.77,0.37,2,0.7,0.59,5.52,0.58,1.63
"21","467550",0.72,0.81,2.04,0.63,0.03,0.49,12.51,0.72,9.74
"22","467571",2.75,2.41,4.54,1.71,0.55,0.73,10.04,0.75,8.6
"23","467590",0.62,0.4,0,1.2,0.03,1.11,3.18,0.4,1.11
"24","467610",3.37,1.49,1.95,2.03,2.08,1.8,5.72,1.51,3.32
"25","467620",4.24,12.8,5.96,13.89,1.87,2.77,16.36,5.21,10.69
"26","467650",1.47,1.87,2.5,0.65,0,0.48,10.53,0.13,4.84
"27","467660",0.81,0.48,0.72,2.59,0.29,1.36,4.89,0.22,1.74
"28","467770",0.8,0.78,2.02,0.39,0,0.5,6.95,0.05,3.18
"29","467990",1.33,0.55,5.79,0.1,0.04,1.46,5.98,0.66,3.34
"30","C0A520",3.89,3.45,6.02,3.56,1.16,0.76,9.52,0.89,9.29
"31","C0A530",2.19,6.1,6.42,5.23,1.9,1.87,8.16,1.94,7.63
"32","C0A540",4.55,6.53,6.65,5.73,1.94,2.95,8.42,2.74,9.87
"33","C0A550",11.84,22.39,18.9,20.44,6.71,7.9,14.68,9.47,20.03
"34","C0A560",4.97,4.44,6.26,3.21,1.11,2,8.55,1.81,8.79
"35","C0A570",5.71,9.65,8.74,6.39,3.61,2.32,11.21,3.47,9.69
"36","C0A640",4.98,7.5,7.53,5.81,1.97,2,10.79,2.21,9.32
"37","C0A650",7.24,12.73,10.87,9.94,3.24,4.18,11.87,4.56,11.31
"38","C0A660",14.47,24.35,25.08,25.48,4.29,8.08,18.94,14.63,21.15
"39","C0A860",22.9,51.89,40.71,31.81,7.65,13.92,25.61,17.37,30.81
"40","C0A870",1.5,20.16,15.85,13.84,4.23,5.02,13.4,6.87,15.84
"41","C0A880",8.31,14.34,17.45,21.68,4.66,3.68,13.58,6.68,17.81
"42","C0A890",8.68,18.52,14.2,17.94,4.08,4.48,13.93,7.5,16.71
"43","C0A920",6.16,21.58,24.19,23,2.53,5.26,17.89,8.27,22.34
"44","C0A940",8.21,10.79,13.29,12.68,1.55,2.68,14.03,6.06,18.29
"45","C0A950",1.69,4.32,7.35,10.34,1.06,1.94,5.81,2.71,6.47
