"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",4.52,6.02,4.69,8.23,7.55,8.45,9.05,6.86,6.76
"2","466900",0.98,3.89,2.46,4.31,4,3.29,4.13,2.68,5.4
"3","466910",0.79,4.53,3.34,9.84,8.82,11.82,6.81,5.16,10.06
"4","466920",2.87,8.52,5.25,7.76,7.16,10.22,5.63,6.66,6.14
"5","466930",0.64,3.21,4.44,5.45,7.35,14.94,5.38,5.35,11.3
"6","466940",0.16,3.88,2,2.45,4.92,6.01,4.04,2.19,4.38
"7","466950",1.24,1.52,1.71,3.31,1.02,0.82,1.16,1.21,6.58
"8","466990",2.38,1.47,8.89,1.37,10.74,0.35,10.87,4.95,1.18
"9","467060",1.01,1.92,10.56,4.47,5.8,1.45,4.55,7.07,3.19
"10","467080",2.11,1.06,5.31,6.46,6.72,3.55,4.35,4.32,2.95
"11","467110",0.14,3.95,1.02,11.47,3.45,4.45,4.42,2.99,0.11
"12","467300",6.32,8.16,2.08,1.55,2.3,4.32,11.92,8.26,4.95
"13","467350",3.08,3.73,2.24,1.78,8.66,2.94,6.95,7.76,0.75
"14","467410",16.17,12.95,8.21,4.8,3.98,7.26,12.06,16.35,13.1
"15","467420",16.4,11.13,8.94,3.69,4.63,11.08,14.37,17.71,10.45
"16","467440",14.1,17.52,1.69,5.98,9.98,6.45,10.16,9.19,13.23
"17","467480",14.82,5.65,12.1,10.86,6.57,7.92,6.73,21.39,12.19
"18","467490",14.95,9.7,6.95,15.09,4.81,2.3,5.38,10.12,11.19
"19","467530",27.7,30.84,6.29,38.13,20.89,14.54,9.3,30.33,20.19
"20","467540",7.52,12.63,13.54,10.58,6.66,17.25,11.79,16.37,8.79
"21","467550",13.86,11.72,7.14,20.37,13.87,8.54,8.87,13.85,11.05
"22","467571",2.49,5.48,2.41,8.85,2.15,1.78,1.44,2.89,2.17
"23","467590",12.31,14.3,11.16,7.71,3.97,15.91,12.38,20.81,8.05
"24","467610",6.85,4.24,12.12,3.15,13.85,6.99,16.29,6.62,4.39
"25","467620",6.7,8,11.95,10.11,16.08,6.41,7.64,9.95,4.37
"26","467650",13.14,13.31,4.39,20.83,12.1,5.52,6.63,13.69,10.19
"27","467660",5.94,6.4,10.27,5.56,7.16,10.05,9.62,6.09,3.58
"28","467770",6.05,3.58,2.83,18.31,5.26,2.06,0.93,6.26,6.63
"29","467990",0.19,1.09,1.33,1.42,2.45,2.61,1.56,6.33,3.89
"30","C0A520",1.29,8.08,3.74,10.71,7.5,8.27,12.02,4.79,6.06
"31","C0A530",3.92,6.52,8.05,11.6,11.29,12.87,13.4,10.24,11.15
"32","C0A540",2.32,1.16,13.03,12.31,11.9,14.45,13.9,6.89,13.89
"33","C0A550",3.4,3.85,7.37,6.29,10.13,11.11,10.44,4.44,10.74
"34","C0A560",6.56,5.34,10.69,14.95,16.19,16.26,12.66,10.1,9.26
"35","C0A570",4.95,4.97,10.24,12.81,14.55,14.47,12.79,8.16,11.05
"36","C0A640",2.66,4.18,7.73,7.02,9.98,8.87,12.19,6.79,6.66
"37","C0A650",2.44,6.1,5.82,7.94,11.31,17.29,10.98,7.94,8.92
"38","C0A660",0.32,3.26,3.23,2.13,5.23,6.97,4.69,2.77,5.03
"39","C0A860",1.06,1.5,3.05,2.53,6.65,6.81,5.58,3.74,6.13
"40","C0A870",2.48,1.24,3.63,3,4.68,7.87,4.74,4.35,7.37
"41","C0A880",2.92,1.56,4.03,2.68,5,6.1,3.11,2.18,4.34
"42","C0A890",2.13,3.08,4.13,3.27,7.15,7.74,4.63,2.6,6.95
"43","C0A920",0.26,2.97,0.89,3.21,2.08,3.9,2.65,2.44,5.68
"44","C0A940",0.34,1.13,1.26,1.4,2.79,5.11,2.87,1.68,5.34
"45","C0A950",0.61,2.9,3.77,0.05,2.85,3.74,2.44,2.32,1.27
"46","C0A970",0.89,2.06,3.95,1.54,1.76,3.28,1.42,1.18,6.71
"47","C0A980",1.29,3.53,3.71,7.26,4.9,6.23,8.19,3.58,5.71
"48","C0A9A0",1.73,2.63,1.58,5.97,5.92,9.89,4.26,4.31,6.42
"49","C0A9C0",0.65,2.6,3.42,6.76,5.42,11.79,4.4,4.6,7
"50","C0A9E0",1.11,2.29,2.76,6.66,4.85,6.73,4.76,3.03,6.87
"51","C0A9F0",2.85,2.94,2.39,7.61,8.1,7.95,7.48,5.53,5.58
"52","C0AC40",0.48,4.08,3.56,9.89,4.78,12.47,3.52,5,8.53
"53","C0AC60",2.89,7.26,5.79,11.13,11.32,6.61,9.03,8.87,5.45
"54","C0AC70",7.16,5.71,5.42,7.06,8.87,7.45,8.71,7.68,4.08
"55","C0AC80",3.27,5.76,9.23,7.76,9.56,6.5,7.02,9.79,4.16
"56","C0ACA0",2.76,4.55,3.55,7.74,5.71,5.69,7.19,2.76,6.16
"57","C0AD00",0.31,2.42,1.32,2.56,3.21,1.94,3.19,1.97,4.03
"58","C0AD10",0.53,3.44,2.21,2.94,3.34,1.6,3.71,1.87,3.26
"59","C0AD30",1.97,3.79,2.97,7.74,5.29,5.32,5.13,2.5,5.52
"60","C0AD40",7.21,7.18,5.03,8.9,6.76,9.18,9.1,6.71,4.24
"61","C0AD50",4.84,7.27,4.45,9.71,9.24,4.23,8.27,9.06,6.21
"62","C0C460",7,8.48,6.44,15.03,14.24,14.53,7.97,12.6,10.56
"63","C0C480",0.85,5.69,3.03,4.23,5.5,4.24,3.42,6.92,7.19
"64","C0C540",0.98,4.29,1.58,2.16,0.43,1.56,0.95,2.39,2.68
"65","C0C590",1.65,3.55,1.63,2.74,2.16,0.76,0.89,2.03,1.66
"66","C0C630",3.55,8.76,6.19,5.74,7.16,4.29,3.56,9.08,5.34
"67","C0C650",2.06,10.69,5.08,6.71,6.21,2,2.42,8.02,2.74
"68","C0D360",5.13,9.74,6.16,32.82,8.89,14.69,7.92,11.6,4.17
"69","C0D390",3.82,6.55,9.31,15.52,7.69,5.73,2.03,11.32,6.34
"70","C0D480",2.9,6.45,1.03,11.03,4.1,4.23,0.81,6.35,5.55
"71","C0D540",6.9,10.89,8.76,18.66,7.56,7.98,6.6,14.92,2.73
"72","C0D550",10.61,8.42,2.56,34.9,8.23,10.23,1.85,11.68,12.65
"73","C0D560",1.89,9.02,5.95,9.35,6.21,2.47,1.65,5.18,3.02
"74","C0D570",2.42,3.34,3.16,11.16,0.98,2.16,0.23,4.13,1.47
"75","C0D580",3.4,7.45,6.24,13.06,3.39,2.74,3.37,6.06,3.69
"76","C0D590",2.27,3.95,2.29,6.84,1.27,0.77,0.29,2.05,1.76
"77","C0E420",3.08,3.32,4.27,12.58,0.92,2.29,1.45,3.52,1.39
"78","C0E430",7.15,12.19,5.98,27.27,4.94,10.45,3.24,22.23,13.05
"79","C0E610",9.85,9.19,4.39,8.62,5.29,10.53,4.06,16.52,12.94
"80","C0E730",3.55,5.47,5.55,12.31,1.08,1.98,2.69,4.23,1.58
"81","C0G640",6.1,2.78,5.44,10.81,7.37,2.56,2.9,5.87,12.05
"82","C0H990",8.92,5.63,6.69,8.39,7.69,5.5,10.31,7.63,8.82
"83","C0H9A0",15.89,20.85,5.37,28.37,12.92,11.71,6.39,25.02,14.92
"84","C0H9C0",15.94,5.38,7.79,18.44,7.85,7.71,9.23,12.83,12.65
