"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",13.24,11.81,21.88,4.42,14.19,7.67,19.21,22.43,1.54
"2","466900",15.17,5.84,14.3,2.05,5.9,1.27,11.22,30.52,1.4
"3","466910",19.48,15.63,18.93,2.7,11.78,1.46,13.26,33.64,5.07
"4","466920",13.99,9.49,20.85,6.77,12.81,8.28,14.33,21.66,3.99
"5","466930",15.17,15.38,17.12,3.65,10.56,1.41,11.18,27.68,5.03
"6","466940",10.72,4.96,13.03,4.28,11.48,1.57,8.5,27.5,8.15
"7","466950",6.93,9.82,6.11,7.26,4.26,0.63,11.61,17.83,2.31
"8","466990",2.05,2.79,11.75,5.85,2.22,3.83,5.63,7.03,4.08
"9","467060",6.95,2.48,11.88,4.69,5.13,1.69,13.28,11,10.93
"10","467080",5.15,4.97,9.58,2.7,7.02,2.33,6.97,10.4,8.18
"11","467110",6.25,3.82,3.95,5.05,4.95,0.81,1.83,5.7,3.65
"12","467300",1.35,3.07,9.62,4.7,4.05,1.12,3.19,9.17,11.43
"13","467350",4.57,2.04,7.53,2.88,5.03,1.98,3.16,10.49,3.88
"14","467410",9.45,10.13,26.78,7.78,4.48,0.63,12.55,8.38,18.52
"15","467420",8.67,7.75,31.91,6.88,5.67,0.23,16.38,9.3,16.78
"16","467440",8.57,13.07,27.75,2.9,7.83,0.33,12.77,8.53,27.83
"17","467480",8.99,4.95,16.62,2.72,12.89,1.49,8.75,19.27,14.27
"18","467490",17.66,5.04,11.05,2.42,6.03,2.18,7.7,29.8,7.8
"19","467530",15.25,11.12,62.11,6.24,15.93,1.61,21.55,66.22,27.08
"20","467540",2.77,18.96,39.99,16.03,9.12,0.48,7.19,9.72,16.35
"21","467550",12.37,9.87,33.59,4.57,11.22,1.2,16.75,32,14.3
"22","467571",11.64,5.81,14.24,3.83,4.31,2.99,7.68,19.38,2.37
"23","467590",6.56,11.31,26.76,6.12,10.77,1.18,12.28,3.5,16.27
"24","467610",2.46,10.26,14.47,9.19,5.59,1.21,2.26,3.94,7.2
"25","467620",4.57,8.37,15.37,2.29,19.45,1.06,4.88,0.46,13.87
"26","467650",15.8,7.23,30.07,4.57,15.95,3.82,14.77,33.77,14.23
"27","467660",1.76,15.66,18.34,13.92,8.48,0.12,3.05,5.63,6.87
"28","467770",10.41,1.41,9.1,2.36,4.17,1.7,7,14.78,2.32
"29","467990",6.96,1.94,8.7,5.62,5.33,2.17,3.64,12.94,2.83
"30","C0A520",10.17,11.68,22.58,5.47,11.93,7.4,17.42,19.05,2.17
"31","C0A530",10.73,11.53,18.77,6.47,18.95,5.95,10.58,20.43,7.33
"32","C0A540",11.17,11.58,18.5,6.37,17.83,5.15,14.55,24.83,9.97
"33","C0A550",11.7,7.52,17.67,3.13,22.68,1.03,8.95,17.53,14.98
"34","C0A560",11.43,17.3,18.88,7.17,15.8,9.03,13.45,23.42,11.65
"35","C0A570",11.37,18.27,22.92,8.28,19.82,7.05,15.62,19.35,12.68
"36","C0A640",15.47,13.88,24.7,8.15,23.55,5.17,15.62,25.15,9
"37","C0A650",10.1,9.83,20.85,7.38,23.78,2.93,10.48,22.6,8.82
"38","C0A660",11.73,7.67,13.35,6.37,14.48,2.15,6.15,26.45,13.58
"39","C0A860",27.3,6.22,19.98,6.12,21.32,3,8.77,33.63,8.95
"40","C0A870",16.63,7.22,19.97,8.07,16.65,2.72,9.13,27.57,6.38
"41","C0A880",7.43,4.87,11.35,3.22,10.63,0.82,6.83,14.82,9.1
"42","C0A890",11.57,6.48,13.38,3.6,15.55,1.63,6.17,17.32,11.32
"43","C0A920",15.57,6.35,14.38,2.42,9.07,2.77,10.1,41.83,2.83
"44","C0A940",14.2,6.55,10.75,3.7,9.03,2.32,10.55,41.18,3.68
"45","C0A950",5.38,2.12,7.32,4.48,6.62,0.83,5.03,16.5,3.6
"46","C0A970",7.12,3.63,8.8,2.42,8.22,0.63,6.03,11.25,7.75
"47","C0A980",11.35,8.15,15.3,2.92,6.08,2.02,9.18,23.65,0.8
"48","C0A9A0",12.88,9.57,17.43,6.23,12.5,4.53,10.97,22.05,2.02
"49","C0A9C0",12.03,10.42,16.73,3.52,9.85,3.22,9.98,23.28,1.77
