"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",2.04,4.41,3.27,2.1,5.34,6.04,10.23,6.61,1.11
"2","466900",2.01,3.81,2.71,2.35,3.58,4.16,8.18,4.71,0.9
"3","466910",3.31,6.89,5,3.84,7.11,9.86,11.79,6.76,3.35
"4","466920",2.15,3.84,2.75,1.58,4.74,5.87,9.22,5.89,1.2
"5","466930",1.75,6.25,3.1,2.74,5.35,7.97,10.65,5.65,2
"6","466940",3.61,7.84,7.99,3.63,7.74,13.23,10.23,9.32,2.24
"7","466950",3.05,3.2,2.64,2.36,3.69,3.83,6.37,5.6,2.22
"8","466990",1.16,3.09,3.08,1.81,2,2.84,4.08,2.45,2.18
"9","467060",1.33,9.06,8.62,3.1,3.77,17.45,6.21,4.22,3.85
"10","467080",0.81,5.9,3.44,1.14,3.2,7.61,5.72,3.14,1.3
"11","467110",1.34,0.52,0.71,2.38,1.68,0.91,8.01,1.28,1.14
"12","467300",0.01,0.68,0.56,0.85,2.64,1.67,3.39,0.08,0.94
"13","467350",0.11,0.63,0.24,0.76,2.14,1.3,4.32,0.54,1.46
"14","467410",0.01,0.15,0.21,0.18,0.89,0.16,3.11,0.41,0.61
"15","467420",0.02,0.18,0.15,0.16,0.9,0.19,2.89,0.19,0.69
"16","467440",0.03,0.26,0.27,0.74,2.16,0,2.55,0.11,1.84
"17","467480",0.22,1.6,0.47,1.37,1.8,0.24,4.18,0.59,1.02
"18","467490",0.73,1.07,1.32,2.02,1.85,0.8,6.28,1.23,1.15
"19","467530",1.09,3.03,1.14,2.43,4.82,1.32,13.22,3.46,3.27
"20","467540",0.56,0.76,1.48,0.12,2.25,0.44,2.16,0.63,2.26
"21","467550",0.63,2.44,0.94,2.49,2.81,0.42,3.48,1.14,0.52
"22","467571",2.71,2.9,3.12,3.05,4.16,4.28,9.82,4.99,1.73
"23","467590",0.13,0.16,0.1,0.11,1.97,0,0.61,0.08,0.47
"24","467610",1.88,1.14,4.21,0.42,2.62,3,2.82,2.45,4.14
"25","467620",3.81,3.38,1.94,1.07,3.06,5.69,9.56,4.84,2.59
"26","467650",1.07,1.49,1.11,0.95,2.58,0.65,8.87,1.85,1.45
"27","467660",1.67,0.36,1.22,0.18,1.13,1.8,2,1.36,1.24
"28","467770",1.08,1.07,0.72,1.6,1.15,0.62,7.53,1.46,1.32
