"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",5.52,8.18,7.18,11.33,18.72,7.72,5.01,4.93,1.13
"2","466900",6.03,9.98,12.41,14.71,22.51,8.39,3.08,4.63,1.95
"3","466910",7.58,15.84,16.03,18.24,27.6,12,6.13,5.85,1.19
"4","466920",5.93,7.16,7.46,10.92,20.47,9.77,6.02,4.37,1.35
"5","466930",5.38,10.69,12.34,14.82,24.88,9.72,4.96,5.26,0.94
"6","466940",5.81,13.11,11.34,13.69,15.55,8.46,5.68,7.39,1.68
"7","466950",4.64,7.68,10.15,11.72,9.39,3.71,2.47,6.4,0.21
"8","466990",3.06,5.82,12.85,13.73,7.6,5.58,5.61,4.66,0.83
"9","467060",2.16,12.62,23.81,8.29,12.06,9.3,6.1,8.76,1.06
"10","467080",3.06,10.47,21.18,7.44,11.33,6.63,2.89,7.34,1.07
"11","467110",5.91,2.92,4.07,9.59,9.7,5.45,7.21,3.25,7.35
"12","467300",2.71,2.54,4.64,4.56,4.95,8.62,2.21,2.23,0.51
"13","467350",2.3,1.72,6.22,7.86,6.32,10.63,3.07,2.62,1.27
"14","467410",3.68,1.78,13.05,9.23,5.85,9.68,2.82,2.56,2.71
"15","467420",4.21,2.02,13.19,7.87,5.32,10.71,2.23,2.63,3.84
"16","467440",6.06,3.42,9.15,11.32,6.4,9.69,3.15,4.16,1.89
"17","467480",3.35,4.84,6.21,12.15,7.86,13.08,1.08,2.51,1.5
"18","467490",4.69,3.06,8.64,11.5,21.28,21.35,3.24,3.6,2.35
"19","467530",16.86,15.11,21.91,35.56,24.51,32.35,6.52,10.84,3.75
"20","467540",11.56,5.31,5.94,8.25,1.32,8.38,1.56,2.84,1.23
"21","467550",11.49,13.09,14.13,27.05,21.88,22.76,3.21,10.95,4.9
"22","467571",7.23,7.11,8.11,12.61,10.95,11.71,6.65,3.21,1.9
"23","467590",8.18,4.11,14.48,9.27,1.31,12.64,2.42,1.57,0.13
"24","467610",6.41,7.89,8.43,13.1,3.88,5.91,4.1,3.33,2.22
"25","467620",9.72,11.62,16.16,3.96,14.9,4.23,9.19,10.25,1.3
"26","467650",7.68,11.33,17.73,23.81,23.17,18.47,5.16,11.21,3.06
"27","467660",3.91,7.64,4.52,10.38,3.28,5.75,1.39,5.95,0.74
"28","467770",5.55,2.42,4.27,8.83,15.94,12.62,4.89,2.12,2.16
"29","467990",4.57,7.44,5.33,5.88,6.62,3.74,2.25,3.34,2.27
"30","C0A520",5.5,6.63,7.24,11.89,14.66,5.76,4.52,4.55,1.27
"31","C0A530",5.69,14.02,13.05,11.26,20.18,8.92,9.6,4.58,2.98
"32","C0A540",5.16,15.13,20.45,11.06,17.16,9.45,6.97,8.13,2.34
"33","C0A550",6.4,15.74,19.42,11.03,22.44,10.34,10.4,7.45,2.79
