"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",2.82,8.73,8.82,2.21,4.1,0.83,3.88,4.15,2.99
"2","466900",2.98,7.92,8.15,1.38,2.37,0.43,4.52,5.58,2.93
"3","466910",13.25,26.23,11.27,14.02,14.7,6.91,17.39,24.02,12.06
"4","466920",4.24,7.71,7.76,1.53,1.53,0.75,3.72,4.03,2.15
"5","466930",9.36,19.52,9.07,8.92,12.07,6.39,17.23,19.58,7.67
"6","466940",10.14,29.87,10.28,12.27,6.1,4.99,10.43,23.61,8.71
"7","466950",8.52,10.86,6.26,5.68,2.59,1.91,3.42,6.6,2.04
"8","466990",3.48,17.25,3.38,6.15,2.22,10,6.17,3.3,8.32
"9","467060",27.68,25.4,6.03,28.61,13.16,23.84,30.94,33.31,22.1
"10","467080",11.77,20.76,4.58,9.99,6.73,7.35,8.14,14.33,14.56
"11","467110",0.47,5.6,4.18,1.6,0.22,0,4.1,0.95,2.45
"12","467300",0.86,6.55,3.89,1.19,0.39,0,1.84,0.21,0.81
"13","467350",0.28,5.39,3.1,0.72,0.01,0,1.91,0.89,1.06
"14","467410",1.8,6.78,3.19,0.2,0.01,0.15,1.63,0.05,0.03
"15","467420",2.07,5.93,2.98,0.18,0.02,0.03,0.1,0.05,0.08
"16","467440",0.43,5.75,1.55,0.57,0.05,1.37,1.9,0.37,0.07
"17","467480",1.36,6.02,2.83,0.34,0.1,0.01,1.49,0.35,0.27
"18","467490",0.69,5.02,4.83,0.75,0.03,0.07,2.47,0.65,0.33
"19","467530",2.93,13.08,8.6,2.83,1.29,0.37,3.92,2.43,1.19
"20","467540",1.39,13.2,1.97,5.45,1.69,4.74,3.45,1.46,1.08
"21","467550",5.51,12.32,8.25,4.54,1.05,1.07,6.01,4.45,2.18
"22","467571",0.89,7.37,10.28,1.23,0.52,0.37,3.96,1.17,1.03
"23","467590",0.18,4.47,1.22,1.97,0.2,0.92,2,0.77,0.2
"24","467610",2.66,22.66,3.99,5.91,2.09,9.47,8.56,2.34,4.2
"25","467620",5.13,19.51,12.37,7.15,10.08,16.07,12.84,6.89,7.87
"26","467650",1.3,5.9,4.94,0.65,0.13,0.12,2.27,1.6,0.82
"27","467660",1.59,18.63,3.62,6.96,0.99,6.37,6.76,0.57,1.02
"28","467770",0.53,5.27,4.49,0.6,0.09,0.03,2.5,0.2,0.55
"29","467990",0.64,6.17,7.4,2.4,0.92,1.24,2.37,0.92,4.13
"30","C0A520",2.12,8.37,8.83,2.07,4.62,0.78,4.12,3.93,2.32
"31","C0A530",5.35,16.9,8.17,3.97,7.7,4.7,6.92,8.7,4
"32","C0A540",7.32,24.25,8.4,7.75,9.12,8.8,9.78,11.85,9.3
"33","C0A550",20.83,43.87,10.73,19.35,20.78,20.23,25.12,31.88,15.1
"34","C0A560",5.45,11.45,6.62,4.4,6.35,3.12,7,10.32,4.42
"35","C0A570",7.02,15.97,7.57,6.12,11.02,4.97,9.43,14.15,5.42
"36","C0A640",5.88,15.28,8.88,3.48,6.88,4.5,8.3,8.48,4.4
"37","C0A650",11.37,27.53,9.17,8.57,13.65,9.3,14,15.67,11.02
"38","C0A660",19.33,41.13,10.93,19.3,10.57,11.1,15.47,30.78,17.32
"39","C0A860",23.32,44.03,17.02,33.87,16.48,17.67,31.55,55.8,24.55
"40","C0A870",11.92,23.22,11.23,10.68,14.27,8.32,18.15,23.88,10.55
"41","C0A880",15.67,29.78,9.9,15.83,9.87,19.62,12.48,22.33,14.82
"42","C0A890",18.38,31.63,9.27,17.48,12.77,16.48,18.4,25.95,16.05
"43","C0A920",10.92,30.4,13.1,16.07,6.22,3.72,9.83,25.98,11.07
"44","C0A940",10.12,19.72,10.68,7.62,3.9,3.48,6.8,15.47,5.98
"45","C0A950",10.98,18.72,4.98,5.6,6.28,8.22,4.73,9.82,3.29
"46","C0A980",1.6,6.48,8.08,1.08,1.4,0.23,3.37,2.78,1.4
"47","C0A9A0",1.72,6.55,6.58,1.22,0.97,0.37,2.92,3.32,1.25
"48","C0A9C0",1.5,5.68,6.58,1.17,1.2,0.53,3.13,3.43,1.17
"49","C0A9E0",1.4,6.15,7.05,1.28,0.87,0.27,3.02,3.18,1.28
"50","C0A9F0",2.02,7.57,6.75,1.77,1.75,0.82,3.47,3.87,2.08
"51","C0AC40",9.4,16.22,9.65,7.95,8.7,4.57,11.78,13.75,7.1
"52","C0AC60",2.3,8.53,9.53,2.45,4.5,0.9,4.22,4.58,2.8
"53","C0AC70",2.68,7.57,7.98,2.17,2.4,0.83,3.9,3.77,2.4
"54","C0AC80",2.65,9.23,7.68,1.9,4,0.97,4.95,4.8,2.08
"55","C0ACA0",1.82,7.2,8.32,1.6,1.87,0.33,3.58,3.28,1.75
"56","C0AD00",6.8,22.8,9.73,11.33,2.92,2.6,8.52,19.05,7.43
"57","C0AD10",1.67,8.67,7.4,1.53,1.8,0.27,4.27,3.6,1.4
"58","C0AD30",1.78,6.75,7.78,1.38,1.3,0.3,3.4,3,1.55
"59","C0AD40",3.27,8.93,8.73,1.88,3.55,1.37,4.57,4.63,2.95
"60","C0AD50",1.55,8.08,9.13,1.8,3.82,0.5,3.5,3,1.77
"61","C0C460",1.77,7.72,9.5,2.12,2.97,0.85,3.85,4.37,2.03
"62","C0C480",1.73,8.47,2.05,1.72,2.05,0.7,4.07,3.08,1.47
"63","C0C540",2.38,6.83,7.95,1.32,0.4,0.23,4.23,3.52,1.5
"64","C0C630",1.55,7.33,10.28,1.72,3.17,0.72,3.67,3.03,1.73
"65","C0C650",1.75,8.8,12.2,2.05,2.25,1.15,4.13,2.7,1.57
"66","C0D360",1.03,7.87,9.88,1.63,0.73,0.37,3.77,2.07,1.7
"67","C0D390",1.6,8.07,10.05,1.62,0.42,0.38,4.25,1.98,1.58
"68","C0D480",1.28,7.62,10.47,1.75,2.38,0.7,4.33,2.75,1.58
"69","C0D540",0.88,8.25,9.8,1.62,0.75,0.2,3.92,2.13,1.43
"70","C0D550",1.57,10.67,10.6,1.98,0.85,0.68,4.27,2.92,2.1
"71","C0D560",1.27,8.42,10.15,1.37,0.34,0.27,1.29,1.38,1.4
"72","C0D570",0.65,6.88,9.35,0.92,0.13,0.25,4.15,1,0.93
"73","C0D580",1.23,9.38,10.27,1.63,0.67,0.22,4.45,1.53,1.4
"74","C0D590",0.88,8.17,10.6,1.35,0.55,0.47,3.97,2.12,1
"75","C0E420",0.68,7.2,9.33,0.9,0.03,0.15,4,0.62,0.68
"76","C0E430",0.82,8.27,10.97,1.62,0.37,0.25,3.87,1.47,1.27
"77","C0E530",0.68,7.13,7.93,0.75,0.17,0.03,3.12,0.32,0.68
"78","C0E610",0.82,7.85,9.67,1.4,0.12,0.18,3.48,0.73,0.72
"79","C0E730",0.63,7.85,9.62,1.1,0.12,0.13,3.92,0.65,0.68
"80","C0F861",2.4,14.25,9.12,1.78,1.75,0.62,3.92,6.25,1.53
"81","C0G640",0.54,4.18,3.63,0.53,0.05,0.02,1.67,0.23,0.38
"82","C0G650",0.78,5.13,3.32,0.47,0.07,0.02,2.18,0.93,0.58
"83","C0H9A0",2.83,8.02,7.28,2.53,0.87,0.55,4.03,2.28,1.2
"84","C0H9C0",2.28,12.18,16.15,2.73,2.67,0.98,4.95,3.71,2.07
"85","C0I090",1.53,4.92,5.63,0.85,0.32,0.15,2.6,1.45,0.82
"86","C0I110",1.08,6.47,5,0.4,0.13,0.05,2.28,0.25,0.58
"87","C0K240",1.8,4.65,5.2,0.5,0.25,0.22,2.65,1,0.57
"88","C0K330",1.03,7.07,3,0.78,0.08,0.07,1.9,0.63,0.72
"89","C0M410",1.3,6.63,3.63,0.48,0.08,0.22,1.83,0.1,0.12
"90","C0O810",1.77,5.22,2.6,0.4,0.03,0.05,1.75,0.12,0.08
"91","C0O900",2.13,5.43,2.58,0.22,0.02,0,1.92,0.07,0.1
"92","C0O930",1.7,4.83,2.88,0.37,0.02,0.03,1.75,0.1,0.13
"93","C0R280",1.22,13.22,3.45,8.17,2.38,5.92,5.28,2.62,3.48
"94","C0R350",0.3,4.03,0.45,0,0.5,0.37,0.03,1.23,0.25
"95","C0R420",1.98,16.33,4.32,2.76,2.22,8.23,6.23,3.05,3.35
"96","C0S690",1.8,18.05,6.47,5.98,2.22,5.92,5.88,1.73,2.07
"97","C0S700",1.85,19.37,5.67,6.25,2.17,5.38,6.98,1.87,2.27
"98","C0S710",1.57,18.22,5.52,0.9,0.93,4.7,5.35,0.95,1.77
"99","C0S730",4.85,17.62,9.27,9.38,7.15,19.43,6.92,2.8,8.53
"100","C0S740",1.57,16.83,3.23,3.63,2.12,3.78,4.02,0.7,2
"101","C0S750",5.87,14.12,7.05,6.8,3.65,4.88,5.82,5.87,3.1
"102","C0S760",1.63,14.5,4.58,5.4,1.75,5.25,9.86,1.13,3.42
"103","C0S770",2.3,16.53,3.92,2.17,2.42,6.77,5.95,1.43,2.33
"104","C0S790",1.85,16.37,3.82,6.57,1.68,4.82,5.97,1.2,1.88
"105","C0S810",1.78,20.32,3.6,6.25,2.02,8.97,5.9,0.85,1.58
"106","C0S840",1.25,12.88,3.05,7.88,1.25,4.07,4.7,0.98,0.8
"107","C0T790",2.03,9.33,9.23,2.33,2.1,1.18,3.53,5.13,1.78
"108","C0T870",3.87,7.7,3.62,4.63,2.03,10.38,5.88,4.28,2.9
"109","C0T960",5.02,18.03,4.4,5.3,2.87,15.68,7.25,5.13,4.68
"110","C0T9A0",5.15,16.33,4.67,7.6,3.78,15.17,7.78,4.92,5.73
"111","C0T9B0",4.32,18.25,4.32,7.42,2.77,11.83,8.07,5.42,3.53
"112","C0T9E0",5.2,16.45,4.65,4.85,2.98,13.02,6.85,4.38,8.1
"113","C0T9F0",4.95,15.92,3.93,6.83,3.52,14.2,7.12,4.12,4.78
"114","C0T9G0",4.58,15.95,4.93,7.33,3.1,15.08,8.37,6.08,6.33
"115","C0T9H0",8.58,18.27,6.72,8.78,5.88,21.08,11.7,8.28,11.1
"116","C0T9I0",9.18,7.9,6.13,7.9,5.68,22.55,11.98,5.83,9.97
"117","C0T9M0",6.63,18.9,3.63,4.93,3.57,15.82,10.37,4.2,6.92
"118","C0U600",10.58,24.45,4.78,9.1,7.72,6.97,8.92,7.56,13.08
"119","C0U750",8.57,12.5,3.83,0,6.97,5.72,8.04,13.21,8.63
"120","C0U760",16.35,30.53,4.92,23.28,12.47,25.15,25.13,23.87,23.95
"121","C0V250",0.87,5.72,3,0.55,0.02,0.1,1.57,0.43,0.07
"122","C0V310",0.6,5.02,2.67,0.32,0,0.17,1.5,0.18,0.02
"123","C0X080",1.97,7.47,2.53,0.17,0.05,0.02,1.27,0.52,0.18
"124","C1A9N0",6.13,15.13,10.47,4.13,8.9,4.1,8.72,11.25,4.32
"125","C1AC50",1.9,7.22,8.28,1.07,1.95,0.27,3.67,3.1,1.4
"126","C1C510",1.42,8.62,11.37,1.62,1.2,0.47,4.27,2.77,1.08
"127","C1D380",1,7.17,10.98,1.37,0.83,0.57,4.07,1.8,1.4
"128","C1D400",1.32,7.13,9.62,1.75,1.68,0.48,3.65,2.98,1.63
"129","C1D410",1.27,9.93,11.73,2.2,0.67,0.43,5.23,2.4,2.07
"130","C1D420",1.38,8.52,10.05,0.34,0.62,0.55,3.87,2.28,1.67
"131","C1E480",1,9.92,11.65,2.08,0.57,0.32,4.48,1.63,1.57
"132","C1E670",1.27,10.7,12.82,1.85,0.52,0.5,4.1,1.57,1.73
"133","C1I140",1.9,4.83,5.55,1.33,0.75,0.47,2.83,2.37,0.35
"134","C1I440",4.1,12.82,7.05,4.03,1.12,0.7,4.27,4.3,1.23
