"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",10.53,3.27,2.25,2.45,1.38,4.68,3.91,11.75,4.15
"2","466900",13.31,5.11,1.63,2.48,1.6,2.16,3.32,14.84,4.53
"3","466910",48.15,28.56,6.58,15.97,7.29,9.19,21.55,51.85,15.02
"4","466920",11.14,2.99,2.06,3.3,0.82,4.36,4.44,11.89,4.04
"5","466930",42.56,28.32,5.08,15,8.24,8.14,23.2,51.37,14.61
"6","466940",16.33,15.26,4.49,3.18,0.89,6.17,26.29,13.22,13.02
"7","466950",8.42,4.99,0.89,2.78,0.12,2.07,7.2,6.19,1.91
"8","466990",20.3,15.71,2.66,5.66,1.06,3.11,21.94,24.29,4.31
"9","467060",60.04,29.26,14.83,8.59,4.89,15.39,28.14,20.7,31.73
"10","467080",29.06,18.7,4.44,5.91,1.75,8.84,15.9,21.35,17.26
"11","467110",4.18,0.05,0.24,0.13,0.01,0.25,3.55,0.04,0.18
"12","467300",1.81,0.58,0,0,0,0.15,4.96,0.66,0.07
"13","467350",1.71,0.24,0,0,0,0.34,2.59,0.42,0.08
"14","467410",2.23,0.9,0.08,0,0.05,1,2.23,1.27,0.02
"15","467420",2.13,0.89,0.05,0,0,2.1,2.32,1.42,0.05
"16","467440",5.66,1.77,0.02,0.74,0,0.82,8.37,2.66,0.05
"17","467480",0.51,0.83,0,0.15,0,0.56,0.8,2.55,0.28
"18","467490",0.07,0.43,0.05,0.09,0,0.45,0.77,1.73,0.24
"19","467530",6.27,8,0.24,0.52,0.07,1.3,4.16,3.07,1.96
"20","467540",14.71,9.46,1.1,4.41,0.39,2.25,32.61,12.87,3.58
"21","467550",5.14,10.06,0.61,0.13,0.51,1.47,8.09,8.26,2.98
"22","467571",2.58,1.55,0.95,1.21,2.04,2.78,0.87,1.67,1.32
"23","467590",13.34,6.14,0.16,0.9,1.52,2.35,12.69,9.81,0.27
"24","467610",13.81,18.72,2.05,3.23,1.38,2.9,35.89,24.45,4.31
"25","467620",27.06,14.05,2.58,1.45,3.29,9.87,13.51,12.87,5.49
"26","467650",0.31,1.81,0.26,0.23,0,0.65,2.44,2.74,0.58
"27","467660",16.25,13.05,1.1,0.19,0.52,1.44,31.97,24.61,1.19
"28","467770",0.02,0.47,0.03,0.11,0,0.84,0.58,1.34,0.15
"29","467990",1.64,1.98,0.32,0.1,0.13,1.62,1.3,0.68,1.03
"30","C0A520",11.05,3.34,2.24,2.97,1.84,3.87,3.87,8.42,4.37
"31","C0A530",33.87,16.6,3,16.61,7.9,7.13,23.58,24.37,15.63
"32","C0A540",33.31,18.15,4.79,18.6,9.32,13.92,28.69,32.84,16.73
"33","C0A550",50.35,36.32,8.24,15.95,4.63,15.35,55.47,39.5,32.18
"34","C0A560",22.05,12.76,3.48,17.34,6.98,9.37,11.82,23.44,7.16
"35","C0A570",34.06,17.4,4.73,15.92,6.18,9.23,20.11,25.29,13.15
"36","C0A640",29.6,16.73,3.65,11.92,6.02,6.52,22.02,21.65,13.02
"37","C0A650",39.39,23.79,7.26,13.94,7.52,10.27,36.6,27,18.34
"38","C0A660",23.56,23.48,5.95,3.73,1.87,8.37,39.66,15.56,19.58
"39","C0A860",40.63,25.37,10.6,7.82,2.82,15.69,62.55,27.77,27.61
"40","C0A870",35.89,21.84,8.02,10.47,5.08,12.47,25.97,32.52,16.02
"41","C0A880",17.76,14.68,5.68,5.92,1.37,8.26,29.39,11.71,22.77
"42","C0A890",26.24,18.19,7.11,8.4,2.6,8.9,35.76,15.74,28.71
"43","C0A920",18.65,15.16,3.27,2.89,0.32,5.69,20.9,8.92,9.5
"44","C0A940",15.73,12.05,4.21,2.97,0.24,5.39,5.93,7.6,9.48
"45","C0A950",9.4,9.95,2.69,1.55,0.32,2.7,9.85,10.27,8.08
"46","C0A970",14.48,14.6,2.42,2.61,0.89,6.26,16.85,11.73,17.94
"47","C0A980",8.21,1.48,1.5,4.9,3.08,1.15,2.15,5.35,3.61
"48","C0A9A0",7.39,3.18,1.79,4.48,1.02,2.35,3.84,6.11,2.44
"49","C0A9C0",10.95,4.32,2.06,6.81,2.89,1.92,4.1,9.84,3.02
"50","C0A9E0",6.19,1.71,1.92,3.44,1.02,1,2.6,4.71,2.82
"51","C0A9F0",11.55,6.08,1.94,4.73,1.4,2.87,5.56,10.71,3.52
"52","C0AC40",38.21,18.79,4.35,15.53,8.4,6.55,10,34.08,9.95
"53","C0AC60",11.19,4.08,2.27,2.89,2.53,4.73,4.39,10.44,4.06
"54","C0AC70",12.65,5.18,2.21,3.16,1.16,4.92,7.9,18.31,4.44
"55","C0AC80",14.13,8.97,1.74,4.74,2.85,6.1,10.13,14.06,6.37
"56","C0ACA0",10.02,1.85,1.92,3.02,1.24,2.94,2.79,6.87,3.23
"57","C0AD00",12.77,11.27,2.11,1.74,0.27,3.26,21.39,10.16,4.15
"58","C0AD10",7.47,3.45,1.58,0.95,0.42,1.24,2.5,8.39,3.6
"59","C0AD30",6.94,1.24,1.74,3.27,1.02,1.68,2.47,4.39,3.13
"60","C0AD40",11.29,3.71,2.77,2.39,1.79,3.73,5.6,9.5,4.76
"61","C0AD50",8.76,3.23,1.95,2.82,1.77,4.44,3.53,7.81,4.15
"62","C0C460",12.81,6.03,1.92,9.39,5.23,4.15,4.19,7.34,5.76
"63","C0C480",6.82,2.97,0.52,3.87,2.52,3.11,2.79,7.73,3.94
"64","C0C540",3.74,2.73,0.98,0.27,0.35,1.58,1.5,6.16,3.31
"65","C0C590",11.06,0.5,1.98,0.29,0.08,3.77,1.98,5.5,3.66
"66","C0C630",7.24,3.5,1.19,2.48,1.37,2.56,2.6,5.4,3.92
"67","C0C650",6.44,3.9,1.68,3.61,2.35,3.81,2.08,5.92,2.76
"68","C0D360",4.08,2.6,2.24,11.97,2.56,3.93,2.27,2.03,3.23
"69","C0D390",6.15,2.26,1.68,4.11,2.63,2.5,1.6,3.56,2.73
"70","C0D480",3.5,2.81,1.23,4.35,3,2.56,1.94,4.66,1.89
"71","C0D540",3.97,0.98,1.35,4.1,1.1,3.9,1.06,1.42,0.98
"72","C0D550",4.1,2.23,1.85,11.37,0.53,0.89,2.31,2.44,1.87
"73","C0D560",2.18,1.18,1.08,2.15,1.32,2.97,0.37,1.52,1.45
"74","C0D570",1.11,0.87,0.61,0.81,2.02,2.9,0.44,1.18,0.71
"75","C0D580",2.34,1.18,1.19,2.39,1.37,3.16,1.35,1.47,1.5
"76","C0D590",2,1.81,0.87,0.98,0.77,3.56,0.39,2.9,1.34
"77","C0E420",0.85,0.42,0.63,0.92,1.87,2.82,0.31,0.73,0.63
"78","C0E430",3.87,0.85,1.11,5.11,0.79,2,1.11,1.24,1.69
