"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","466880",5.88,1.63,4.02,5.29,6.17,7.8,16.77,1.71,5.29
"2","466900",2.54,0.84,9.91,5.08,2.35,12.1,14.67,1.97,13.03
"3","466910",17.4,6,11.82,19.6,11.97,24.29,34.26,10.25,35.88
"4","466920",4.81,1.72,2.83,4.77,6.63,10.33,14.28,5.85,10.73
"5","466930",15.08,5.39,6.89,16.51,7.73,20.24,32.4,9.77,29.52
"6","466940",17.32,1.76,2.42,9.58,4.71,17.31,17.72,6.29,18.61
"7","466950",2.46,0.39,1.75,3.54,2.41,3.9,10.14,0.63,7.09
"8","466990",15.92,4.93,2.4,16.32,5.92,8.63,28.72,4.2,6.63
"9","467060",10.4,4.73,7.58,9.04,11.64,10.49,25.92,15.43,14.42
"10","467080",8.89,1.49,2.32,11.18,11.62,13.02,20.33,22.03,5.5
"11","467110",4.35,1.23,1.97,0.93,0.05,7.14,12.08,0.98,1
"12","467300",9.03,0.07,0.02,0.79,1.46,5.62,17.87,0.66,1.03
"13","467350",7.96,0.02,0.01,0.31,0.59,8.55,18.65,0.67,0.05
"14","467410",15.37,0.17,0.62,2.01,2.93,6.4,40.68,1.32,1.03
"15","467420",21.38,0.3,0.8,0.75,1.1,9.07,39.25,0.72,1.55
"16","467440",28.43,2.38,1.82,3.12,5.73,4.68,36.6,1.08,2.2
"17","467480",8.41,3.65,2.72,4.5,3.53,11.1,21.24,3.91,3.95
"18","467490",10.95,3.31,1.14,1.5,1.57,6.13,4.21,0.71,0.67
"19","467530",19.75,5.49,8.38,9.85,9.1,19.18,37.66,5.72,8.63
"20","467540",34.57,4.9,3.88,12.77,13.56,1.53,29.22,11.22,11.9
"21","467550",15.9,1.53,3.62,10.97,5.25,11.46,28.25,2.72,7.58
"22","467571",3.12,0.32,2.74,0.78,1.83,6.67,10.65,2.16,4.48
"23","467590",28.25,3.4,2.5,15.02,14.25,1.77,23.68,8.12,9.37
"24","467610",23.38,6.01,5.01,15.05,9.39,1.48,23.19,5.12,15.98
"25","467620",12.13,7.69,3.89,14.39,5.86,2.78,24.38,15.49,6.68
"26","467650",4.24,2.45,3.97,3.7,4.23,6.28,8.6,3.93,4.28
"27","467660",26,3.68,4.33,9.73,8.72,1.12,20.27,5.4,8.48
"28","467770",3.24,0.23,0.28,0.74,0.82,3.84,3.05,0.75,0.13
"29","467990",1.99,0.15,6.26,0.77,1.08,4.58,8.1,1.77,0.48
"30","C0A520",3.6,1.5,4.82,4.55,6.72,6.88,12.42,1.48,6.08
"31","C0A530",11.72,3.65,13.32,15.58,8.15,25.52,33.32,8.07,18.9
"32","C0A540",11.35,5.95,11.53,16.22,10.05,29.57,35.42,13.87,18.48
"33","C0A550",22.68,5.98,10.62,18.02,9.9,21.17,34.65,15.97,29.37
"34","C0A560",9.42,2.75,17.17,17,11.82,33.05,47.13,6.98,21.33
"35","C0A570",8.5,3.9,15.53,13.17,13.17,32.45,35.58,12.18,23.93
"36","C0A640",14.02,2.8,19.43,17.07,7.2,25.62,34.22,7.38,17.13
"37","C0A650",24.02,5.47,19.6,18.68,6.63,25.5,27.96,15.43,24.45
"38","C0A660",16.35,3.27,3.4,9.27,5.12,18.88,18.52,7.18,15.38
"39","C0A860",21.6,4.83,5.33,11.4,8.33,21.72,23.05,12.25,28.37
"40","C0A870",19.33,3.78,8.67,8.35,4.77,13.45,16.18,12.68,31.33
"41","C0A880",9.6,2.73,3.43,9.23,5.17,12.98,18.45,9.42,9.28
"42","C0A890",16.25,4.65,2.53,10.45,7.03,17.53,23.25,15.28,17.62
"43","C0A920",7.2,2.42,1.63,5.13,4.67,9.38,14.62,2.65,4.32
"44","C0A940",5.23,2.4,1.85,5,3.85,11.6,12.62,3.22,4.8
"45","C0A950",4.85,2,1.58,2.72,2.98,4.88,9.77,4.58,4.3
"46","C0A970",5.02,1.22,4.25,4.78,4.2,4.22,8.25,4.93,5.5
"47","C0A980",3.42,0.42,2.47,3.33,3.57,7.55,11.75,3.77,9.18
"48","C0A9A0",3.95,0.77,4.58,4,5.37,7.23,11.62,5.83,7.3
"49","C0A9C0",4.17,0.53,4.93,4.37,3.77,13.73,17.92,5,11.95
"50","C0A9E0",3.25,0.47,2.7,3.18,3.65,8.48,13.8,4.88,6.88
"51","C0A9F0",11.02,1.3,4.5,7.5,7.13,12.02,15.78,7.3,10.55
"52","C0AC40",13.07,4.62,12.75,17.6,8.07,22.17,41.95,8.65,31.18
"53","C0AC60",5.58,2.2,5.98,8.98,6.18,8.47,13.05,1.37,4.38
"54","C0AC70",6.32,2.77,3.58,8.57,6.75,11.72,14.3,8.2,9.95
