,stno,name,Lon,Lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,466880,板橋,121.442,24.9976,4.26,5.53,4.57,4.6,7.75,12.93,6.9,10.44,6.06,4.93,4.28,3.98
2,466900,淡水,121.4489,25.1649,3.86,5,3.6,4.88,9.3,9.74,3.46,8.31,6.94,5.44,4.03,4.43
3,466910,鞍部,121.5297,25.1826,11.42,10.02,6.43,7.1,12.27,13.55,6.8,13.02,19.05,22.68,15.54,14.91
4,466920,臺北,121.5149,25.0377,3.6,4.94,4.14,4.57,8.16,12.46,6.69,11.43,6.88,5,3.71,3.38
5,466930,竹子湖,121.5445,25.1621,8.77,8.33,5.05,5.64,9.89,11.91,6.45,12.59,15.95,21.84,12.2,12.26
6,466940,基隆,121.7405,25.1333,11.63,12.69,7.31,6.31,9.19,10.02,3.34,7.79,10.64,10.98,12.93,12.59
7,466950,彭佳嶼,122.0797,25.628,3.79,4.09,3.66,4,6.26,7.42,2.06,6.21,3.59,3.84,5.32,4.05
8,466990,花蓮,121.6133,23.9751,1.81,2.08,2.52,2.61,6.64,5.03,4.69,8.24,10.41,11,6.7,2.69
9,467060,蘇澳,121.8574,24.5967,12.79,9.91,6.4,3.57,9.35,7.56,4.45,8.74,12.18,23.73,23.45,21.73
10,467080,宜蘭,121.7565,24.764,4.87,4.28,3.58,3.2,7.93,6.37,4.09,8.64,10.71,13.69,10.91,9.04
11,467110,金門,118.2893,24.4073,1.69,1.99,2,3.46,6.16,4,3.56,3.64,3.3,0.96,2.17,1.58
12,467300,東吉島,119.6675,23.257,0.92,0.79,1.2,2.6,3.66,5.3,5.54,9.22,4.06,0.91,1.75,0.51
13,467350,澎湖,119.5631,23.5655,0.86,0.55,1.28,2.84,4.67,4.62,4.21,8.46,4.09,0.6,1.48,0.67
14,467410,臺南,120.2048,22.9932,0.92,0.64,0.64,2.06,5.71,10.97,10.54,16.93,7.84,0.86,1.54,0.3
15,467420,永康,120.2367,23.0384,0.92,0.54,0.6,2.55,5.78,11.51,10.93,16.62,8.32,1,1.27,0.35
16,467440,高雄,120.3157,22.566,0.78,0.5,0.88,2.31,6.14,12.18,9.81,20.58,9.56,2.23,1.34,0.58
17,467480,嘉義,120.4329,23.4959,1.1,1.01,1.28,2.91,5.84,9.99,10.91,15.94,7,0.63,1.42,0.78
18,467490,臺中,120.6841,24.1457,1.66,1.42,1.83,3.82,8.86,9.96,8.94,11.68,3.35,0.43,1.65,1.1
19,467530,阿里山,120.8132,23.5082,3.91,3.34,3.75,7.8,18.6,25.23,22.02,22.48,13.75,2.84,4.07,2.82
20,467540,大武,120.9038,22.3557,1.45,1.34,1.18,3.17,5.15,13.4,11.68,13.91,13.73,9.04,3.83,1.07
21,467550,玉山,120.9595,23.4876,3.08,1.78,1.65,7.24,14.38,15.1,12.14,13.44,9.7,4.14,5.04,3.22
22,467571,新竹,121.0142,24.8279,3.56,3.81,4.08,5.39,7.72,8.03,3.3,7.39,3.64,1.66,2.98,2.34
23,467590,恆春,120.7463,22.0039,0.89,0.76,0.4,1.46,6.01,10.53,11.84,21.59,11.82,5.24,1.33,0.71
24,467610,成功,121.3734,23.0975,2.59,2.29,2.52,2.66,6.14,6.29,8.28,9.09,11.62,11.86,6.88,2.55
25,467620,蘭嶼,121.5583,22.037,8.2,6.65,3.99,4.77,9.04,7.81,9.02,12.69,10.37,10.02,10.88,9.4
26,467650,日月潭,120.9081,23.8813,2.5,1.7,2.22,5.89,13.51,15.58,11.09,13.26,4.63,1,1.97,1.37
27,467660,臺東,121.1546,22.7522,1.46,1.41,1.22,2.45,4.84,8.2,7.19,9.24,9.75,10.04,5.17,1.28
28,467770,梧棲,120.5234,24.256,1.63,1.4,1.84,3.01,6.53,5.92,5.77,9.89,1.45,0.39,1.58,1.08
29,467990,馬祖,119.9234,26.1693,2.14,2.62,3.35,4.49,4.6,5.57,2.32,4.16,2.8,0.98,2.91,1.76
30,C0A520,山佳,121.402,24.9749,4.28,5.28,4.6,4.59,6.89,11.99,6.94,9.56,5.34,4.66,4.13,3.74
