day,PP01,PS01,TX01,WD_u,WD_v
1,-1.133472259,1.356796692,-1.47427631,1.068140657,0.719679056
2,-1.279118112,1.344463957,-1.375652338,0.837893642,0.57502206
3,-0.985046489,1.290271135,-1.29397856,0.802169709,0.664666109
4,-0.953459,1.23358806,-1.361574189,1.01745341,0.807699772
5,-1.021730493,1.2428376,-1.446068726,1.146482615,0.895900858
6,-0.708880803,1.282207456,-1.380319411,0.904170939,0.721663129
7,-0.628590256,1.321695868,-1.365471964,1.069942522,0.771084597
8,-0.430752822,1.304797676,-1.456120883,1.334503315,0.97093491
9,-1.124124107,1.333376372,-1.519382801,1.187220433,0.88580012
10,-1.304982243,1.308414477,-1.473814731,1.000218179,0.700379432
11,-1.211391701,1.229081892,-1.403782992,0.939581504,0.705790541
12,-0.978614524,1.24734379,-1.462506054,1.191685925,0.837641245
13,-0.846268667,1.202281929,-1.593491818,1.39913543,1.031900078
14,-0.752269313,1.200858934,-1.629520596,1.089606353,0.888505675
15,-0.896525207,1.24781813,-1.6042107,1.055684286,0.60875131
16,-1.045850362,1.354602886,-1.599671843,1.109505211,0.732304978
17,-1.017751396,1.300528643,-1.477892009,0.953369688,0.889407526
18,-0.974635427,1.247995999,-1.458428776,0.838912088,0.555542065
19,-0.783011926,1.239991586,-1.493816473,1.093993503,0.934860847
20,-1.097006288,1.213250935,-1.446991883,1.080126977,0.839986059
21,-1.134126357,1.152891769,-1.484020748,1.161524271,0.743848679
22,-1.027835409,1.12899711,-1.551667664,1.05184553,0.508465412
23,-0.783938565,1.254280945,-1.672139692,1.278253789,1.03839341
24,-0.900558813,1.362132959,-1.72296463,1.192469344,0.807699772
25,-0.910152252,1.323771072,-1.697834236,1.209156182,0.602257978
26,-0.60602387,1.346302002,-1.640495911,1.321185182,1.114329314
27,-0.843897561,1.35614446,-1.662985048,1.368425382,1.090159691
28,-0.689448637,1.257897746,-1.616570751,1.105901481,0.717514612
29,-0.584711172,1.240762396,-1.544692697,0.892733013,0.492232083
30,-0.869761692,1.288966719,-1.490200773,1.099007388,0.679456475
31,-0.952477853,1.307050748,-1.532922442,1.177349347,0.853333462
32,-1.023202214,1.339305558,-1.559360641,1.25349773,0.760442748
33,-0.660232254,1.351816162,-1.648317104,1.318208187,0.902033448
34,-0.745564807,1.305212703,-1.659497565,1.047223354,0.706331652
35,-0.744038578,1.202044771,-1.628802585,1.083809049,0.449664688
