ID,date_time,title,how clickbait this title is
et_3028,2018/11/6,【倒數19】民進黨地推喚醒沈默支持者　移防高雄準備揭穿韓國瑜,1
ct_4222,2018/11/6,苗栗》繼3大莊嚴承諾 徐定禎再拋5大公產活化計畫,3
ltn_8373,2018/11/24,丁守中、柯文哲票數拉鋸 網友問：1500元是台北價值？,2
ct_5009,2018/11/12,新竹》謝文進陣營批林智堅是「作秀市長」,1
ct_3385,2018/10/30,高雄》英籍富商參加反併吞遊行挺其邁 被陳支持者打斷牙,1
et_4880,2018/11/22,影／姚文智2萬人前公審！高嘉瑜「8字回應」深夜PO文　網看完超心疼,5
et_4046,2018/11/16,網拍名模「小蒜」幫舅舅謝立功站台　網瘋：我戀愛了,5
et_2014,2018/10/24,即／關掉ATP或許想更準點　王國材：尤姓司機非常負責,2
et_3635,2018/11/12,小野淚謝柯文哲　朱學恒嗆：文化人不懂了不起負責嗎？,3
et_3813,2018/11/14,影／紙風車執行長李永豐挺陳其邁：一起來在乎高雄,1
ct_2488,2018/10/20,台北》柯文哲行動競總違規停放公園 北市府祭出兩張罰單,1
ct_4547,2018/11/8,台北》遭爆因政治獻金問題被罰 姚文智團隊：禁得起考驗,2
ltn_3898,2018/10/30,可直攻北京！傳雲峰中程飛彈明年量產 部署北、中部,2
et_3378,2018/11/10,嗆民進黨完全放水陳水扁　丁守中：法務部長根本應該為這事情下台,1
ct_3200,2018/10/28,台中》有別於傳統！子女為吳瓊華披彩帶 展現未來寄望,1
et_4266,2018/11/18,超級星期天／黃偉哲府城造勢　2萬人反抹黑挺台南,2
et_1289,2018/10/9,影／反特攻地空演練！國軍出動最強阿帕契　IDF、雲豹、勇虎聯合滅敵,2
et_455,2018/9/26,「誰摔死了李新？」女友郭新政找盛竹如客串　類戲劇公布真相,4
ltn_2700,2018/10/18,彰化縣最幸福的鄉鎮長就是他  原因是‧‧‧,5
et_4487,2018/11/20,不跟時力「友柯」　吳崢：我會投給姚文智,2
ltn_3877,2018/10/29,無知又荒唐  林濁水：韓國瑜是「連勝文2.0」,2
ct_4764,2018/11/10,獸醫師動保團體力挺 侯友宜要打造毛寶貝友善城市,1
ct_48,2018/9/24,民調微升 林濁水：賴揆提前再見危機或可解除,1
ct_5708,2018/11/17,丁守中打都更市長牌 赴萬華艋舺掃街力推老社區都更,1
ct_4294,2018/11/7,台中》智庫民調出爐 盧秀燕35.7％ 林佳龍28.7％,1
et_4481,2018/11/20,談4年歷經勞工問題　賴香伶：遇到挫折就會想起柯文哲一句話,4
et_784,2018/10/2,影／3分鐘全紀錄！碧雲禪寺7天拆光　魏明谷：一定追討490萬,3
et_3740,2018/11/13,影／丁守中推廣告「我無趣但有用」　柯文哲酸：真的很無趣,2
ct_6506,2018/11/22,新竹》謝文進寺廟之旅遊街 23日前進東門城,1
et_4053,2018/11/16,影／韓粉變心了...她批政見天馬行空　「韓國瑜是草包嗎？」,3
et_2032,2018/10/25,林義豐「超本土」政見聽攏嘸！網友掀國台語論戰：叫龍介來,3
ltn_4688,2018/11/5,民進黨雲縣黨部開除違紀輔選 24年黨齡的他不服,4
ltn_8349,2018/11/24,林佳龍宣布敗選  籲民眾支持新市長盧秀燕,2
ltn_8357,2018/11/24,台北終於全部投完票了！ 柯文哲、丁守中持續拉鋸,4
et_2513,2018/10/31,頭份市代主席反同「不要害我們下一代」挨轟　刪文稱：無歧視同志,2
ltn_3857,2018/10/29,新北母雞帶小雞 中市議員候選人北上同框侯友宜,1
ltn_7250,2018/11/20,連江縣長樹黨候選人蘇柏豪 發布5種語言競選影片,3
et_3970,2018/11/15,影／韓粉齊唱「夜襲」嗨翻高捷　洪孟楷：真愛韓國瑜應注意3件事,4
et_954,2018/10/4,獨／侯友宜總部設最夯IG列印機！拍照打卡還能印網美照,1
ct_1031,2018/10/5,台南》高思博學甲掃街拜票  居民熱情相挺,1
ltn_567,2018/9/29,特權？ 盧秀燕宣傳車停警所車位 警：非獨厚任一參選人,2
ct_4118,2018/11/6,高雄》為選民做事 新中里長盼改變選風,1
ct_1458,2018/10/10,籲北京扮演良性角色 蔡英文：不會升高對抗 也不會屈從,2
ltn_4854,2018/11/6,蘇煥智砲打「崑陵山案」 黃偉哲：遺憾遺憾再遺憾,2
ct_4713,2018/11/10,掛韓國瑜看板房東嗆解約　便當店老闆不從徵店面,1
ct_580,2018/10/1,高雄》陳其邁稱國民黨虧欠高雄人　網譏：馬英九下台！,3
et_2396,2018/10/30,韓國瑜說高雄老又窮讚苗栗會拼經濟　網酸：神嘴邏輯跟不上,2
et_155,2018/9/21,影／領陸居住證公民權恐被限　柯文哲籲比照綠卡：平常心就好,2
et_3148,2018/11/8,空汙不只境內污染　林佳龍：今天台北也沒比較好,2
ct_540,2018/9/30,媒體揣測潛艦各方分食利益 海軍：均依法行政杜絕弊端,3
